chr	start	end	length	nCG	areaStat
chr22	38884016	38885373	1358	33	262.460362981121
chr22	31219362	31222166	2805	25	262.290418002476
chr22	27724537	27728330	3794	22	-261.796237499136
chr22	49653918	49654833	916	18	261.236995138012
chr22	42712694	42714578	1885	18	257.390416378845
chr22	23521743	23528379	6637	23	257.120938867541
chr22	25421357	25423531	2175	25	254.403455358407
chr22	36737472	36740542	3071	19	-250.925149734882
chr22	40355267	40357784	2518	23	249.388589496756
chr22	39093979	39097717	3739	30	248.873093515174
chr22	32905143	32906313	1171	10	-241.525038843958
chr22	27308732	27309092	361	18	-240.301948424261
chr22	26090830	26092794	1965	20	238.126461272181
chr22	31432771	31433222	452	25	-237.872537179946
chr22	38421669	38428041	6373	20	-237.631081815064
chr22	34051394	34054040	2647	15	237.488169925612
chr22	45580976	45582445	1470	28	236.041222618232
chr22	43863440	43863970	531	19	234.304751140404
chr22	47366927	47367513	587	11	-233.958752528648
chr22	48499643	48502042	2400	20	230.92851037838
chr22	37307204	37308216	1013	19	-229.230996225015
chr22	27837455	27838622	1168	25	-227.73275488233
chr22	26448290	26451393	3104	12	-226.305993611048
chr22	22187053	22187647	595	15	225.53453041256
chr22	47642987	47644159	1173	12	-223.154926722627
chr22	38837963	38839972	2010	18	222.710378084675
chr22	33868778	33870219	1442	14	222.54729852134
chr22	46757380	46758551	1172	19	-221.466708534585
chr22	35917564	35920256	2693	30	221.396220211738
chr22	38893071	38896690	3620	31	218.92284406863
chr22	36000532	36002488	1957	14	-218.135071601782
chr22	27794232	27796075	1844	30	217.809405353936
chr22	27163618	27164600	983	24	-217.553759253923
chr22	44126603	44128536	1934	23	216.012616649601
chr22	27159230	27160725	1496	18	-213.365580874802
chr22	26830493	26832137	1645	18	213.128645563302
chr22	44214231	44216105	1875	21	211.466352618242
chr22	39175857	39179193	3337	16	211.161012075622
chr22	40749072	40750295	1224	15	209.573427764911
chr22	45524612	45526056	1445	20	208.871139139933
chr22	34348524	34349767	1244	16	-208.29399399424
chr22	26769262	26770573	1312	14	-208.06380779321
chr22	28173724	28175818	2095	22	206.88152948552
chr22	26905650	26907521	1872	23	206.881094235326
chr22	26000448	26002527	2080	22	206.242257795
chr22	19608264	19609516	1253	29	-203.46538248837
chr22	30744402	30746457	2056	14	200.763742075634
chr22	38644847	38648493	3647	19	200.592548869994
chr22	44733277	44733785	509	17	199.419018056609
chr22	40757933	40759600	1668	21	199.398158582497
chr22	27643595	27644332	738	10	-198.526487433783
chr22	43829930	43831947	2018	17	197.246422846056
chr22	37080888	37081797	910	17	197.199508873795
chr22	27462802	27463063	262	13	196.60224274416
chr22	21080826	21082582	1757	20	195.777847458299
chr22	45596543	45601798	5256	18	195.415091237065
chr22	26847634	26852085	4452	17	195.128991365147
chr22	30606153	30606915	763	12	-194.828520910619
chr22	17596607	17599495	2889	18	194.757619467173
chr22	39580054	39582031	1978	14	-194.737082491512
chr22	24200803	24201373	571	14	194.284122684667
chr22	48314557	48315665	1109	12	-193.592601948826
chr22	26717734	26718558	825	20	192.693555882522
chr22	45141732	45143150	1419	19	-191.428587507704
chr22	42760595	42760989	395	15	-191.416278174803
chr22	48894884	48895209	326	12	191.164524512606
chr22	49021203	49022216	1014	18	190.783845240949
chr22	48653422	48654079	658	17	189.572408645689
chr22	27863665	27864514	850	20	188.261986672278
chr22	23498712	23499365	654	13	186.861817929609
chr22	20929408	20930337	930	20	186.633321182924
chr22	26825855	26828256	2402	14	186.539190938855
chr22	22098172	22100185	2014	14	185.944600528311
chr22	35287347	35292485	5139	13	-185.166492980209
chr22	46633784	46635123	1340	19	-184.518851279916
chr22	37094581	37096911	2331	14	183.953511295147
chr22	35934704	35941168	6465	20	183.828100228907
chr22	38141167	38141676	510	18	-183.310908144744
chr22	46614169	46614333	165	18	-182.806921241882
chr22	46043504	46044477	974	14	182.739316891482
chr22	33913493	33917008	3516	15	182.133352864554
chr22	48888940	48890105	1166	25	181.83165669952
chr22	29492543	29493182	640	10	-180.548282501084
chr22	36723204	36725639	2436	23	178.103049197648
chr22	43772637	43773685	1049	17	177.27929355421
chr22	31217230	31218999	1770	17	177.08264498217
chr22	46744175	46745691	1517	18	176.404711008071
chr22	29400045	29401192	1148	19	-176.254168328723
chr22	43659524	43660812	1289	28	-175.247859706558
chr22	26805425	26806729	1305	12	175.073912482651
chr22	25501265	25501729	465	11	174.506006757417
chr22	47813439	47815448	2010	11	-174.04628613236
chr22	28371267	28372268	1002	18	173.976839066924
chr22	46456373	46456945	573	12	-172.990215924797
chr22	35230084	35230375	292	7	-172.940571480742
chr22	47009873	47010396	524	20	172.262325216503
chr22	37021226	37022374	1149	15	171.959117745002
chr22	30476467	30476816	350	18	-170.66450368276
chr22	26033286	26037699	4414	14	170.616768195883
chr22	37457013	37457415	403	15	170.010238548119
chr22	26338221	26339756	1536	12	-169.110877657347
chr22	26653876	26654154	279	9	-169.04828495542
chr22	45732896	45733558	663	13	-168.629536651194
chr22	39636843	39642588	5746	18	168.289832028745
chr22	48010097	48010727	631	14	-167.601960180181
chr22	27500515	27506995	6481	17	-167.560021719857
chr22	27382142	27382932	791	15	-165.678589886349
chr22	28262141	28262918	778	7	164.656886913921
chr22	27321892	27324874	2983	15	-164.13190187401
chr22	27554031	27554966	936	19	-163.795930465121
chr22	26921369	26923809	2441	18	162.475281250728
chr22	46216631	46217106	476	12	-161.97102395988
chr22	44141180	44141498	319	15	161.594694098964
chr22	38411915	38418062	6148	14	-161.48753800865
chr22	37086188	37086676	489	18	161.1197264638
chr22	26628551	26629239	689	15	-161.043152375042
chr22	46856259	46858395	2137	14	-160.764314095462
chr22	44178146	44178950	805	9	160.741657980987
chr22	47791000	47791282	283	10	-160.111336552119
chr22	39319496	39320860	1365	22	-159.761445497093
chr22	29870338	29874327	3990	11	159.517223301925
chr22	47225400	47226950	1551	13	-158.934381419086
chr22	34462730	34463303	574	12	158.850649783478
chr22	27069581	27071610	2030	13	158.487472916559
chr22	26366340	26367638	1299	17	-158.173387962932
chr22	28836071	28837326	1256	9	157.790084207602
chr22	47262633	47263144	512	11	-157.4019151111
chr22	28110275	28111419	1145	11	-156.858719970443
chr22	46775157	46775801	645	11	-156.447415265068
chr22	20229976	20238918	8943	17	155.458822419955
chr22	22108717	22109989	1273	16	154.93257865301
chr22	34380584	34382704	2121	19	-154.85970997573
chr22	34465787	34466407	621	9	154.109630294188
chr22	45645173	45646049	877	9	153.92007070316
chr22	40644961	40645572	612	10	-153.320385010529
chr22	50000523	50000885	363	12	152.576331208278
chr22	33928923	33929609	687	17	-151.427354287419
chr22	48605839	48606363	525	10	-151.365622466378
chr22	27066747	27068067	1321	17	151.344821778386
chr22	46833803	46834278	476	7	-150.687673502185
chr22	24092035	24092752	718	12	150.662587163116
chr22	47946875	47948138	1264	20	-149.9700609149
chr22	38654376	38655489	1114	15	149.682575914158
chr22	39755788	39756881	1094	12	149.150345557816
chr22	38428738	38432128	3391	13	-148.732001614435
chr22	49798180	49800122	1943	13	-146.959982219714
chr22	26672895	26673618	724	14	-146.949159383884
chr22	31233652	31237518	3867	16	146.573129670742
chr22	50043372	50043812	441	19	-146.528567989572
chr22	47227320	47227741	422	13	-145.885402077944
chr22	37473955	37475341	1387	14	-145.769215714786
chr22	31727952	31729101	1150	11	145.48556241125
chr22	44110908	44111744	837	11	145.424997041727
chr22	36229243	36232153	2911	9	145.391739763173
chr22	27834378	27834795	418	12	-144.828982279048
chr22	44667866	44669658	1793	10	-144.088293793499
chr22	34292999	34293639	641	9	143.725777981193
chr22	40926340	40929811	3472	13	143.637531264439
chr22	22145936	22146499	564	11	143.260812361746
chr22	44136342	44137049	708	15	142.991606156328
chr22	19558881	19559920	1040	13	-142.679263569442
chr22	26610333	26611882	1550	14	142.249064145061
chr22	38420383	38421467	1085	8	-141.388643460239
chr22	47692122	47692674	553	11	-141.015349056145
chr22	31451563	31452053	491	8	-140.898246327583
chr22	19049306	19050923	1618	9	-140.895401717859
chr22	35033273	35036548	3276	17	-140.825402634302
chr22	18425833	18427302	1470	17	-140.429060474218
chr22	17877885	17878456	572	6	-140.381029910023
chr22	26860979	26863523	2545	14	140.377980300576
chr22	43143910	43144516	607	13	-139.811973913853
chr22	30600601	30601105	505	11	-139.715971017662
chr22	39570144	39571060	917	12	-139.690696689571
chr22	20776607	20783468	6862	18	139.60037904602
chr22	48786920	48787876	957	12	139.271756102229
chr22	36938163	36938363	201	13	139.258360128945
chr22	26843297	26845041	1745	10	138.994365067659
chr22	44598169	44598834	666	11	138.919226456369
chr22	50523268	50523955	688	16	-138.672271027399
chr22	27570477	27573790	3314	18	-138.396380139942
chr22	47037553	47045237	7685	13	138.140958822726
chr22	30840383	30843049	2667	16	-137.450881900876
chr22	46239134	46241340	2207	11	-137.292121681507
chr22	28276889	28278832	1944	10	-136.848233366968
chr22	26522367	26524692	2326	10	-136.708931722929
chr22	26875824	26880261	4438	20	136.595253977509
chr22	36155016	36155628	613	12	136.578095672834
chr22	45667397	45667847	451	10	-136.262090216447
chr22	49223179	49223920	742	19	-136.256135103166
chr22	21923546	21925081	1536	20	-136.211489740223
chr22	48479522	48480969	1448	15	-136.160849603976
chr22	38060929	38061099	171	7	-135.841534138334
chr22	33925350	33926524	1175	11	135.731325284453
chr22	36815122	36815765	644	9	-134.887459067819
chr22	48531572	48531847	276	8	-134.582393085824
chr22	44619356	44620897	1542	11	-134.042330720931
chr22	51040521	51046181	5661	13	133.917387863344
chr22	41900551	41901292	742	9	133.73250567768
chr22	27936370	27937157	788	22	-133.603613536982
chr22	27627815	27629403	1589	13	-133.599636247427
chr22	39170759	39171146	388	7	133.539552098224
chr22	48673812	48675462	1651	9	-133.512343873413
chr22	47106371	47107263	893	18	133.393610624992
chr22	38288738	38291503	2766	11	-133.331614894483
chr22	26124927	26125511	585	18	133.062777222845
chr22	43153246	43154160	915	11	-132.643304248107
chr22	25615360	25617942	2583	14	-132.579667763714
chr22	46198092	46198543	452	7	-132.225182236086
chr22	30424032	30426010	1979	8	-131.883420687593
chr22	26952679	26954358	1680	11	131.864478048193
chr22	43084442	43084980	539	11	-131.258750769743
chr22	17847576	17848267	692	13	-131.243114849029
chr22	31496235	31496716	482	14	131.003152046198
chr22	50111218	50111818	601	18	-130.911580618883
chr22	38199152	38200148	997	17	130.905045193339
chr22	51059456	51060317	862	13	130.768576768447
chr22	35726349	35726574	226	10	-130.760952112148
chr22	38927448	38928561	1114	11	130.736009784658
chr22	47496693	47497111	419	9	-130.675938782736
chr22	26486826	26487334	509	8	-130.655612591197
chr22	23464481	23466438	1958	14	130.528911376234
chr22	40705477	40706681	1205	11	-130.507538649828
chr22	27469406	27471422	2017	15	-130.470022215152
chr22	32502749	32506261	3513	13	-130.373679801489
chr22	42775299	42776976	1678	13	129.363660431481
chr22	50121779	50123036	1258	15	-129.232357994014
chr22	45704902	45705277	376	20	129.188959911703
chr22	33778702	33779361	660	13	129.167551977309
chr22	28182987	28183790	804	22	128.976827110484
chr22	27085555	27086296	742	10	-128.920146473549
chr22	43903611	43903863	253	10	-128.461626629851
chr22	47617492	47618050	559	9	-128.303590327989
chr22	27352336	27353007	672	7	-128.28287451555
chr22	30221678	30222342	665	17	-128.281086996108
chr22	35345622	35347424	1803	15	-128.249184310093
chr22	47211182	47212203	1022	14	-128.223201066484
chr22	30723364	30723683	320	8	128.177566199658
chr22	17860240	17861162	923	10	-128.083404810066
chr22	18307122	18307504	383	14	127.747691626396
chr22	24542316	24543845	1530	11	127.231962286449
chr22	41486675	41489866	3192	20	127.101719479984
chr22	26097750	26100175	2426	21	127.082207968467
chr22	17890116	17890567	452	7	-127.072725009282
chr22	50282001	50283512	1512	14	-127.030810657358
chr22	37837032	37839699	2668	13	-126.634816396253
chr22	44921443	44923077	1635	13	-126.55348707612
chr22	35906619	35907119	501	12	126.222568379873
chr22	26345654	26346641	988	10	126.177630217188
chr22	26093570	26095251	1682	10	126.151397116301
chr22	37908262	37908864	603	9	-126.02106178486
chr22	49496698	49497075	378	11	-125.34710096797
chr22	38897061	38898137	1077	12	124.962839844634
chr22	46260001	46264082	4082	15	124.641351383721
chr22	17737861	17739238	1378	10	-124.565245049021
chr22	18488135	18489079	945	8	-124.233608598354
chr22	26383431	26384143	713	10	-124.203687543328
chr22	29348162	29348591	430	7	-123.433190790985
chr22	47073167	47075782	2616	17	123.256057199341
chr22	25526227	25526670	444	11	123.159930679277
chr22	36987652	36988685	1034	11	123.14324229783
chr22	40757061	40757614	554	10	123.126358134554
chr22	37844362	37846387	2026	7	-123.083819370701
chr22	29682568	29683322	755	10	-123.080690231401
chr22	20121072	20126057	4986	12	123.036879123719
chr22	39747947	39748468	522	10	122.922505832679
chr22	25547997	25548108	112	7	122.792733130161
chr22	44445206	44445942	737	17	-122.278458513721
chr22	26773389	26773938	550	13	122.177577013299
chr22	17617877	17619184	1308	12	122.100726701641
chr22	34256986	34257994	1009	8	121.926621557398
chr22	40066099	40066232	134	9	121.897180557012
chr22	40085330	40086929	1600	15	121.36927685954
chr22	30179859	30182528	2670	15	-121.278127317406
chr22	24685054	24685519	466	8	-121.172979702158
chr22	41375729	41376288	560	10	120.909654527957
chr22	37928475	37930721	2247	12	120.591666730126
chr22	47543803	47545107	1305	10	120.584811193605
chr22	28542465	28543383	919	6	-120.278619414892
chr22	44172556	44173831	1276	9	120.087115329903
chr22	44213171	44214145	975	19	119.719435279244
chr22	35195994	35196544	551	9	-119.567908653064
chr22	27748425	27748930	506	8	-119.330181281339
chr22	47362140	47362583	444	8	-119.094158884998
chr22	40767522	40768448	927	13	119.037626238832
chr22	33666192	33667803	1612	10	-118.832858644762
chr22	46479609	46484766	5158	16	-118.738175948555
chr22	27695087	27695999	913	14	-118.70998811997
chr22	30673367	30674642	1276	10	-118.462447088994
chr22	35694706	35695447	742	18	117.848411459102
chr22	30206019	30206845	827	9	117.711482365608
chr22	27452842	27454828	1987	23	117.70054778167
chr22	36232909	36235052	2144	5	117.673219966679
chr22	27136354	27136766	413	11	-117.191612070444
chr22	46568469	46569325	857	9	-117.127067132139
chr22	49628280	49629679	1400	12	-116.796484495951
chr22	38465788	38470105	4318	11	116.520658337938
chr22	50097469	50099729	2261	16	-116.423985425865
chr22	29717545	29718837	1293	13	116.409858610257
chr22	27577373	27577911	539	7	-115.526350716871
chr22	27110686	27111035	350	12	-114.94042558441
chr22	26854490	26857165	2676	16	114.651871153664
chr22	47163783	47165312	1530	13	-114.566430013469
chr22	36365570	36370061	4492	19	114.188079363865
chr22	26839924	26840602	679	8	113.934610651923
chr22	36725825	36726839	1015	14	113.613673793821
chr22	30966760	30968078	1319	8	-113.381844473408
chr22	49432304	49432791	488	11	-113.288395230044
chr22	46485865	46490361	4497	14	-112.973953354196
chr22	21126566	21126968	403	9	-112.891825141871
chr22	40441892	40442374	483	11	112.758456905765
chr22	47718750	47721411	2662	12	-112.713921177307
chr22	26911269	26912997	1729	9	111.901597865869
chr22	40031014	40032402	1389	15	111.86339044247
chr22	48197174	48198280	1107	13	-111.767940697461
chr22	38573767	38574593	827	7	-111.767448644061
chr22	26056942	26057812	871	10	111.685623832569
chr22	36982344	36982982	639	8	111.646409255875
chr22	31737565	31740052	2488	13	-111.57092631016
chr22	47667271	47669147	1877	15	111.561729060156
chr22	40392484	40394261	1778	11	-111.494712278253
chr22	49685887	49686576	690	10	-111.32867642395
chr22	27200992	27201204	213	6	-111.274229371808
chr22	27999591	27999973	383	12	-111.21107143239
chr22	26024468	26026121	1654	14	111.188100350402
chr22	50825907	50826116	210	7	-110.983428359736
chr22	39695712	39697337	1626	9	-110.7257610622
chr22	27773873	27774423	551	11	-110.581292065155
chr22	26832217	26834155	1939	14	110.539824351186
chr22	37063912	37065194	1283	15	109.810840740302
chr22	39248605	39249698	1094	12	-109.383242458435
chr22	17920273	17921232	960	6	-109.345580547962
chr22	26654206	26655852	1647	13	-109.091181201104
chr22	46455125	46456261	1137	10	-108.719179441833
chr22	38890243	38891021	779	12	108.625514564431
chr22	26637281	26637542	262	12	-108.158332793503
chr22	40657840	40658145	306	11	-108.112913388563
chr22	35601364	35602169	806	11	-108.01201281639
chr22	43896938	43898915	1978	14	107.906507024737
chr22	22902089	22902471	383	12	-107.897276423375
chr22	34237509	34238583	1075	18	107.863092855905
chr22	19602164	19603422	1259	18	-107.637598645825
chr22	31001634	31003572	1939	10	-107.503351040382
chr22	39716973	39717638	666	12	107.490643075597
chr22	35674169	35674465	297	5	-107.444249373448
chr22	19651714	19654526	2813	16	107.253726499563
chr22	28448394	28451477	3084	11	107.144454636843
chr22	44146228	44147595	1368	12	-107.128163144277
chr22	49829960	49830346	387	9	-107.065824573572
chr22	23614556	23618131	3576	12	106.968644501986
chr22	49717883	49718205	323	8	106.856415935962
chr22	45612026	45612820	795	7	-106.738535427478
chr22	27687423	27687541	119	9	106.718469273896
chr22	43543501	43544490	990	13	-106.598529324695
chr22	18347961	18350458	2498	8	-106.545953942501
chr22	34252401	34252980	580	10	106.491717956645
chr22	37583766	37584115	350	5	-106.485344928222
chr22	17578098	17578149	52	10	-106.149964464105
chr22	36983511	36984116	606	7	106.091656566946
chr22	44652496	44652959	464	9	-106.054692320284
chr22	22301718	22302940	1223	9	105.706960908602
chr22	27173546	27173810	265	6	-105.419143251502
chr22	38825320	38825963	644	8	105.309156695781
chr22	28181290	28181631	342	31	105.292291270889
chr22	46986679	46989017	2339	18	105.26762664035
chr22	24734383	24735507	1125	11	-105.242877423209
chr22	28747095	28747807	713	7	-105.235496662642
chr22	28171825	28172566	742	14	-105.163129827893
chr22	46439353	46439843	491	6	-104.942537841128
chr22	47846704	47848522	1819	9	104.930778912987
chr22	49014148	49018154	4007	11	104.879878039808
chr22	23561094	23562131	1038	11	104.559352832722
chr22	24551584	24558833	7250	10	104.382928082564
chr22	50527732	50528213	482	15	103.950215881191
chr22	48390504	48390895	392	10	103.733224406767
chr22	26750700	26751072	373	13	103.458321832057
chr22	40112761	40113636	876	12	-103.362848764822
chr22	36713146	36713730	585	13	103.139931135532
chr22	19371082	19371569	488	8	-103.060978915463
chr22	42718225	42718501	277	7	-102.963221082911
chr22	46447623	46451733	4111	14	-102.887538804884
chr22	46048934	46049400	467	11	-102.660585110535
chr22	27318806	27319911	1106	10	-102.591587032892
chr22	21147410	21148497	1088	7	102.422421710384
chr22	26462663	26463023	361	9	-102.07672162441
chr22	27472233	27476338	4106	11	-102.042425112648
chr22	40791896	40793166	1271	9	101.858495554677
chr22	49593211	49594556	1346	13	-101.637622493398
chr22	40597681	40598883	1203	8	101.458909308171
chr22	36831467	36832124	658	9	-101.362849209593
chr22	50653142	50654492	1351	12	101.242956582499
chr22	48589642	48590014	373	9	-100.920677558709
chr22	29723617	29725064	1448	9	100.841410246251
chr22	43359209	43359602	394	9	-100.836591213393
chr22	36043979	36044792	814	8	-100.773493564492
chr22	29733695	29734756	1062	10	100.663654896912
chr22	31223113	31223669	557	8	100.453986878205
chr22	49408589	49409246	658	11	100.400592447013
chr22	26049934	26054745	4812	11	100.263355388794
chr22	39941769	39942114	346	8	-100.217706276487
chr22	26421405	26422288	884	14	100.210855165758
chr22	35530011	35531702	1692	9	-100.097629314664
chr22	40435174	40436262	1089	10	99.7959370695488
chr22	29509352	29509606	255	5	-99.7847318800069
chr22	20864598	20865655	1058	13	99.7332027703298
chr22	29687499	29688085	587	14	-99.6664357124776
chr22	38915685	38916552	868	9	99.5711955847414
chr22	34073686	34074721	1036	9	99.5494618912649
chr22	48744167	48746385	2219	15	99.4380023051311
chr22	48717180	48717502	323	8	-99.4172746733097
chr22	40716340	40717334	995	9	99.3492283778358
chr22	26078728	26082814	4087	11	99.1229915064019
chr22	32436711	32442148	5438	11	-98.9430840496997
chr22	40725810	40726945	1136	14	-98.8451434040842
chr22	31620014	31621779	1766	7	-98.7943583816313
chr22	35553177	35554730	1554	10	-98.7017259312115
chr22	34982940	34984202	1263	11	-98.5334917074539
chr22	35423192	35428711	5520	14	-98.5171656177448
chr22	44884038	44884366	329	5	-98.5063124557121
chr22	41886244	41886309	66	8	-98.4334367347348
chr22	28382739	28383805	1067	8	98.4274703880857
chr22	26090217	26090599	383	10	98.4060376554361
chr22	29025565	29025769	205	6	-98.1848066778768
chr22	23536137	23536521	385	7	98.1567979818142
chr22	32546458	32551613	5156	18	-97.9200832619154
chr22	28146033	28146734	702	9	-97.7633785863174
chr22	34199319	34199520	202	5	97.719430619508
chr22	19047940	19048137	198	7	97.6670253124662
chr22	27329150	27329417	268	13	-97.5314291273443
chr22	44720565	44721305	741	9	-97.5197259032938
chr22	49808489	49809145	657	8	-97.3640028117031
chr22	27049373	27049483	111	5	97.2455905556862
chr22	40719313	40719754	442	11	97.1769228908168
chr22	39496156	39496443	288	15	-97.1254023425114
chr22	40008259	40009992	1734	10	97.1175807532182
chr22	40363772	40365645	1874	6	-97.0346844957888
chr22	25588436	25591870	3435	11	96.9471836114567
chr22	46496882	46499097	2216	9	-96.7256640800334
chr22	36972620	36973281	662	6	96.6654643131998
chr22	38404813	38406107	1295	7	-96.6075653259934
chr22	50580088	50580751	664	12	-96.5993867367212
chr22	49749754	49754029	4276	13	-96.5818318698201
chr22	17867258	17867662	405	10	-96.5120518372426
chr22	36137976	36139663	1688	17	96.3550017857756
chr22	43520790	43521111	322	11	-96.0304161160736
chr22	43852676	43854474	1799	7	95.9431541316406
chr22	33881724	33883777	2054	16	-95.7284546297256
chr22	38445884	38449449	3566	8	-95.6735548620866
chr22	25149848	25150215	368	10	-95.4833060542961
chr22	50171110	50172043	934	12	95.3054763840404
chr22	35877185	35877404	220	6	95.2895864601651
chr22	27598888	27599422	535	16	-95.1936093953786
chr22	48942942	48943048	107	7	95.1619829030862
chr22	27874015	27877314	3300	12	-94.9631510384026
chr22	45034766	45035519	754	8	-94.956727271358
chr22	35179329	35180128	800	10	-94.7270272181727
chr22	19879787	19880623	837	13	94.5024052953515
chr22	44810544	44811164	621	10	94.486465095379
chr22	27954362	27955470	1109	12	94.3429342333402
chr22	32874979	32876094	1116	7	-94.2759073832397
chr22	35626843	35627730	888	15	-94.2186845437324
chr22	48742318	48742706	389	8	-94.2095964164016
chr22	23468148	23468284	137	7	94.1897469257408
chr22	34246636	34248128	1493	15	94.1632925548963
chr22	30403131	30404642	1512	22	-94.1055801304959
chr22	50529926	50530972	1047	13	-93.8734706163947
chr22	37540732	37542403	1672	11	-93.7169571490788
chr22	30112119	30112580	462	5	-93.6927516752358
chr22	18387457	18387572	116	10	-93.5369071269887
chr22	41795014	41795284	271	7	93.4101755902622
chr22	37202707	37203296	590	14	-93.2606968349189
chr22	38441088	38442874	1787	8	-93.056369154727
chr22	47343868	47344418	551	13	-93.0214850881677
chr22	31120488	31120736	249	6	-93.0001619245791
chr22	33935927	33936747	821	9	-92.9044905382529
chr22	42576018	42576693	676	7	92.8764220309549
chr22	27298869	27299909	1041	12	-92.6966055624572
chr22	18640073	18641647	1575	17	-92.6823730222541
chr22	40669001	40670582	1582	18	92.6247096993825
chr22	27248029	27250033	2005	13	-92.5172568524122
chr22	48668658	48668839	182	5	-92.3589640736928
chr22	26488306	26488647	342	10	-92.2867682535165
chr22	43886506	43886833	328	5	92.2438944226442
chr22	47289998	47290698	701	8	-92.1194602831508
chr22	44616917	44617259	343	7	91.7013968752846
chr22	35472504	35477252	4749	11	-91.6181733739475
chr22	44825408	44826397	990	11	-91.5948234910731
chr22	27008035	27008142	108	12	-91.5540988719068
chr22	24903260	24904803	1544	7	-91.389488295294
chr22	37367548	37368177	630	15	-91.0812104820017
chr22	40683901	40685686	1786	5	91.0771556298373
chr22	27690154	27690910	757	14	91.0080841373161
chr22	18074836	18076861	2026	16	90.9989928324408
chr22	28115575	28115875	301	7	-90.9659707465387
chr22	45998973	45999236	264	10	-90.9007124594234
chr22	44163832	44164910	1079	8	-90.7925661215374
chr22	50556758	50557462	705	9	-90.7310145644439
chr22	37160256	37160811	556	7	-90.3026388734722
chr22	36765436	36766320	885	10	90.1187132910112
chr22	34824828	34825253	426	10	-90.0255175297852
chr22	25531667	25535202	3536	11	89.9767784661228
chr22	32923972	32925238	1267	6	-89.9530603119791
chr22	33799747	33800214	468	11	89.6491498320815
chr22	31074247	31078270	4024	13	-89.4527256377147
chr22	26348597	26350385	1789	5	-89.4124440325685
chr22	40411311	40412047	737	12	-89.4101454296843
chr22	25444157	25444674	518	6	88.9684375840117
chr22	47394206	47394525	320	11	-88.9224343528151
chr22	40627700	40628937	1238	17	88.8383018356837
chr22	40576533	40576808	276	6	88.7728587723681
chr22	45797485	45798598	1114	7	-88.7439357818574
chr22	38148160	38149108	949	10	-88.6179573839364
