chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_celltype_chimp	Bonferroni_celltype_human	Bonferroni_celltype_macaq
chr10	11103960	11119100	OD_hyper	OD_hyper	15141	94	1712.8415714103	0.468	0.8991	0.5043	0.8834	0.4943	0.907	2.08850760494683e-35	3.63376207723081e-186	2.37087153172085e-230
chr8	136510970	136530931	OD_hyper	OD_hyper	19962	124	1677.71109079826	0.5691	0.8599	0.5353	0.8443	0.4849	0.6488	2.27151241320009e-19	2.29168071388423e-45	2.88808493312812e-33
chr10	11324508	11340154	OD_hyper	OD_hyper	15647	98	1666.23579225157	0.5381	0.9074	0.5922	0.9154	0.5182	0.9372	1.66631724882024e-33	3.77253259506419e-196	0
chr8	136544967	136568030	OD_hyper	OD_hyper	23064	104	1645.74367943847	0.5355	0.8689	0.5172	0.857	0.5449	0.7596	1.88084505258834e-28	2.31915533009579e-87	6.02465104044474e-75
chr5	71405403	71423932	OD_hyper	OD_hyper	18530	103	1598.17257242869	0.3057	0.6647	0.4049	0.759	0.4402	0.7044	1.42438376360733e-71	1.54174549837398e-91	5.24696411900936e-87
chr2	70978382	70996085	OD_hyper	OD_hyper	17704	96	1558.70434515678	0.3425	0.566	0.5733	0.9029	0.3324	0.5842	3.41853874645762e-115	4.2841317741737e-101	3.4192916338973e-74
chr18	3804920	3819264	OD_hyper	OD_hyper	14345	96	1547.87837725982	0.5469	0.9168	0.648	0.9105	0.5484	0.7948	2.09953130606599e-36	1.76644992902356e-190	5.90296007051925e-133
chr5	88026480	88039952	OD_hyper	OD_hyper	13473	64	1500.16442714246	0.3425	0.8887	0.3514	0.8976	0.38	0.9091	6.08631317517774e-195	3.29464842169668e-224	0
chr8	65276957	65285654	OD_hyper	OD_hyper	8698	71	1491.32243117137	0.2517	0.6865	0.2847	0.772	0.2622	0.5714	5.33083640193481e-51	5.54651846329661e-199	8.53661898320676e-77
chr2	233780807	233791166	OD_hyper	OD_hyper	10360	84	1490.78386509229	0.4495	0.9041	0.5044	0.9232	0.5829	0.8292	6.54743102346153e-22	3.68204888870012e-141	1.24227142144172e-65
chr5	149629402	149652113	OD_hyper	OD_hyper	22712	82	1460.36580536764	0.4846	0.882	0.5306	0.8855	0.4371	0.8254	7.82589786984054e-52	3.26891561068888e-190	3.77505076549536e-147
chr5	57747407	57755063	OD_hyper	OD_hyper	7657	54	1456.81108745134	0.1736	0.7774	0.2002	0.8164	0.137	0.6035	2.04526701030684e-92	0	2.42807644604377e-259
chr10	11368377	11377992	OD_hyper	OD_hyper	9616	84	1425.26632677339	0.3746	0.7847	0.4465	0.8308	0.3989	0.8107	1.75517711573059e-33	7.13045442619244e-127	3.38500456277202e-133
chr4	153260490	153275668	OD_hyper	OD_hyper	15179	68	1388.83954934544	0.2837	0.7789	0.3207	0.7713	0.3039	0.7975	4.05634086192519e-70	1.69451088327838e-225	0
chr5	149652391	149670615	OD_hyper	OD_hyper	18225	60	1347.1104036134	0.2442	0.7874	0.3129	0.8329	0.3065	0.7793	3.72391536432756e-76	1.90818484415023e-205	3.64950919399499e-183
chr10	3815724	3825429	OD_hyper	OD_hyper	9706	75	1333.11867004438	0.3482	0.7838	0.392	0.7719	0.3805	0.7349	3.04297661530435e-23	8.84549849286116e-81	1.65925569169844e-76
chr6	12716580	12731310	OD_hyper	OD_hyper	14731	89	1331.51811365485	0.3507	0.7334	0.4029	0.733	0.3785	0.6933	4.58788340700208e-27	4.47816032908905e-130	2.86403723114458e-109
chr13	100636572	100647914	OD_hyper	OD_hyper	11343	101	1328.41409878256	0.3585	0.6366	0.381	0.7824	0.3877	0.7368	3.4209721717975e-36	8.31591027053507e-69	9.40368776450797e-173
chr5	166998728	167004834	OD_hyper	OD_hyper	6107	73	1290.15841476959	0.2046	0.5869	0.2347	0.6114	0.2069	0.5609	9.30181445346791e-118	4.35690318934741e-212	3.92213757353069e-178
chr8	9753498	9760528	OD_hyper	OD_hyper	7031	53	1270.04080367132	0.1108	0.7319	0.1381	0.8028	0.157	0.7889	3.04042602902222e-200	0	0
chr2	200306360	200321610	OD_hyper	OD_hyper	15251	69	1245.42484035897	0.2668	0.6101	0.4219	0.8218	0.2717	0.5796	4.01017817864906e-27	2.06121025178385e-145	5.67688938409037e-65
chr20	10224384	10238016	OD_hyper	OD_hyper	13633	74	1238.11121661348	0.515	0.9083	0.5298	0.868	0.5704	0.8709	2.97888188761911e-33	3.33987203138901e-171	3.19342218868902e-127
chr3	35739322	35761698	OD_hyper	OD_hyper	22377	86	1235.94686483765	0.56	0.9026	0.6329	0.8941	0.5802	0.9002	9.26952238100555e-17	3.62684766616838e-125	5.98279840464148e-171
chr22	39225109	39240840	OD_hyper	OD_hyper	15732	67	1234.08231281513	0.2464	0.455	0.4455	0.8518	0.3477	0.6657	8.01565776851961e-52	4.12323436751222e-84	7.47466506524119e-110
chr2	175657291	175671833	OD_hyper	OD_hyper	14543	72	1222.7433648674	0.5402	0.9163	0.5856	0.9057	0.6608	0.9101	2.75233853853646e-25	7.74780889018682e-155	2.88686222777293e-166
chr5	175108356	175124590	OD_hyper	OD_hyper	16235	74	1194.58011722792	0.5684	0.8027	0.5279	0.8131	0.569	0.8098	1.63119604580226e-71	1.31594629333251e-76	1.31749882738649e-264
chr1	214155154	214160435	OD_hyper	OD_hyper	5282	81	1193.00413033867	0.1674	0.43	0.3411	0.7138	0.1841	0.5224	1.27133012503345e-40	4.68809798178208e-59	1.14674147918779e-172
chr20	36613412	36620397	OD_hyper	OD_hyper	6986	55	1174.42460414607	0.4176	0.8433	0.4278	0.8667	0.4768	0.8248	8.52665149715266e-76	4.94544787837492e-186	6.51976111097397e-225
chr10	11152989	11160134	OD_hyper	OD_hyper	7146	61	1163.12594469006	0.4831	0.9258	0.55	0.942	0.427	0.8857	1.90180334915675e-41	2.15549244970002e-157	9.77565452044073e-255
chr13	76375752	76381354	OD_hyper	OD_hyper	5603	47	1161.22020354475	0.3995	0.9341	0.4438	0.9228	0.3904	0.8896	1.09835844223229e-156	0	0
chr5	73925668	73935414	OD_hyper	OD_hyper	9747	68	1146.41083763685	0.3748	0.8278	0.4753	0.8655	0.3817	0.8629	1.87166025482602e-15	8.12003138211387e-206	3.30326103768904e-133
chr2	2320941	2332220	OD_hyper	OD_hyper	11280	66	1142.06297658761	0.1708	0.5612	0.193	0.5853	0.1232	0.4721	1.36999758121834e-202	2.39325586748288e-201	1.761100584189e-239
chr18	35112179	35121521	OD_hyper	OD_hyper	9343	66	1104.29328647785	0.4247	0.7574	0.4684	0.8188	0.3946	0.7037	7.13044214699001e-186	0	4.23474536976421e-173
chr3	107785669	107807301	OD_hyper	OD_hyper	21633	75	1104.03901705986	0.5937	0.9005	0.6614	0.9196	0.686	0.8938	1.02347543022698e-35	5.69340701569267e-128	2.96944848429983e-221
chr20	10200617	10215807	OD_hyper	OD_hyper	15191	52	1093.90497495428	0.3255	0.7884	0.3233	0.7212	0.365	0.8299	1.54690804110129e-75	1.95023811866599e-213	0
chr22	27054358	27066240	OD_hyper	OD_hyper	11883	60	1087.50866614433	0.3041	0.6339	0.3694	0.7828	0.3228	0.6354	6.97141720685774e-103	1.33450038464857e-71	2.66621944807174e-206
chr5	92921738	92931945	OD_hyper	OD_hyper	10208	64	1085.33509823017	0.2888	0.6637	0.3708	0.7398	0.3756	0.7694	1.45284620208998e-38	1.48807269020611e-61	4.09295100290972e-255
chr5	88007152	88019817	OD_hyper	OD_hyper	12666	72	1083.57715509122	0.4518	0.7968	0.5288	0.8694	0.4789	0.902	1.4085820380291e-137	1.88220468803247e-163	0
chr14	60087131	60097816	OD_hyper	OD_hyper	10686	60	1076.70694142928	0.1972	0.4299	0.3455	0.7192	0.2022	0.4637	1.71566610105097e-169	1.2224348865281e-86	1.8717366145491e-107
chr10	11316698	11322017	OD_hyper	OD_hyper	5320	64	1057.71636261317	0.4135	0.8204	0.4292	0.8427	0.3739	0.9188	1.30291071948694e-29	5.58203750481293e-138	1.2030189939875e-211
chr15	25226673	25240192	OD_hyper	OD_hyper	13520	76	1049.18001153384	0.4831	0.7829	0.5014	0.7957	0.404	0.6252	1.4474949232366e-47	6.60909122774647e-180	4.43357149041641e-155
chr12	4921173	4931105	OD_hyper	OD_hyper	9933	56	1041.33127781629	0.2845	0.7594	0.2318	0.6693	0.3524	0.7609	1.26657959484962e-241	0	9.74304650605201e-199
chr16	56813808	56823776	OD_hyper	OD_hyper	9969	57	1026.80364905775	0.547	0.8808	0.4457	0.8287	0.5376	0.8338	7.18691725817564e-116	8.2616895225629e-263	0
chr5	161276046	161291940	OD_hyper	OD_hyper	15895	45	1025.38869982765	0.4084	0.8499	0.4613	0.8678	0.4944	0.8812	2.61558379081248e-215	9.92903874358223e-269	0
chr11	113944256	113951049	OD_hyper	OD_hyper	6794	63	1012.93039952593	0.411	0.7916	0.3663	0.7694	0.3893	0.8294	3.36404564449059e-105	9.16177984403514e-127	1.57764399244132e-209
chr10	14368118	14373938	OD_hyper	OD_hyper	5821	35	1003.80720305842	0.1621	0.7963	0.1894	0.8129	0.172	0.8849	0	0	5.72383089577345e-277
chr8	141093641	141100717	OD_hyper	OD_hyper	7077	66	994.70967711902	0.5455	0.8706	0.5962	0.9241	0.4612	0.8989	1.72061131497232e-83	4.89613274299871e-136	5.0850235930182e-193
chr5	17219416	17226540	OD_hyper	OD_hyper	7125	58	987.488661979142	0.2097	0.6088	0.1958	0.6151	0.3802	0.7796	1.39058059649574e-68	4.35525565282051e-159	7.14782409451419e-106
chr11	33396522	33400999	OD_hyper	OD_hyper	4478	50	981.150655412027	0.1399	0.2901	0.3632	0.7338	0.2013	0.4888	4.98574462726182e-141	9.94251981427777e-60	3.81394288086475e-158
chr2	144703795	144715329	OD_hyper	OD_hyper	11535	57	976.858795723898	0.5254	0.8875	0.542	0.8726	0.5457	0.8255	7.35759444943972e-26	2.50092386364051e-205	9.04262926340194e-61
chr17	79030539	79036415	OD_hyper	OD_hyper	5877	56	967.893099233096	0.4455	0.9017	0.5307	0.9096	0.5437	0.8695	5.23222809285622e-13	2.79380333098331e-131	5.08231551627958e-49
chr2	60724613	60737196	OD_hyper	OD_hyper	12584	60	959.343365970696	0.6028	0.9071	0.6154	0.8949	0.6795	0.8856	3.1514952254303e-116	0	2.04785929734068e-256
chr11	12182021	12190384	OD_hyper	OD_hyper	8364	55	955.053967664376	0.5252	0.8967	0.5731	0.9202	0.6311	0.9435	1.20716763463214e-54	1.10952169724156e-142	0
chr9	137985499	137999305	OD_hyper	OD_hyper	13807	52	945.697630079603	0.3488	0.7515	0.3104	0.7488	0.3232	0.734	1.59341814051096e-28	2.63000355564803e-68	3.73985755033218e-150
chr12	16742903	16758112	OD_hyper	OD_hyper	15210	62	941.231310871132	0.2789	0.6058	0.3436	0.7011	0.3545	0.5726	1.63443343508332e-20	9.68923706624012e-67	6.36094084144115e-43
chr12	16719926	16731039	OD_hyper	OD_hyper	11114	60	933.44548176003	0.5171	0.8662	0.531	0.8623	0.6393	0.8167	7.32499229632206e-17	3.09650770019194e-115	2.40268851744292e-66
chr1	2238406	2241613	OD_hyper	OD_hyper	3208	55	933.444340187165	0.4543	0.9248	0.5488	0.9219	0.4999	0.8966	7.7783747462504e-61	8.23242106108971e-165	1.3055593806069e-223
chr3	73603071	73611855	OD_hyper	OD_hyper	8785	39	916.127896323521	0.3992	0.9233	0.4345	0.9033	0.4694	0.8973	3.10688242732947e-110	0	0
chr2	172934181	172948244	OD_hyper	OD_hyper	14064	91	913.505837987787	0.4009	0.6063	0.541	0.8118	0.4212	0.6344	6.63221551179458e-17	8.13068329814906e-26	1.30684766017915e-33
chr2	235398584	235403955	OD_hyper	OD_hyper	5372	48	910.7088556898	0.2223	0.6836	0.2178	0.6821	0.1804	0.6877	4.07954235097978e-121	4.4243506851029e-133	0
chr15	37394818	37398766	OD_hyper	OD_hyper	3949	68	910.320440848831	0.2405	0.5978	0.2154	0.5664	0.2176	0.5438	4.84894211744766e-25	5.28016362734146e-92	4.94573538989675e-69
chr9	131315831	131320815	OD_hyper	OD_hyper	4985	50	908.344000410535	0.2267	0.6935	0.2802	0.7515	0.2204	0.5367	7.30179366657437e-171	2.16534247240184e-79	4.8400984546671e-128
chr17	9843493	9850783	OD_hyper	OD_hyper	7291	66	907.162053521794	0.6573	0.9269	0.6681	0.9013	0.6771	0.8626	1.67115626059195e-51	3.19696336486423e-179	2.61633836473104e-41
chr2	175701120	175710357	OD_hyper	OD_hyper	9238	47	904.045038088449	0.3597	0.8682	0.3933	0.909	0.3747	0.9093	4.70264710058619e-32	5.74891466105746e-126	3.21981977889037e-136
chr11	109291133	109298562	OD_hyper	OD_hyper	7430	49	902.894186472763	0.0829	0.2832	0.2765	0.6745	0.0689	0.2349	3.51312544837599e-205	1.47549058982142e-98	1.59940443658169e-31
chr6	152782765	152793813	OD_hyper	OD_hyper	11049	55	890.926864615561	0.3813	0.7736	0.3945	0.6964	0.5161	0.7521	4.82715341483042e-26	7.66575767339047e-193	4.27091018984803e-79
chr8	94931130	94938481	OD_hyper	OD_hyper	7352	49	882.04228983069	0.4381	0.8862	0.4846	0.8813	0.5167	0.8671	5.73519355925166e-38	1.77851650468291e-152	3.19403945732369e-164
chr14	104151365	104153830	OD_hyper	OD_hyper	2466	49	881.252419836195	0.4733	0.9081	0.5213	0.928	0.5675	0.7854	2.72675970799256e-47	6.32570089047954e-117	1.11322175292619e-49
chr1	244219462	244226143	OD_hyper	OD_hyper	6682	44	880.595748707607	0.369	0.8651	0.4344	0.911	0.5006	0.8853	1.86646970744997e-22	8.64130504590213e-84	2.11250153330983e-79
chr5	88040715	88050977	OD_hyper	OD_hyper	10263	50	877.118815591969	0.5491	0.9321	0.5916	0.9161	0.6076	0.9207	2.4908837602067e-166	1.10820455352628e-215	0
chr9	34956287	34965508	OD_hyper	OD_hyper	9222	45	871.631385713735	0.2898	0.6069	0.4538	0.8584	0.3528	0.6648	7.20955661026933e-28	9.84673366233476e-156	9.34131581578877e-64
chr16	14280535	14288967	OD_hyper	OD_hyper	8433	49	870.240991200424	0.3036	0.7515	0.3426	0.7215	0.3912	0.7605	4.34419363166219e-38	3.89391343771932e-83	7.33976873239982e-154
chr2	136355061	136364099	OD_hyper	OD_hyper	9039	53	869.108020460131	0.5936	0.9359	0.6047	0.931	0.6309	0.9053	4.93545600207422e-41	2.49957428562795e-124	2.3611498020341e-171
chr10	134111256	134120246	OD_hyper	OD_hyper	8991	66	868.194097050319	0.5635	0.8943	0.5574	0.8441	0.5688	0.8054	4.15852351304576e-18	1.09822701120104e-127	2.34014542847165e-88
chr15	80733461	80741453	OD_hyper	OD_hyper	7993	47	861.441090268357	0.4203	0.8476	0.4168	0.8438	0.2065	0.7615	6.12404636510504e-172	3.57451338049174e-178	0
chr11	47550068	47556956	OD_hyper	OD_hyper	6889	47	860.525357769933	0.4929	0.9214	0.5213	0.9063	0.6205	0.9143	6.56045620776379e-36	1.12486498608303e-119	5.76322179183021e-267
chr11	125037470	125040380	OD_hyper	OD_hyper	2911	34	859.682289621276	0.1798	0.8088	0.2704	0.867	0.1687	0.7612	5.40376026090665e-104	8.42812472934033e-124	2.23530670281042e-230
chr2	37887034	37897902	OD_hyper	OD_hyper	10869	65	857.145555526556	0.6854	0.9064	0.5871	0.8899	0.6195	0.8194	9.45022786839829e-99	2.95616780485574e-99	2.59389116611813e-84
chr13	36419339	36432082	OD_hyper	OD_hyper	12744	51	854.872601152814	0.4663	0.8568	0.4981	0.8609	0.4117	0.784	4.51705709113809e-38	3.44531518162018e-172	4.51123498512736e-118
chr11	113965097	113970992	OD_hyper	OD_hyper	5896	46	847.638069852205	0.5276	0.9021	0.4161	0.8669	0.5054	0.9139	1.64605377657987e-54	1.05129058529602e-167	3.72716142904305e-274
chr22	26088023	26092610	OD_hyper	OD_hyper	4588	44	844.280102419829	0.582	0.9272	0.601	0.9176	0.76	0.933	3.14038888497095e-182	3.99016813448734e-285	7.44079066735331e-183
chr16	87634692	87642997	OD_hyper	OD_hyper	8306	38	842.932590169151	0.1152	0.3162	0.2519	0.862	0.1619	0.3419	7.85966911491947e-82	1.59220946676147e-73	1.7247859416924e-42
chr3	10510515	10522012	OD_hyper	OD_hyper	11498	49	842.660949802502	0.4059	0.8401	0.4596	0.8415	0.4038	0.7515	2.29494293980937e-45	3.74372013552887e-288	7.59277738051536e-209
chr10	11358505	11365467	OD_hyper	OD_hyper	6963	53	841.465870751745	0.5031	0.9108	0.6194	0.9334	0.4765	0.9195	6.40474314102252e-27	3.25295183764133e-111	1.36458816518055e-304
chr5	67588385	67593246	OD_hyper	OD_hyper	4862	36	827.169784291903	0.2983	0.8627	0.3698	0.8709	0.3186	0.9029	3.01151946620579e-37	1.05479600481675e-148	4.60797134124421e-301
chr8	136586461	136600610	OD_hyper	OD_hyper	14150	64	825.346786817186	0.6056	0.8685	0.5908	0.8455	0.5649	0.7877	1.09383512727271e-21	8.67894243295703e-109	2.62486218593332e-61
chr5	16806751	16810992	OD_hyper	OD_hyper	4242	48	825.249166027015	0.4362	0.8827	0.5255	0.8746	0.4389	0.9156	2.4473718249253e-22	3.84270249735505e-193	1.50569626586307e-231
chr7	44299221	44310610	OD_hyper	OD_hyper	11390	39	821.985513243728	0.5074	0.8713	0.4105	0.8204	0.5481	0.8191	1.39295722015742e-131	2.9458520684724e-208	0
chr20	1894944	1911258	OD_hyper	OD_hyper	16315	60	820.296793966459	0.5269	0.7893	0.5057	0.806	0.6153	0.8217	6.73275294753751e-33	1.48884836418852e-56	1.70200380335541e-129
chr2	58990783	58999932	OD_hyper	OD_hyper	9150	56	811.546386286695	0.5813	0.8579	0.592	0.8805	0.6493	0.8599	2.12748250028378e-106	2.55010037988557e-125	2.80128794615517e-137
chr20	10258348	10263899	OD_hyper	OD_hyper	5552	36	810.215797156339	0.3264	0.8849	0.376	0.8343	0.4252	0.8075	2.48288027860257e-64	6.87524252342694e-219	1.38019157066899e-231
chr2	46154288	46158008	OD_hyper	OD_hyper	3721	38	807.213678489202	0.223	0.7617	0.3044	0.7718	0.3709	0.774	1.71529937956382e-220	2.16685167545423e-273	7.2347352097034e-223
chr9	136441718	136447515	OD_hyper	OD_hyper	5798	34	807.014140102482	0.4361	0.8685	0.3903	0.8996	0.4732	0.8465	5.64189969318333e-213	2.95564722975406e-183	1.38494448126952e-102
chr19	31829513	31837446	OD_hyper	OD_hyper	7934	62	799.202278675183	0.5218	0.8005	0.6062	0.8394	0.5577	0.8427	1.57522851459535e-27	2.05473217565449e-54	5.65257547509647e-119
chr13	109806734	109810309	OD_hyper	OD_hyper	3576	45	798.728772812661	0.4044	0.8644	0.4598	0.8634	0.514	0.9233	1.83306760142347e-17	1.71987060721336e-114	3.92417689263688e-265
chr1	14108709	14113106	OD_hyper	OD_hyper	4398	44	795.950128627171	0.3526	0.8054	0.3164	0.7985	0.5706	0.8701	3.97400003798122e-57	7.59472206756822e-81	5.3635606222778e-97
chr11	19736492	19745954	OD_hyper	OD_hyper	9463	39	793.521371894304	0.3946	0.876	0.3675	0.875	0.3361	0.8672	3.38574275568217e-193	3.18018528688312e-249	0
chr12	125612336	125614805	OD_hyper	OD_hyper	2470	35	790.77959335861	0.337	0.8605	0.3266	0.8739	0.5116	0.8953	2.01219046697296e-71	1.01713280230719e-191	2.11360661119524e-170
chr18	56027312	56032636	OD_hyper	OD_hyper	5325	38	790.343179863073	0.5064	0.9351	0.5259	0.9386	0.6591	0.8912	1.20106874569386e-63	5.4927414458039e-232	6.82986403536437e-70
chr18	35135884	35144278	OD_hyper	OD_hyper	8395	60	788.823820198315	0.414	0.7012	0.4474	0.6568	0.4387	0.6878	3.50632742797861e-73	1.36548641856046e-93	7.95691195319073e-78
chr14	65427371	65440471	OD_hyper	OD_hyper	13101	67	781.281921113223	0.3333	0.5425	0.5577	0.8189	0.4742	0.7103	1.63143352811977e-40	1.96142307757945e-65	2.62617911074802e-41
chr12	122789187	122795843	OD_hyper	OD_hyper	6657	36	780.732297289576	0.3645	0.8774	0.3811	0.899	0.4005	0.9038	1.37773453920159e-141	6.65824745084673e-301	0
chr2	106774822	106778398	OD_hyper	OD_hyper	3577	44	777.917199073444	0.4706	0.9148	0.5159	0.9026	0.6519	0.8493	9.4838343148333e-23	7.48411974665082e-169	6.34823820464344e-23
chr11	12124991	12137804	OD_hyper	OD_hyper	12814	40	775.949761792806	0.2405	0.4978	0.4939	0.8978	0.2892	0.5663	1.01589329750278e-158	9.41297774849131e-99	4.11840422178903e-69
chr2	240579292	240584946	OD_hyper	OD_hyper	5655	42	774.419818661696	0.6065	0.9125	0.5554	0.9106	0.6855	0.8755	1.13931237568485e-47	8.22612733194683e-213	2.79598040014271e-161
chr22	28185267	28190968	OD_hyper	OD_hyper	5702	62	773.292182452656	0.5114	0.788	0.5345	0.8056	0.3926	0.6453	3.02717420161898e-35	5.8251065836102e-34	1.87568926790616e-120
chr12	79271028	79297104	OD_hyper	OD_hyper	26077	58	766.896020452901	0.6045	0.867	0.6252	0.8616	0.6198	0.8514	2.7322195304036e-21	1.88801942217118e-99	1.60091316954394e-115
chr8	136470548	136478127	OD_hyper	OD_hyper	7580	48	764.964263460295	0.1871	0.541	0.2335	0.6815	0.1398	0.4079	2.07754242871742e-41	2.68180494864397e-49	6.83210635169934e-57
chr20	43430616	43437755	OD_hyper	OD_hyper	7140	39	761.441946271282	0.3906	0.6689	0.437	0.8188	0.2782	0.6063	3.43661284460495e-187	1.07628794981751e-94	0
chr6	44216253	44223789	OD_hyper	OD_hyper	7537	48	760.087542819584	0.4027	0.6989	0.4244	0.7801	0.4413	0.6283	9.74783106215687e-46	1.56093232246823e-95	1.14212651480348e-69
chr21	40191366	40196427	OD_hyper	OD_hyper	5062	51	758.748256892388	0.6189	0.934	0.6765	0.9203	0.6723	0.9347	3.85357079615788e-21	1.83022484453536e-108	1.26636951276336e-112
chr2	199179829	199189137	OD_hyper	OD_hyper	9309	40	758.41382140227	0.4168	0.8776	0.4734	0.8855	0.4916	0.8489	1.76605755498016e-21	6.11560187097084e-126	3.22325266893725e-159
chr12	14097369	14108992	OD_hyper	OD_hyper	11624	40	754.822068734365	0.4926	0.8683	0.5098	0.8669	0.4761	0.8095	7.2168691442629e-197	5.99592364925912e-235	0
chr22	25507935	25511962	OD_hyper	OD_hyper	4028	39	754.105135755473	0.2682	0.8447	0.372	0.8511	0.2796	0.8168	3.56335608757053e-59	5.91663198005659e-108	1.86835861426235e-205
chr3	25470113	25478587	OD_hyper	OD_hyper	8475	62	752.95436362124	0.5034	0.7434	0.5418	0.804	0.6334	0.8247	5.11548451791809e-75	1.37460979058597e-68	2.05472139375936e-140
chr14	29237876	29243119	OD_hyper	OD_hyper	5244	43	749.817305422235	0.0197	0.3556	0.0137	0.4025	0.0095	0.3446	4.57108782152754e-84	2.79593184485515e-87	0
chr3	141103299	141110158	OD_hyper	OD_hyper	6860	53	749.551618982862	0.2508	0.5631	0.2545	0.6312	0.1878	0.5734	5.40978312968778e-149	1.28961374058127e-105	0
chr3	184052193	184061741	OD_hyper	OD_hyper	9549	41	747.544165501194	0.1962	0.4077	0.3142	0.7589	0.3028	0.543	5.33143045290674e-49	4.59056046752927e-95	1.16817600113635e-61
chr14	91115783	91122846	OD_hyper	OD_hyper	7064	38	744.181647129573	0.46	0.8784	0.5037	0.8923	0.5372	0.8398	1.3832284954447e-65	1.45409548166687e-172	2.40272772112439e-176
chr1	181452732	181462427	OD_hyper	OD_hyper	9696	51	738.692591986823	0.1462	0.3305	0.3484	0.6363	0.1877	0.4162	2.07679799585114e-49	8.93704941694396e-84	9.32103990707602e-25
chr4	46985458	46994901	OD_hyper	OD_hyper	9444	39	737.444818862719	0.3557	0.7822	0.4302	0.8049	0.3668	0.7779	1.67029137110742e-60	8.05228703767033e-233	1.27091987676709e-103
chr17	79371745	79379054	OD_hyper	OD_hyper	7310	61	735.09144769443	0.1215	0.3104	0.2913	0.6271	0.1649	0.361	3.44269842000534e-51	1.5791025639444e-36	1.72874565279375e-61
chr12	7301000	7314773	OD_hyper	OD_hyper	13774	49	731.540586521161	0.5689	0.9162	0.6356	0.905	0.6137	0.8739	6.54871113971744e-31	2.1015272320266e-123	6.44725810166846e-144
chr2	175682654	175693765	OD_hyper	OD_hyper	11112	51	729.149355120262	0.5176	0.8515	0.5335	0.861	0.4971	0.7589	1.71492153560738e-17	2.21235441143621e-98	1.6389655324577e-54
chr4	6343697	6352955	OD_hyper	OD_hyper	9259	42	728.313240802555	0.4707	0.8392	0.4302	0.8336	0.5692	0.7711	6.05035711914358e-68	1.64938723634565e-129	4.80785255734673e-84
chr8	110657854	110661828	OD_hyper	OD_hyper	3975	35	726.488089061507	0.3333	0.799	0.3044	0.8503	0.212	0.7461	2.06755448749502e-99	8.16534108680168e-162	0
