chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr10	11238908	11240049	Chimp_hyper_OD	Human-specific	1142	11	-56.057652946153	0.2611	0.1792	0.2509	0.4269	0.3619	0.749	1.64848973841578e-20	6.78017300856843e-07	4.70290289458612e-48
chr14	99710721	99711150	Chimp_hyper_OD	Human-specific	430	13	-55.6709643506785	0.6174	0.6063	0.5783	0.787	0.6558	0.8675	2.04906740260952e-05	0.691133302140312	1.20409227272842e-08
chr2	144103882	144104663	Chimp_hyper_OD	Human-specific	782	9	-55.491569643001	0.2928	0.4643	0.1493	0.6177	0.174	0.7793	7.27120739118681e-20	0.000112429119061064	3.60511832300303e-37
chr10	20107219	20108237	Chimp_hyper_OD	Human-specific	1019	9	-55.3343749246341	0.2057	0.2083	0.2879	0.716	0.2332	0.4863	7.59594933283519e-16	0.0020068548691661	1.35826872727809e-07
chr6	57037999	57038468	Chimp_hyper_OD	Human-specific	470	14	-54.6749155552004	0.128	0.2078	0.1984	0.5464	0.457	0.8662	2.60822563314213e-09	0.497013224137024	7.7741246974855e-27
chr22	37067482	37068442	Chimp_hyper_OD	Human-specific	961	8	-53.9542306043441	0.5358	0.5749	0.518	0.8164	0.681	0.9065	4.30436175866308e-13	0.10664089457899	2.21368876324597e-15
chr10	78189440	78190293	Chimp_hyper_OD	Human-specific	854	8	-50.336165996076	0.1916	0.2232	0.1746	0.544	0.2183	0.4126	8.49048937936487e-13	8.58506270255991e-05	1.83606698192955e-07
chr2	234225787	234226127	Chimp_hyper_OD	Human-specific	341	5	-49.9314418449841	0.1764	0.2214	0.1935	0.6941	0.1703	0.9166	4.83811658821047e-34	2.50300507719663e-20	8.35945941794877e-148
chr12	50268635	50268989	Chimp_hyper_OD	Human-specific	355	7	-49.7126501028747	0.1619	0.3995	0.1942	0.7459	0.2027	0.7326	7.13547692399291e-27	0.455909003113027	1.7264070525628e-17
chr10	35746976	35748174	Chimp_hyper_OD	Human-specific	1199	12	-48.5695593906259	0.2665	0.3789	0.2843	0.5819	0.3952	0.8015	9.71584155067807e-07	0.00129168635873856	2.06609567211213e-21
chr1	112491021	112491901	Chimp_hyper_OD	Human-specific	881	6	-46.9970561678276	0.3846	0.1976	0.4024	0.7927	0.3877	0.834	5.16830115760417e-37	0.000731780573077624	4.96535273719247e-45
chr5	179750236	179751269	Chimp_hyper_OD	Human-specific	1034	7	-46.4608305546175	0.3996	0.5126	0.3259	0.6968	0.2971	0.6371	3.40073449478153e-17	0.0293314686271841	9.96797844402221e-11
chr1	50882140	50882434	Chimp_hyper_OD	Human-specific	295	12	-46.3415986746291	0.1155	0.1346	0.1146	0.3483	0.1871	0.6926	2.95150418151198e-09	2.85844922080506e-05	1.69889613472067e-42
chr7	154412013	154412557	Chimp_hyper_OD	Human-specific	545	9	-44.9994322555073	0.2027	0.7201	0.142	0.8646	0.2371	0.9335	3.24506251368369e-09	0.895466407521003	1.49350530785452e-08
chr21	20321819	20322199	Chimp_hyper_OD	Human-specific	381	5	-44.0197219383646	0.7272	0.6732	0.5444	0.9154	0.7691	0.9452	2.99121651206139e-41	6.64237433875427e-05	1.44918226286607e-22
chr5	1541672	1542294	Chimp_hyper_OD	Human-specific	623	7	-43.8363619179873	0.2068	0.3625	0.4408	0.8691	0.5223	0.7829	4.18620067397442e-16	0.000647798748959887	0.000126088049958288
chr2	27069973	27070112	Chimp_hyper_OD	Human-specific	140	6	-43.8290917869446	0.0176	0.1474	0.1273	0.7155	0.348	0.9102	1.55461227792078e-15	0.555811239517917	1.11409480613387e-23
chr4	113901642	113902406	Chimp_hyper_OD	Human-specific	765	6	-42.8082810185625	0.7153	0.6058	0.747	0.94	0.5978	0.9173	1.90019762562568e-18	0.00740420348392423	4.94147165012547e-33
chr4	188098229	188098961	Chimp_hyper_OD	Human-specific	733	8	-42.4658108488979	0.5806	0.532	0.7654	0.8951	0.7716	0.9303	1.87373528365282e-05	0.186623237986785	1.45343895304749e-09
chr5	126204795	126205414	Chimp_hyper_OD	Human-specific	620	8	-42.4571109569032	0.0482	0.0542	0.0592	0.2721	0.0509	0.2218	1.71121979996866e-18	0.289948038310671	5.24169565721466e-09
chr3	102418023	102418626	Chimp_hyper_OD	Human-specific	604	5	-42.4284182289331	0.3333	0.3465	0.3954	0.8334	0.6182	0.8586	6.20459523330605e-26	6.07908437512643e-05	7.37722405138463e-10
chr5	76373992	76374811	Chimp_hyper_OD	Human-specific	820	6	-42.2209154425226	0.5463	0.487	0.6748	0.9118	0.5266	0.8465	4.13357841515504e-40	0.246407400296804	3.26288847790114e-54
chr2	23613085	23613265	Chimp_hyper_OD	Human-specific	181	8	-42.166656122843	0.1919	0.3622	0.2623	0.7445	0.6312	0.9078	1.15393797923853e-05	0.0434882178399719	0.0174650590741575
chr10	134880693	134881137	Chimp_hyper_OD	Human-specific	445	10	-41.9277719969939	0.2219	0.3013	0.3257	0.7243	0.5053	0.9153	2.20731087620072e-06	0.353580506879962	8.70713867335558e-11
chr1	178620925	178621098	Chimp_hyper_OD	Human-specific	174	8	-41.5905082054735	0.065	0.2472	0.052	0.4963	0.1742	0.5739	2.20074785045314e-07	0.111902183669668	4.69778441486866e-05
chr2	3775771	3776007	Chimp_hyper_OD	Human-specific	237	6	-40.6334487219602	0.0179	0.0394	0.3117	0.7131	0.6264	0.8499	2.64845341318658e-21	0.00409071803053479	2.22950929827107e-07
chr3	127435320	127437491	Chimp_hyper_OD	Human-specific	2172	5	-40.5251542720784	0.5373	0.5164	0.5427	0.8705	0.5503	0.8835	2.17294824167976e-30	0.912397114795276	7.87541399331383e-39
chr10	6771752	6772261	Chimp_hyper_OD	Human-specific	510	5	-40.1799445000873	0.5095	0.5797	0.427	0.8581	0.3339	0.7702	1.48893502461129e-20	0.982818192443675	1.1899130845256e-16
chr6	82854870	82854937	Chimp_hyper_OD	Human-specific	68	4	-39.8919116339599	0.0159	0.0959	0.0396	0.5655	0.2089	0.9163	2.55085375329095e-17	0.0402214885154581	7.51386871569309e-29
chr10	24737671	24738804	Chimp_hyper_OD	Human-specific	1134	8	-39.7299359671673	0.2583	0.4518	0.3469	0.7877	0.4238	0.8056	3.10833800150451e-15	0.0288689838746235	3.37981884926661e-14
chr5	19886482	19886708	Chimp_hyper_OD	Human-specific	227	4	-39.6809888214417	0.1771	0.4636	0.2425	0.8993	0.2988	0.8307	6.50033674747374e-18	0.00415459596512225	4.2922462963811e-12
chr3	16190379	16190474	Chimp_hyper_OD	Human-specific	96	4	-39.4464369974747	0.4993	0.2677	0.4115	0.8372	0.7101	0.9567	6.33357025294375e-22	0.215953563012271	3.89568976701575e-28
chr8	17012777	17013149	Chimp_hyper_OD	Human-specific	373	5	-38.8145136169881	0.116	0.112	0.0623	0.3829	0.1245	0.5759	1.62044372825364e-42	0.0283953007781661	1.36954803003177e-55
chr12	118812981	118813371	Chimp_hyper_OD	Human-specific	391	7	-38.6405241486651	0.2262	0.1445	0.2189	0.4862	0.4898	0.8595	2.2389948146315e-20	0.001187249181646	1.02100774570135e-48
chr22	33861562	33861803	Chimp_hyper_OD	Human-specific	242	5	-38.5979723424154	0.331	0.1488	0.5567	0.7729	0.6888	0.9415	1.3812400560786e-19	0.0551116583346065	7.52766304955784e-41
chr1	225048708	225049182	Chimp_hyper_OD	Human-specific	475	5	-38.3510320734668	0.2613	0.2982	0.3777	0.8172	0.4792	0.804	3.6443363132527e-24	2.38467285609658e-05	2.31995581196109e-18
chr20	47961987	47962337	Chimp_hyper_OD	Human-specific	351	9	-38.2308567174621	0.0473	0.5588	0.0668	0.8272	0.0814	0.8	7.87050946325842e-10	0.109411958275505	9.18007390992208e-06
chr17	72808613	72809528	Chimp_hyper_OD	Human-specific	916	5	-38.0087831528085	0.4576	0.4333	0.5536	0.853	0.5911	0.7912	9.41266953347464e-11	0.0382196219065694	2.96027780202409e-06
chr6	22877971	22878847	Chimp_hyper_OD	Human-specific	877	7	-38.0026620154992	0.4599	0.4673	0.5191	0.7951	0.6727	0.8392	2.36670724946005e-10	0.0567872248767953	1.3386567391398e-07
chr12	130338989	130339231	Chimp_hyper_OD	Human-specific	243	6	-37.9672394236547	0.1227	0.1093	0.2487	0.6474	0.2706	0.4943	9.9356997156915e-13	0.00376637389876364	4.12678524736094e-08
chr5	111091610	111092139	Chimp_hyper_OD	Human-specific	530	7	-37.7070206848648	0.0217	0.3533	0.0138	0.5586	0.0155	0.4799	2.50283743661313e-06	0.067711438874458	0.00150442323678067
chr17	2803203	2803382	Chimp_hyper_OD	Human-specific	180	5	-37.3939139975305	0.2526	0.2428	0.4026	0.8554	0.2791	0.8784	5.04872732909287e-12	0.0319478981027714	8.14469177822192e-37
chr18	74798455	74798942	Chimp_hyper_OD	Human-specific	488	9	-37.3581229773937	0.2593	0.4695	0.3263	0.7788	0.5543	0.8991	3.72104283704404e-06	0.234114449241877	0.00102764298788309
chr7	75966311	75966483	Chimp_hyper_OD	Human-specific	173	5	-37.2577614244922	0.3187	0.2906	0.35	0.7504	0.22	0.7477	7.65751808007957e-18	0.000333772473881586	5.34592371001513e-31
chr18	3596775	3597013	Chimp_hyper_OD	Human-specific	239	7	-36.0381132654173	0.404	0.2707	0.5812	0.7882	0.5815	0.7848	4.7395550407714e-09	0.980544265146215	1.13252428930555e-11
chr12	2264335	2264454	Chimp_hyper_OD	Human-specific	120	5	-36.0323339182031	0.4341	0.3924	0.669	0.9659	0.4079	0.8938	3.82885343153993e-18	0.0361002756992406	1.23894526899751e-17
chr12	15716633	15716914	Chimp_hyper_OD	Human-specific	282	5	-35.8949138439713	0.3533	0.5402	0.2672	0.8285	0.4441	0.8456	7.66040246033706e-12	0.000545967334223361	1.08110083604219e-05
chr5	89900389	89900840	Chimp_hyper_OD	Human-specific	452	4	-35.8559570971362	0.1423	0.1168	0.3205	0.6934	0.2186	0.5151	4.3581983775165e-19	0.147687120295965	5.20559386226853e-27
chr16	9856134	9856256	Chimp_hyper_OD	Human-specific	123	6	-35.640628489385	0.5074	0.4737	0.5578	0.9233	0.5243	0.9599	3.11567907926843e-08	0.150197815357944	1.76639945472855e-16
chr20	8114184	8114366	Chimp_hyper_OD	Human-specific	183	8	-35.3783223043268	0.0738	0.2726	0.0889	0.6144	0.091	0.7026	2.38263089919482e-11	0.0253647046148446	1.57991942744402e-23
chr6	112098506	112098694	Chimp_hyper_OD	Human-specific	189	5	-35.2164097746191	0.381	0.2586	0.433	0.6657	0.2342	0.9343	1.9085306395887e-17	8.44631133209352e-23	3.82075627904901e-77
chr9	103877463	103877623	Chimp_hyper_OD	Human-specific	161	4	-35.0620071230854	0.2663	0.1412	0.3991	0.8171	0.4703	0.8539	1.32145207758095e-17	0.925706044313797	5.20467159099978e-30
chr1	230204723	230205161	Chimp_hyper_OD	Human-specific	439	9	-34.9861117836349	0.1226	0.2668	0.1085	0.4704	0.2703	0.6658	1.76329172390337e-08	0.622973461079103	3.81876779701871e-09
chr18	55784835	55785546	Chimp_hyper_OD	Human-specific	712	7	-34.9003029313557	0.5415	0.5929	0.4794	0.8701	0.5218	0.7605	3.84389219087631e-16	0.000289121431747715	0.000166592468509003
chr8	135056370	135057786	Chimp_hyper_OD	Human-specific	1417	4	-34.693308494585	0.6942	0.587	0.5157	0.8303	0.6744	0.7859	4.07620045142178e-25	2.83373545530033e-06	6.57852470937508e-09
chr12	25054285	25054489	Chimp_hyper_OD	Human-specific	205	4	-34.5316042873315	0.105	0.2975	0.0429	0.5156	0.0503	0.6269	7.99486517749399e-19	0.0570285228643259	6.75707745184514e-32
chr14	104023396	104023638	Chimp_hyper_OD	Human-specific	243	6	-34.4148467909614	0.114	0.1527	0.3135	0.6309	0.1485	0.4896	3.88529475486489e-11	0.454823089178746	4.2815714890036e-14
chr9	112630789	112631647	Chimp_hyper_OD	Human-specific	859	6	-34.2041541386173	0.061	0.374	0.063	0.6314	0.0685	0.6153	7.47225736093479e-08	0.977542287112857	7.20171262205875e-09
chr14	90871574	90872118	Chimp_hyper_OD	Human-specific	545	8	-34.0152870205672	0.1648	0.4349	0.1691	0.6937	0.1143	0.7799	7.67556488691526e-10	1.73209846126453e-06	5.08229758100116e-32
chr11	119860082	119860416	Chimp_hyper_OD	Human-specific	335	7	-33.8832182467684	0.3928	0.3192	0.4647	0.6989	0.3483	0.8598	1.99384534459161e-09	2.20665462603551e-13	9.57182479034344e-37
chr5	88176788	88177792	Chimp_hyper_OD	Human-specific	1005	7	-33.838207891964	0.0337	0.49	0.0248	0.7518	0.0362	0.7064	2.78862767471715e-10	0.0474077493716493	2.37315684654941e-07
chr12	125333024	125333108	Chimp_hyper_OD	Human-specific	85	5	-33.643212190899	0.2297	0.2432	0.4202	0.912	0.4006	0.7107	3.12250078783353e-13	0.0127256868615182	1.68677528315005e-05
chr17	78769182	78770042	Chimp_hyper_OD	Human-specific	861	6	-33.2663666370087	0.4259	0.2703	0.6506	0.8846	0.386	0.9369	2.46657659749368e-24	9.34583595723895e-18	8.26190248981385e-104
chr21	45440694	45441688	Chimp_hyper_OD	Human-specific	995	6	-33.2593358336255	0.3989	0.3925	0.4107	0.7501	0.3705	0.6701	2.47142767193509e-13	0.16666302360838	2.93706805672743e-20
chr3	185773140	185773538	Chimp_hyper_OD	Human-specific	399	6	-33.2585410967348	0.2703	0.5516	0.1522	0.7704	0.2613	0.7508	8.92305847251961e-24	7.98174550390047e-06	2.98310161811597e-08
chr1	169096477	169096623	Chimp_hyper_OD	Human-specific	147	5	-33.0824546878117	0.1621	0.3895	0.1898	0.7542	0.1372	0.75	1.33594011602872e-14	0.112013335921074	5.31396016619547e-27
chr10	25971086	25971834	Chimp_hyper_OD	Human-specific	749	7	-33.013062003112	0.0428	0.1306	0.0625	0.412	0.0558	0.5706	2.52395485876828e-20	3.40985754897219e-09	4.42651190465291e-60
chr13	74314737	74315070	Chimp_hyper_OD	Human-specific	334	5	-32.6285889051589	0.1811	0.3935	0.29	0.8886	0.3837	0.8157	1.8464505665946e-12	0.000294671703992848	8.62723735684232e-05
chr7	3769544	3770176	Chimp_hyper_OD	Human-specific	633	5	-32.0810149777718	0.5193	0.4431	0.4506	0.7114	0.6543	0.9563	1.35132146391747e-09	0.0671188230368429	3.32161867052056e-31
chr10	52086351	52086881	Chimp_hyper_OD	Human-specific	531	5	-31.814088517844	0.4541	0.3257	0.3615	0.521	0.4862	0.705	2.61040057220404e-10	0.548919918331358	1.02989966488361e-16
chr6	166958691	166958887	Chimp_hyper_OD	Human-specific	197	6	-31.7432514763052	0.4606	0.7151	0.3651	0.954	0.5607	0.9342	2.69800163181897e-11	0.000395667798419893	0.000199214790162364
chr18	21018217	21018724	Chimp_hyper_OD	Human-specific	508	6	-31.7164772571652	0.1916	0.2244	0.438	0.7907	0.2694	0.5546	2.49476146139322e-09	0.26776657864531	6.29238154132406e-10
chr3	170893534	170893793	Chimp_hyper_OD	Human-specific	260	7	-31.6124274451982	0.5785	0.5763	0.6646	0.8425	0.6144	0.8135	3.72152663399115e-06	0.66972331630744	1.83161124901653e-10
chr10	21378738	21379085	Chimp_hyper_OD	Human-specific	348	5	-31.5279215459001	0.4932	0.3502	0.3882	0.709	0.6902	0.8981	2.93311089918939e-34	0.216001129337619	1.72564731694895e-28
chr4	2979018	2979318	Chimp_hyper_OD	Human-specific	301	4	-31.4828510995181	0.2989	0.1964	0.5785	0.9397	0.4676	0.872	9.43633332295782e-18	0.760870994159234	5.32655313455729e-26
chr11	46621094	46622025	Chimp_hyper_OD	Human-specific	932	6	-30.9186321017836	0.3537	0.364	0.4087	0.7533	0.2758	0.8052	2.17636111603212e-10	0.0145131657301035	6.3732528780459e-33
chr16	48383330	48383463	Chimp_hyper_OD	Human-specific	134	5	-30.8652220104758	0.4112	0.4829	0.6014	0.9484	0.6657	0.9462	2.18871721505907e-20	0.126232501302202	2.04781702791732e-11
chr17	78592774	78592915	Chimp_hyper_OD	Human-specific	142	5	-30.8512924394748	0.1465	0.3277	0.1329	0.5859	0.3245	0.7326	1.0037102370441e-14	0.308479929671427	1.81099523460149e-13
chr10	115299623	115299880	Chimp_hyper_OD	Human-specific	258	5	-30.8484978897081	0.547	0.5219	0.4946	0.8878	0.485	0.9303	6.05858547331209e-12	0.0926573904753809	3.04582706943456e-31
chr5	6545878	6546225	Chimp_hyper_OD	Human-specific	348	7	-30.6088002710899	0.197	0.5511	0.1765	0.7449	0.272	0.9056	2.40390409421588e-08	0.0204581753784228	3.97676595591736e-18
chr10	14300581	14302678	Chimp_hyper_OD	Human-specific	2098	7	-30.4740984581597	0.5118	0.5753	0.5695	0.8847	0.5331	0.8514	1.780597285261e-14	0.843145457956311	1.18427860372959e-23
chr1	49344351	49344532	Chimp_hyper_OD	Human-specific	182	4	-30.3404588467263	0.2578	0.421	0.2456	0.8364	0.2467	0.7362	1.40724525547863e-13	0.161830944047944	4.37809317944939e-11
chr10	52835118	52835346	Chimp_hyper_OD	Human-specific	229	5	-30.3090396224429	0.1084	0.2115	0.129	0.5427	0.0651	0.4738	2.70440718590054e-13	0.126429237310837	2.45105511819053e-26
chr16	474200	474492	Chimp_hyper_OD	Human-specific	293	6	-30.24829542683	0.0268	0.1135	0.0803	0.4693	0.1842	0.7725	1.16517776708656e-06	0.0290509094839989	6.24686039414311e-14
chr16	13875122	13875725	Chimp_hyper_OD	Human-specific	604	6	-30.1973972529363	0.219	0.2657	0.3229	0.6596	0.4727	0.7702	2.96810129065432e-11	0.0982304342953852	1.49738364510959e-08
chr4	176864758	176865504	Chimp_hyper_OD	Human-specific	747	6	-29.809943104529	0.1241	0.4256	0.1941	0.7312	0.104	0.8464	6.93779467406519e-09	7.12911946453565e-14	4.84957929527941e-49
chr4	165539347	165539689	Chimp_hyper_OD	Human-specific	343	4	-29.6796953701872	0.5708	0.5184	0.5044	0.9053	0.6098	0.9322	1.01286491105309e-14	0.769989078104355	4.47741882927455e-21
chr2	7403092	7403467	Chimp_hyper_OD	Human-specific	376	5	-29.5442552752485	0.4995	0.3284	0.3947	0.6428	0.5315	0.8931	1.02456240604791e-12	0.0118272714068727	4.22744367242759e-25
chr2	36603496	36603716	Chimp_hyper_OD	Human-specific	221	5	-29.4839969455091	0.1842	0.1493	0.269	0.5496	0.2599	0.4114	1.49465472778773e-13	0.00945023184855196	1.50806083251515e-06
chr17	38781482	38782080	Chimp_hyper_OD	Human-specific	599	5	-29.4738808867913	0.1189	0.2644	0.2583	0.69	0.5617	0.8984	1.14679506369488e-11	0.194744458017801	2.80867181053537e-08
chr5	76484069	76484674	Chimp_hyper_OD	Human-specific	606	4	-29.2073276167409	0.6731	0.5425	0.7322	0.9382	0.5784	0.8655	1.48774022817971e-18	0.266585616508015	2.55557903605466e-26
chr10	18834976	18835453	Chimp_hyper_OD	Human-specific	478	8	-29.1921729183739	0.162	0.6059	0.2205	0.8953	0.0719	0.8055	2.56285272767207e-15	0.00062735888755875	6.00336177349888e-18
chr1	181761075	181761518	Chimp_hyper_OD	Human-specific	444	5	-29.1429125336232	0.5368	0.3706	0.5958	0.8339	0.4328	0.8614	4.71256349847051e-18	0.00689501681981548	2.04622542039687e-49
chr12	121613310	121613502	Chimp_hyper_OD	Human-specific	193	5	-28.9804547510466	0.1883	0.5007	0.129	0.788	0.3186	0.872	5.0805856268059e-10	0.122391500249533	5.43438024535325e-05
chr4	76995494	76996832	Chimp_hyper_OD	Human-specific	1339	5	-28.96294015753	0.3149	0.5213	0.2587	0.6629	0.4625	0.8476	1.85401932192461e-11	0.325083416937333	1.0753915478063e-08
chr11	113113890	113113972	Chimp_hyper_OD	Human-specific	83	6	-28.6740294003107	0.0426	0.0471	0.0716	0.3027	0.0526	0.2791	7.29771686323594e-08	0.984744086937176	1.39990733261787e-08
chr20	4668127	4668286	Chimp_hyper_OD	Human-specific	160	6	-28.6039342839409	0.0219	0.0791	0.041	0.3321	0.0562	0.6652	9.43755143719028e-07	1.60428723086677e-13	1.35862256455948e-41
chr5	107229497	107229826	Chimp_hyper_OD	Human-specific	330	5	-28.3773050172585	0.4758	0.3578	0.465	0.7094	0.3994	0.7031	5.61157605672439e-13	0.0859670536107188	7.93108171847468e-23
chr17	54402621	54402842	Chimp_hyper_OD	Human-specific	222	4	-28.3010383050215	0.0856	0.228	0.1554	0.7079	0.243	0.8957	3.00558461551248e-14	0.00203483701881875	1.94714106455684e-21
chr3	144411222	144411584	Chimp_hyper_OD	Human-specific	363	6	-28.1434517329706	0.3271	0.2821	0.4761	0.6858	0.4346	0.7427	9.82015132834405e-05	0.19023403665239	2.29099691814068e-17
chr7	28001000	28001394	Chimp_hyper_OD	Human-specific	395	5	-28.1412216371356	0.4324	0.3815	0.4398	0.6841	0.2814	0.911	3.41929682034026e-09	2.31298786140559e-15	2.3208163352783e-70
chr19	32898424	32898515	Chimp_hyper_OD	Human-specific	92	5	-28.0235849209762	0.2586	0.2851	0.2195	0.6164	0.2339	0.8885	7.92346502370564e-09	0.000228881156830547	8.73573671427805e-37
chr6	16514291	16514618	Chimp_hyper_OD	Human-specific	328	6	-27.7266968149282	0.1088	0.0665	0.1124	0.3558	0.3589	0.7928	1.35510671192195e-11	0.00157095625709252	4.20842758513499e-26
chr2	193054726	193056620	Chimp_hyper_OD	Human-specific	1895	5	-27.6013350272	0.4133	0.4051	0.3465	0.5659	0.3539	0.7859	9.77886580948266e-09	1.28652397770422e-07	1.10815773377299e-45
chr1	72663393	72663937	Chimp_hyper_OD	Human-specific	545	4	-27.553741216568	0.5092	0.5274	0.5421	0.9193	0.7051	0.9206	9.66355578217963e-10	0.00858113763696955	2.85219485769372e-06
chr11	123430262	123430504	Chimp_hyper_OD	Human-specific	243	6	-27.5228305247449	0.0539	0.1903	0.0647	0.5051	0.0345	0.4539	2.62942739003728e-14	0.0998062220101454	3.30399168560002e-17
chr7	79818542	79819018	Chimp_hyper_OD	Human-specific	477	5	-27.5119627777082	0.6274	0.5577	0.5713	0.7563	0.6614	0.8212	2.76876632403679e-11	0.702768067224665	1.99824781586354e-08
