chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_species_HvsC	Bonferroni_species_MvsC	Bonferroni_species_MvsH
chr21	44167211	44169292	human_hyper	Human-specific	2082	21	140.059129732749	0.8356	0.5687	0.4988	0.4191	0.2948	0.1429	2.84882338533912e-17	5.04328546237318e-49	3.60752560406926e-102
chr5	148504989	148505531	human_hyper	Human-specific	543	10	139.287952776067	0.9476	0.781	0.543	0.3283	0.2372	0.2176	1.55016185994949e-119	4.03547651677104e-15	4.40408337985203e-132
chr19	6795037	6795635	human_hyper	Human-specific	599	13	137.454650505682	0.8448	0.7966	0.4856	0.4895	0.3846	0.3177	2.27118824670987e-51	7.96949229929193e-12	1.67088090866003e-194
chr10	17065371	17066154	human_hyper	Human-specific	784	12	135.906011996304	0.8125	0.7903	0.4585	0.4675	0.4129	0.5615	8.09896273112321e-83	0.631707969921579	1.99640560980757e-39
chr12	85818401	85818908	human_hyper	Human-specific	508	9	134.794001135504	0.7587	0.7336	0.3517	0.3836	0.5193	0.4828	2.58232338875412e-117	1.27234021093247e-14	8.21620643977855e-54
chr1	28156541	28156880	human_hyper	Human-specific	340	9	133.872263141252	0.6371	0.6035	0.1579	0.1426	0.3298	0.2745	1.37861752195354e-143	2.073948879596e-18	1.24397502255397e-53
chr20	259061	260408	human_hyper	Human-specific	1348	10	132.683760881324	0.5062	0.5316	0.358	0.3839	0.1894	0.1507	1.16413964040705e-09	4.14914152601535e-13	9.76236985052016e-33
chr12	133464991	133465672	human_hyper	Human-specific	682	12	132.04449899841	0.6017	0.4637	0.2926	0.2144	0.3432	0.2792	1.6423220806424e-76	1.08363910791171e-09	5.19467955604456e-21
chr12	61563322	61564334	human_hyper	Human-specific	1013	8	130.281497338649	0.9406	0.8768	0.4884	0.332	0.3826	0.171	6.77233227332655e-255	3.56389120388133e-10	1.23038755654386e-299
chr3	147139670	147140555	human_hyper	Human-specific	886	23	129.656536244317	0.6149	0.8429	0.4248	0.723	0.2253	0.5516	4.51139785702644e-09	8.09109071946782e-15	9.71507664330208e-37
chr19	43071385	43071619	human_hyper	Human-specific	235	11	128.287963881605	0.5949	0.5966	0.274	0.3138	0.2716	0.4262	1.67937303307674e-45	0.0467071231186233	3.34578328211572e-22
chr15	45569885	45571217	human_hyper	Human-specific	1333	17	127.545404443213	0.4757	0.4267	0.24	0.2093	0.1489	0.1176	3.226868891649e-15	2.5183158102563e-05	6.22775482705924e-35
chr6	26299257	26299993	human_hyper	Human-specific	737	18	127.227935021892	0.2391	0.3576	0.0611	0.1535	0.0111	0.0592	1.36867821370768e-34	2.13228632367085e-23	2.18081251922971e-166
chr16	27279378	27279738	human_hyper	Human-specific	361	17	127.202283660935	0.2109	0.2568	0.0998	0.1043	0.129	0.106	2.80791830940641e-35	0.170739597435797	4.88748921433053e-12
chr16	14725858	14726254	human_hyper	Human-specific	397	19	126.929631388009	0.4234	0.4615	0.2548	0.2646	0.2104	0.3259	5.63423594066994e-27	0.946813122553573	6.92087620702931e-18
chr5	110062384	110063027	human_hyper	Human-specific	644	15	124.461611032471	0.2866	0.3423	0.099	0.0988	0.0035	0.004	7.56685861841583e-22	1.8227027268412e-75	2.92151798807898e-81
chr12	114832579	114833665	human_hyper	Human-specific	1087	21	122.783307185366	0.1955	0.3598	0.0775	0.1579	0.059	0.122	4.18415548154013e-26	5.537442998269e-08	5.23733952443293e-38
chr19	11670594	11671017	human_hyper	Human-specific	424	20	121.559232096674	0.4124	0.4296	0.2381	0.2078	0.1269	0.1173	1.01195248849906e-24	3.84358076657953e-10	5.39752785939584e-78
chr10	116548224	116548870	human_hyper	Human-specific	647	10	117.593726719211	0.9359	0.9404	0.5439	0.6449	0.7208	0.709	6.67053214407598e-150	2.57402838086096e-13	1.36543559095701e-117
chr20	799120	799671	human_hyper	Human-specific	552	10	116.824635919271	0.8927	0.8826	0.5318	0.6113	0.4371	0.2835	3.24556853977929e-65	2.21737002774168e-05	3.33837085580434e-90
chr14	74709129	74711003	human_hyper	Human-specific	1875	24	116.280993781405	0.5276	0.4995	0.4249	0.3519	0.2761	0.2413	1.44352041097721e-19	3.67202682522468e-19	5.6319953714841e-73
chr1	202975221	202975710	human_hyper	Human-specific	490	10	115.977679410474	0.655	0.6341	0.324	0.2888	0.0203	0.0248	6.33745899369102e-69	1.94366522962814e-198	0
chr8	67835853	67836742	human_hyper	Human-specific	890	16	112.29380854758	0.6835	0.7082	0.4319	0.456	0.0958	0.2332	6.97353175647757e-32	6.83142674743004e-40	1.32654825380598e-137
chr21	30390720	30391183	human_hyper	Human-specific	464	14	107.893253700114	0.2893	0.3407	0.1117	0.0954	0.0235	0.0542	9.74609233689412e-17	7.31960624454259e-20	8.16435917960996e-37
chr17	10632494	10634427	human_hyper	Human-specific	1934	15	107.677910175743	0.3275	0.2546	0.1284	0.0928	0.0564	0.1199	3.4572216396131e-42	0.0909873369931416	9.02030911073278e-08
chr7	127291128	127291323	human_hyper	Human-specific	196	8	107.485363518958	0.7224	0.8185	0.2754	0.4296	0.0947	0.0599	6.28641303977753e-59	8.45005914890781e-25	1.75572361024006e-254
chr1	7845192	7845514	human_hyper	Human-specific	323	7	107.261521896782	0.8178	0.8173	0.3837	0.3526	0.1764	0.2035	6.12615691897652e-76	5.91301094201116e-09	6.80470805189903e-161
chr5	173710024	173710535	human_hyper	Human-specific	512	9	105.771545125651	0.7641	0.6359	0.2933	0.266	0.1649	0.164	7.50974012448836e-72	1.7502581566252e-06	1.96618550682871e-110
chr8	29911349	29911841	human_hyper	Human-specific	493	7	105.036565057254	0.9284	0.9474	0.5239	0.4643	0.3004	0.324	1.10597612991951e-185	1.72067606086557e-15	3.30464394981632e-221
chr16	84952789	84953807	human_hyper	Human-specific	1019	11	104.776774421838	0.9292	0.9323	0.6122	0.6506	0.743	0.6895	7.18292284674857e-47	0.007447150234935	3.67757736734284e-57
chr10	38427432	38429612	human_hyper	Human-specific	2181	13	103.097316798141	0.9489	0.8871	0.81	0.7438	0.5371	0.397	9.28016952585291e-52	5.86513029316453e-31	5.90992976693928e-131
chr4	128981252	128981503	human_hyper	Human-specific	252	9	102.387184075516	0.6439	0.6983	0.3426	0.3132	0.2561	0.3816	1.48651649976222e-88	0.984960187066399	5.09025194209297e-83
chr3	3167944	3168161	human_hyper	Human-specific	218	7	102.194739958765	0.4003	0.3987	0.1104	0.0842	0.0763	0.0457	2.5959044764717e-78	5.66367585623968e-07	7.55397535083716e-107
chr3	196015294	196015663	human_hyper	Human-specific	370	17	100.794490416432	0.4175	0.6114	0.2142	0.4297	0.053	0.0712	1.03302887156276e-23	1.44616937356835e-23	4.97165472918388e-99
chr1	207224549	207225732	human_hyper	Human-specific	1184	14	99.8929820379733	0.5187	0.5504	0.2581	0.3575	0.2552	0.2948	8.37898260608596e-27	0.0446846821403707	7.72155507683549e-42
chr5	140772640	140773186	human_hyper	Human-specific	547	18	99.4379682065511	0.3999	0.4735	0.227	0.2783	0.2888	0.329	8.49827977033408e-24	0.00246939182214319	1.37841097852545e-12
chr17	56668793	56669334	human_hyper	Human-specific	542	6	98.858213647924	0.9468	0.9425	0.4751	0.3982	0.63	0.5282	1.9472097824485e-296	4.1798565469938e-15	2.5973851411848e-154
chr5	54472892	54474036	human_hyper	Human-specific	1145	12	98.4610497722345	0.7899	0.7121	0.5166	0.4761	0.5745	0.3779	1.92763077499586e-44	0.163678641805603	2.20904470030441e-47
chr17	38975626	38976042	human_hyper	Human-specific	417	10	98.3980206970118	0.3833	0.3982	0.1131	0.0695	0.057	0.0263	2.27903852984409e-50	1.18917281303744e-06	1.05412569380933e-105
chr7	47622153	47622424	human_hyper	Human-specific	272	10	97.8322768957269	0.8215	0.8062	0.4892	0.5454	0.6081	0.621	3.30414095773564e-43	0.000486854795424437	2.80617288729459e-41
chr7	10980615	10981283	human_hyper	Human-specific	669	8	97.443677181029	0.6474	0.6133	0.2746	0.2582	0.1923	0.153	1.22598710969367e-84	3.59527100266893e-19	2.2777034181638e-240
chr20	21372780	21374251	human_hyper	Human-specific	1472	14	97.3214220093424	0.5538	0.8201	0.3779	0.6827	0.3086	0.5073	1.22161524134043e-18	9.86228996153403e-09	1.85731867063099e-59
chr2	121453589	121453981	human_hyper	Human-specific	393	10	96.4141608417689	0.6399	0.5454	0.37	0.0694	0.1282	0.0993	9.22030632801931e-49	0.00230752380916971	1.20779217780689e-180
chr13	112838302	112838565	human_hyper	Human-specific	264	9	95.9290585347319	0.9415	0.6787	0.5533	0.3108	0.4354	0.0202	3.78562864050985e-47	2.22910708936842e-15	9.25722588415412e-89
chr20	59666581	59667752	human_hyper	Human-specific	1172	11	95.1958389055469	0.8473	0.8614	0.6913	0.6378	0.7328	0.5712	3.06353673972282e-31	0.872483697305561	1.40869233701849e-19
chr12	75878625	75879603	human_hyper	Human-specific	979	5	95.1052325817927	0.7872	0.8081	0.2212	0.3202	0.3791	0.3291	3.56073861578473e-149	1.7751769052794e-07	7.07621112478353e-76
chr6	27696118	27696563	human_hyper	Human-specific	446	19	94.5976903138834	0.8546	0.8323	0.7149	0.6575	0.1984	0.1209	1.60880952364168e-30	1.77251486599332e-85	2.74988713110923e-162
chr18	34407849	34408087	human_hyper	Human-specific	239	12	94.5885072292183	0.3129	0.4749	0.1249	0.2423	0.1068	0.2309	9.19833213524508e-34	0.0124133919384479	7.45591712926717e-54
chr1	53704702	53705264	human_hyper	Human-specific	563	8	93.3014598566657	0.5487	0.5976	0.3189	0.2421	0.0405	0.0418	1.15515972752083e-32	6.20894497832692e-37	2.07197223264672e-176
chr9	92904477	92905352	human_hyper	Human-specific	876	12	93.0875726465568	0.601	0.5091	0.3941	0.3393	0.0977	0.1148	1.08094131585717e-23	1.80740322846697e-80	1.3258093464209e-192
chr6	27499254	27500280	human_hyper	Human-specific	1027	11	91.7356379142541	0.9007	0.8817	0.6491	0.6135	0.1812	0.1937	4.69956290500317e-32	8.85441335121949e-40	0
chr12	66696911	66697273	human_hyper	Human-specific	363	12	91.5067677583362	0.8917	0.8791	0.6114	0.6537	0.6019	0.5509	1.52079534635065e-61	0.160323264597056	1.40447703771814e-63
chr5	34839819	34840141	human_hyper	Human-specific	323	10	90.5827802604917	0.5762	0.729	0.1747	0.3959	0.1723	0.3982	7.52749572596815e-62	0.83731716525914	2.95730382793734e-61
chr11	130534120	130535111	human_hyper	Human-specific	992	10	90.4424077971828	0.8531	0.8817	0.5555	0.5787	0.5666	0.4504	5.04985685663247e-87	0.187970321847448	4.4726028066699e-43
chr3	57679090	57679248	human_hyper	Human-specific	159	11	89.7597100540972	0.5693	0.6416	0.2661	0.3617	0.0898	0.111	7.75394789934713e-48	1.17582154226542e-47	3.44645573990793e-220
chr4	142408527	142409664	human_hyper	Human-specific	1138	11	89.556118592602	0.8681	0.8423	0.6596	0.3767	0.7377	0.4063	3.65730668840169e-40	5.28352802221845e-05	2.07976829669005e-19
chr10	102027832	102028016	human_hyper	Human-specific	185	9	89.0902677453546	0.4506	0.4614	0.0909	0.067	0.0035	0.0084	1.93256327465215e-39	5.15328817290526e-20	4.8264041672452e-115
chr9	2842872	2843294	human_hyper	Human-specific	423	5	88.8336546911588	0.5558	0.5198	0.1016	0.0842	0.008	0.0246	0	5.94409307626154e-20	0
chr13	101592870	101594154	human_hyper	Human-specific	1285	11	88.5393351142663	0.852	0.6898	0.6649	0.3681	0.6969	0.4088	3.19629839643372e-30	0.564104913495253	1.54219285554253e-27
chr10	38419065	38423111	human_hyper	Human-specific	4047	12	86.4205903673889	0.9052	0.8524	0.7439	0.7228	0.1901	0.1115	2.09699461253641e-44	2.90102867937088e-104	1.42974307156497e-224
chr20	54968435	54968870	human_hyper	Human-specific	436	11	86.3805091101475	0.3732	0.3599	0.1676	0.1453	0.2003	0.1584	4.02369338989172e-25	0.461763548917032	1.43316014398281e-17
chr15	24143104	24143535	human_hyper	Human-specific	432	13	85.7911589234917	0.7637	0.7822	0.5996	0.6353	0.4005	0.4005	1.83532281853723e-29	5.0267976362772e-21	4.5249915807929e-156
chr7	15878818	15879678	human_hyper	Human-specific	861	16	85.289567308526	0.5335	0.4146	0.3331	0.2288	0.406	0.1574	4.06973288154576e-09	0.556637658461301	1.2032424739747e-11
chr14	75349858	75350039	human_hyper	Human-specific	182	12	85.0495678516702	0.4762	0.4886	0.233	0.276	0.29	0.321	1.83640623982963e-24	0.0886519915857581	5.57762213001228e-09
chr2	39935025	39935514	human_hyper	Human-specific	490	9	84.7886081717865	0.6943	0.9501	0.3934	0.67	0.4534	0.5114	2.22726912083062e-45	0.0477870234552673	4.18310869260971e-31
chr3	158866958	158867542	human_hyper	Human-specific	585	8	84.4906633440796	0.5703	0.4037	0.1773	0.1861	0.2599	0.1318	1.47281009936723e-25	0.684287303178362	4.35188635353467e-38
chr18	8480806	8481031	human_hyper	Human-specific	226	7	84.4832557432613	0.6675	0.5858	0.1781	0.11	0.028	0.0215	5.88436293898963e-80	5.86226705294647e-24	6.46935203480894e-191
chr21	32995986	32996683	human_hyper	Human-specific	698	6	83.96905082668	0.9464	0.883	0.5184	0.3679	0.6439	0.3317	0	0.0152050186847933	8.76906986183017e-122
chr5	140556888	140557426	human_hyper	Human-specific	539	12	83.5783781550524	0.3477	0.3635	0.1829	0.1716	0.1713	0.1439	4.28466831563258e-17	0.0156537428831857	2.54229958471179e-25
chr12	133406085	133406412	human_hyper	Human-specific	328	9	83.2680810763356	0.749	0.7594	0.5225	0.5195	0.3484	0.4109	3.28263863338171e-62	3.76372732563242e-13	1.16816603978436e-75
chr9	115785473	115792967	human_hyper	Human-specific	7495	15	82.5311931921328	0.8384	0.7734	0.7023	0.6078	0.726	0.6861	6.08784758806087e-42	1.3804701611013e-05	1.16018892904568e-16
chr21	29047768	29048411	human_hyper	Human-specific	644	9	82.3746550120317	0.8225	0.851	0.5189	0.372	0.4533	0.2403	3.86131337955956e-43	0.0166235821005099	2.41527843202837e-46
chr8	4136665	4137595	human_hyper	Human-specific	931	7	82.2989768481409	0.8195	0.9257	0.568	0.604	0.513	0.3222	3.20940833703026e-63	1.60724004807225e-05	3.11218607909796e-47
chr15	42214129	42215053	human_hyper	Human-specific	925	9	81.9387470848239	0.9305	0.7117	0.7908	0.4467	0.8531	0.3287	8.63536581523467e-65	0.53405076015064	1.77572835361358e-20
chr1	160638271	160640000	human_hyper	Human-specific	1730	13	80.5815665406962	0.9371	0.9315	0.7263	0.7523	0.1229	0.1162	7.11936956679198e-40	1.21185707944005e-89	0
chr16	58163699	58164038	human_hyper	Human-specific	340	19	80.0424036733844	0.6434	0.635	0.4982	0.5062	0.2521	0.2274	1.68503072572623e-15	3.07685904881312e-48	1.05790736093515e-125
chr11	64933339	64933644	human_hyper	Human-specific	306	14	79.9359528802308	0.6328	0.549	0.5294	0.3357	0.1698	0.0965	8.73423963122083e-10	8.68076742971001e-32	1.02821832851113e-95
chr1	153756484	153756963	human_hyper	Human-specific	480	12	79.7067578232544	0.8149	0.8231	0.6277	0.6582	0.72	0.7158	9.82640339698414e-36	0.990567789690128	1.33714776381554e-40
chr17	48851578	48851836	human_hyper	Human-specific	259	5	79.6090204649578	0.9477	0.8972	0.5589	0.4011	0.1291	0.0395	7.41360300163191e-97	1.1282203108857e-73	0
chr18	8703110	8703817	human_hyper	Human-specific	708	10	79.5689859286549	0.848	0.7585	0.5553	0.3696	0.1171	0.046	7.1582690408271e-84	1.42645608570281e-155	0
chr19	57122761	57123611	human_hyper	Human-specific	851	8	79.42915246261	0.8397	0.5272	0.5905	0.161	0.5312	0.3104	5.59351946861845e-34	0.0389770303290146	2.65271907562873e-24
chr2	101923936	101924254	human_hyper	Human-specific	319	9	79.1442793373632	0.7519	0.8642	0.3576	0.6601	0.1294	0.2341	4.46393776693102e-24	4.48942000696173e-27	6.57621255886413e-197
chr12	108295368	108298703	human_hyper	Human-specific	3336	14	79.0153838485355	0.3282	0.3453	0.5382	0.4853	0.4784	0.4892	6.81874774189466e-27	0.807097841855491	4.50499459082931e-15
chr14	45720577	45721797	human_hyper	Human-specific	1221	14	78.6847733011653	0.4594	0.2693	0.3212	0.1667	0.3646	0.1173	2.27570605844486e-11	0.177335396794581	9.19825694124287e-14
chr10	103533302	103533918	human_hyper	Human-specific	617	13	78.3206953640768	0.9128	0.744	0.7877	0.4282	0.7355	0.336	3.4202453911644e-24	7.29006636037745e-05	4.08857295305357e-37
chr14	24881456	24881761	human_hyper	Human-specific	306	6	78.2017729509785	0.6963	0.7148	0.36	0.2996	0.3492	0.3359	2.8974887712032e-52	0.359454953760556	2.86493027126237e-50
chr4	154708914	154709414	human_hyper	Human-specific	501	14	77.1883839433914	0.6369	0.6498	0.4432	0.5202	0.4483	0.4662	2.45092123646545e-10	0.654220063542766	1.03064682249292e-08
chr3	13505113	13505944	human_hyper	Human-specific	832	7	76.8779291960605	0.9402	0.6456	0.6809	0.1263	0.3385	0.1149	1.84182922639549e-70	1.55751506589261e-08	1.47554667017816e-219
chr1	178994243	178994547	human_hyper	Human-specific	305	10	76.3971106860804	0.7566	0.7993	0.5658	0.5584	0.3915	0.4351	2.52932742679865e-26	5.4234775541825e-11	7.87356438299698e-70
chr15	90198941	90199413	human_hyper	Human-specific	473	9	76.2970146921579	0.413	0.5092	0.1954	0.2838	0.1405	0.2024	5.69263438568882e-25	7.09237930548181e-07	2.98735678965592e-62
chr4	140199989	140200520	human_hyper	Human-specific	532	15	76.2948866202036	0.6376	0.4368	0.4126	0.3338	0.1179	0.1103	2.81911477417182e-07	1.66481290757878e-38	8.94377064849333e-50
chr19	34948415	34949785	human_hyper	Human-specific	1371	9	76.1739440368681	0.7807	0.9176	0.312	0.7311	0.2355	0.3641	2.61645804813979e-52	2.73886224402342e-08	1.28890972996766e-149
chr10	120937320	120937714	human_hyper	Human-specific	395	12	76.1096770287476	0.3622	0.3503	0.1543	0.1379	0.0963	0.0508	1.39097496582162e-08	0.0328856470666168	3.86990986658582e-18
chr12	56842369	56842444	human_hyper	Human-specific	76	7	75.8319307782481	0.3668	0.4412	0.088	0.1568	0.0546	0.0354	3.835029703446e-47	2.24027393652292e-05	1.87253777832272e-81
chr8	6400482	6401077	human_hyper	Human-specific	596	16	75.714896996654	0.8929	0.9052	0.7449	0.788	0.3311	0.2875	1.00355451306249e-11	5.00781773208584e-34	5.94944781520705e-150
chr2	25389989	25390659	human_hyper	Human-specific	671	12	75.412370042357	0.5551	0.5152	0.3756	0.2662	0.3622	0.2855	3.02127992178702e-26	0.291712359425566	3.46152621936341e-35
chr17	48586380	48587114	human_hyper	Human-specific	735	9	74.6218622458274	0.7881	0.8431	0.4687	0.6087	0.1914	0.3564	1.25065865224645e-102	7.67995232264511e-09	1.71364779409269e-74
chr14	58893070	58893377	human_hyper	Human-specific	308	11	74.5364507500905	0.6392	0.669	0.4437	0.4647	0.1217	0.1446	3.10919688258719e-28	4.61468648370685e-53	9.24832439430026e-275
chr18	3219074	3219966	human_hyper	Human-specific	893	11	74.5096448066795	0.5882	0.3374	0.2902	0.2	0.4142	0.1218	9.32913996558137e-21	0.836838846230095	1.48733755901995e-12
chr1	66797378	66798505	human_hyper	Human-specific	1128	10	74.4241909426861	0.5743	0.3117	0.2999	0.162	0.2126	0.1394	3.85374439743085e-22	8.17693311697136e-05	3.44583084406171e-23
chr8	86976042	86976507	human_hyper	Human-specific	466	11	73.7167962942582	0.8144	0.8828	0.648	0.7209	0.6204	0.1982	3.6585152233709e-33	3.73022744755718e-09	1.9758130119136e-21
chr3	114284017	114284474	human_hyper	Human-specific	458	10	72.9397562597782	0.5964	0.7465	0.3526	0.5747	0.3867	0.2995	1.6005995101708e-30	0.00484619409639607	1.21124871672234e-26
