AN05483_Control_NeuN	X1525_Control_NeuN	X1527_Control_NeuN	X1531_Control_NeuN	X1536_Control_NeuN	X1538_Control_NeuN	X1539_Control_NeuN	X3590_Control_NeuN	X3602_Control_NeuN	X4615_Control_NeuN	ABBY_ND	ANJA_ND	BELEKA_ND	CALLIE_ND	DUNCAN_ND	LULU_ND	LYK_ND	MELISSA_ND	OSSABAW_ND	Roger_ND	YN04-200_ND	YN08-380_ND	YN09-122_ND	YN09-173_ND	YN09-179_ND	YN09-72_ND	YN11-64_ND	YN11-77_ND	YN12-654_ND	YN14-248_ND	AN03398_Control_Olig2	AN15240_Control_Olig2	AN16799_Control_Olig2	X1527_Control_Olig2	X1532_Control_Olig2	X1538_Control_Olig2	X1539_Control_Olig2	X1541_Control_Olig2	X3602_Control_Olig2	X4615_Control_Olig2	ABBY_OD	ANJA_OD	BELEKA_OD	BJORN_OD	CALLIE_OD	DUNCAN_OD	LULU_OD	MELISSA_OD	OSSABAW_OD	Roger_OD	YN04-200_OD	YN08-380_OD	YN09-122_OD	YN09-173_OD	YN09-72_OD	YN11-300_OD	YN11-77_OD	YN11-78_OD	YN12-654_OD	YN14-248_OD
7	13	15	10	10	12	9	7	12	12	7	5	7	8	14	4	11	9	8	8	35	30	20	18	29	35	23	24	28	27	14	9	14	8	23	10	8	11	16	8	7	5	7	1	7	7	3	13	7	15	40	55	34	35	25	31	34	24	26	37
24	30	21	35	24	20	16	32	37	24	20	13	19	27	22	7	12	35	11	33	13	19	24	8	12	7	13	17	11	14	31	34	36	29	42	30	26	30	23	28	21	12	15	4	38	21	8	35	14	29	17	10	22	13	21	13	16	21	18	13
6	15	12	10	9	12	12	8	13	14	10	5	8	8	11	3	11	13	4	14	13	20	24	9	12	7	13	18	12	14	13	9	15	6	27	12	11	10	14	7	9	5	8	1	7	5	3	11	7	13	18	9	22	15	22	12	16	20	17	14
6	15	10	10	9	13	14	10	14	13	11	6	9	8	10	2	11	13	6	13	13	19	26	10	14	8	14	19	14	14	12	11	16	7	27	15	11	11	14	7	7	5	6	1	6	4	3	14	7	14	18	9	24	13	21	12	17	20	17	15
7	14	11	11	10	13	13	9	15	13	15	5	11	8	10	2	10	15	5	12	14	20	27	10	14	9	14	20	14	13	11	9	19	7	26	15	13	11	14	7	7	5	7	1	6	4	3	15	7	15	15	10	23	14	20	14	18	22	18	14
7	14	13	14	10	12	14	10	15	14	15	5	13	9	11	2	11	13	6	12	13	21	27	9	15	9	16	20	15	15	12	8	19	8	25	15	13	13	15	7	8	6	8	1	6	4	3	18	7	13	15	10	24	15	21	15	20	21	22	13
7	14	13	15	10	13	14	10	17	14	15	5	13	9	11	2	11	13	5	12	13	23	27	9	15	9	16	20	16	17	14	12	22	7	26	16	14	13	14	7	8	7	8	1	6	5	3	18	8	14	16	10	24	15	21	14	21	21	24	13
8	14	14	15	10	13	14	10	17	15	15	5	14	10	11	2	11	13	5	12	13	23	27	9	15	10	15	20	16	17	14	12	22	6	26	16	14	13	13	7	8	7	8	1	6	6	3	19	8	15	16	10	24	15	21	14	20	20	23	13
8	15	14	15	10	14	13	11	16	16	14	5	14	9	10	2	11	13	5	12	12	23	26	9	15	11	16	20	16	17	14	12	22	6	26	15	14	13	13	7	8	7	9	1	6	6	3	19	7	16	15	10	24	16	21	14	20	20	23	13
9	16	12	16	11	15	13	10	17	16	14	5	14	9	10	2	12	13	5	12	14	23	26	10	15	11	16	21	16	18	16	12	21	7	26	15	13	12	13	8	8	7	9	1	7	6	3	18	8	15	15	11	24	16	21	15	20	21	23	14
9	16	12	16	11	14	13	10	18	18	14	4	15	9	10	2	10	13	5	12	14	23	26	10	15	12	16	19	17	18	16	13	21	7	25	13	13	12	13	8	7	7	9	1	7	6	2	19	8	17	14	11	24	17	21	15	21	22	23	14
10	17	11	16	11	13	13	10	16	17	14	4	15	10	10	2	11	14	5	12	14	23	26	10	15	12	16	19	17	18	16	13	21	7	25	13	13	12	13	9	7	7	9	1	7	6	2	19	8	17	15	11	24	16	21	14	23	22	24	14
10	18	11	16	11	13	14	11	16	17	14	4	15	9	10	2	11	14	5	12	14	23	26	10	16	12	16	19	17	18	16	14	21	6	24	13	12	12	13	9	7	7	9	1	7	6	3	19	8	17	16	10	24	16	22	15	23	23	27	14
9	17	10	12	11	14	14	12	16	17	14	4	17	7	12	1	11	14	5	10	14	24	27	11	16	12	16	21	17	19	16	15	22	6	23	13	12	13	13	9	7	8	10	1	8	7	3	19	8	19	16	11	23	16	21	16	22	22	28	14
22	24	20	25	23	24	16	30	32	24	22	10	21	26	23	6	9	38	13	27	44	26	34	21	40	34	25	35	30	33	28	26	36	30	43	25	30	24	23	27	12	11	15	4	30	20	6	32	7	31	40	65	33	33	21	35	45	34	29	47
23	18	19	19	28	22	16	23	28	25	21	10	15	25	20	4	10	30	12	21	44	28	35	24	38	36	23	39	33	34	29	25	32	29	36	25	26	22	22	27	9	8	14	4	26	17	4	26	10	29	42	61	32	34	21	32	46	37	29	47
10	16	12	21	9	10	12	16	21	18	14	6	16	7	14	3	11	17	7	13	16	21	30	15	18	13	11	24	20	22	14	25	20	11	19	14	14	17	11	12	6	10	14	1	12	5	4	19	8	24	13	13	24	22	26	20	24	23	30	15
10	16	12	21	9	10	13	16	20	19	14	6	17	7	15	3	12	16	7	13	16	21	30	15	17	12	11	24	20	22	14	25	20	11	19	14	16	17	12	12	6	10	14	2	11	5	4	19	8	24	13	13	24	22	26	20	24	22	31	15
20	16	29	20	16	15	19	25	26	25	17	9	17	26	21	7	10	20	8	24	24	24	15	11	22	19	18	21	19	25	23	23	19	35	27	19	25	29	22	32	18	9	10	8	18	15	4	37	15	28	24	29	32	16	14	31	18	16	25	18
21	18	28	20	14	15	20	25	26	24	18	9	15	25	22	7	10	20	8	23	23	25	15	12	20	18	17	21	20	21	25	24	20	37	28	21	29	29	21	30	17	9	10	7	19	13	4	37	17	30	26	28	33	15	15	30	16	15	31	18
22	14	22	24	13	15	17	28	29	21	19	7	18	29	21	7	12	22	9	30	24	22	17	15	17	19	19	19	17	23	21	25	19	39	27	23	28	26	23	32	14	8	7	7	21	14	5	42	18	31	24	31	32	16	11	23	20	15	27	25
16	16	8	15	11	13	8	12	12	11	10	5	14	11	10	1	9	12	10	13	7	8	2	4	6	7	12	11	15	8	13	12	13	12	11	16	13	15	8	8	1	2	3	2	11	5	2	11	5	16	14	7	15	13	7	15	14	14	10	13
15	16	8	15	11	13	8	12	12	11	10	5	14	11	10	1	9	12	10	13	7	8	2	4	6	7	11	10	15	8	13	12	13	12	11	15	13	15	8	8	1	2	3	2	10	5	2	11	5	16	15	7	15	13	8	16	14	14	10	13
21	16	20	21	13	17	17	25	27	20	21	7	23	30	21	6	13	20	10	26	25	22	16	17	17	21	20	19	21	23	21	20	17	41	26	26	28	26	22	32	13	7	5	7	20	16	3	43	18	28	24	35	30	22	19	24	20	15	28	29
21	15	19	21	12	16	17	26	26	20	22	7	23	30	21	6	13	20	11	26	25	24	16	17	17	21	20	18	21	23	21	20	17	41	26	26	28	26	24	33	13	7	5	8	20	16	3	43	18	28	23	35	31	22	17	24	21	15	28	28
10	16	4	15	10	10	7	11	12	13	11	6	17	9	10	1	8	12	9	12	7	6	2	6	4	9	10	10	16	6	14	12	12	14	13	14	14	15	9	8	0	1	1	1	10	5	3	12	5	13	11	8	16	12	8	16	17	10	11	11
10	17	4	15	10	10	6	10	14	13	12	6	17	10	10	1	8	13	9	12	7	6	2	6	4	9	11	10	17	6	14	12	12	14	13	15	15	15	10	8	0	1	1	1	10	5	3	12	5	14	9	9	16	13	8	16	18	10	11	11
8	13	3	15	9	10	7	11	15	13	13	6	17	10	10	1	6	12	10	12	7	6	2	6	6	8	10	10	14	7	13	12	12	15	12	15	14	17	7	8	0	1	1	1	10	5	3	12	5	14	9	9	16	13	6	15	18	10	9	10
8	14	3	15	10	10	7	11	16	13	14	6	16	11	10	1	6	12	10	12	7	5	2	6	6	8	10	9	14	7	13	12	12	16	12	15	14	17	7	9	0	1	1	1	10	5	3	12	5	13	9	9	16	13	6	14	18	10	9	9
8	14	4	15	10	10	6	7	16	14	15	6	17	10	10	1	6	12	10	11	7	5	2	6	6	8	10	9	16	7	13	11	11	17	11	16	14	16	8	10	0	1	1	1	10	5	3	12	5	12	6	9	16	12	6	14	17	10	9	9
24	15	15	18	18	15	20	20	26	18	23	3	20	25	19	5	17	19	11	26	25	26	11	15	18	20	22	19	23	28	22	19	15	29	28	18	23	34	25	36	8	6	3	6	18	17	4	37	16	23	24	38	28	27	22	28	29	16	33	33
26	15	13	15	17	15	14	18	27	20	27	5	17	22	20	5	18	19	12	23	23	24	11	16	20	22	19	19	26	23	21	21	19	23	28	18	20	36	20	41	7	4	3	5	19	14	4	33	12	21	25	37	28	27	26	30	30	16	36	34
24	16	13	14	20	16	13	19	29	18	22	5	15	21	22	4	17	17	9	22	23	23	8	15	20	20	18	17	22	19	22	20	19	23	28	20	20	38	19	41	7	3	4	4	21	12	3	27	8	17	27	36	28	24	26	26	30	16	33	35
25	15	13	14	20	16	14	22	29	17	25	5	16	22	23	5	17	18	11	23	23	23	11	16	21	18	19	17	23	21	21	22	19	22	28	20	20	38	20	42	7	4	4	4	21	12	4	30	10	19	27	37	28	23	25	28	29	16	33	34
25	16	13	13	19	16	15	23	29	17	25	5	17	22	23	5	18	19	12	22	22	23	10	15	20	18	19	17	20	20	21	23	19	22	28	20	20	33	21	42	7	4	4	4	21	12	4	30	11	19	26	35	26	26	25	26	30	16	34	33
22	16	11	9	18	13	10	22	24	15	20	6	18	21	24	1	15	20	7	20	17	22	9	16	18	15	18	18	20	15	18	24	18	21	21	20	21	26	18	34	6	2	4	6	17	14	6	23	13	21	26	30	24	29	19	27	31	12	32	31
21	15	9	9	17	13	10	22	24	13	22	6	18	21	23	1	15	18	7	19	16	21	9	16	17	17	17	15	18	16	20	24	19	20	19	20	22	26	17	30	5	2	5	6	15	14	6	23	12	19	28	32	27	29	19	26	29	15	29	29
21	16	10	9	16	13	12	21	24	12	22	6	18	21	24	1	15	18	7	17	17	19	8	17	17	17	14	14	16	16	20	25	17	19	18	20	23	24	18	29	5	5	5	5	13	14	6	23	12	18	27	31	27	30	19	26	30	14	28	26
22	18	11	8	15	11	10	20	22	14	22	6	17	21	23	1	15	16	7	18	16	20	7	16	16	16	11	13	20	15	18	19	17	16	15	22	21	24	26	27	7	5	5	5	12	14	5	21	11	20	23	25	25	28	22	23	28	14	26	23
22	18	12	8	16	11	10	20	22	14	21	6	16	21	23	1	15	16	7	19	16	20	8	15	16	16	10	12	19	15	18	20	17	16	15	23	21	25	26	27	7	5	4	5	12	13	5	20	11	20	24	25	25	29	22	25	28	14	27	23
19	16	7	9	16	11	14	19	22	15	18	5	15	18	21	1	15	15	8	21	13	21	6	16	13	14	10	11	21	16	19	24	20	15	14	22	21	25	28	29	6	3	4	5	11	11	5	19	14	20	22	21	21	25	19	22	28	15	30	18
18	16	7	10	16	11	15	18	23	16	17	5	13	16	20	1	15	14	8	21	10	22	6	18	11	15	9	11	18	15	21	26	21	18	14	20	20	26	32	26	7	4	7	5	11	10	5	16	14	17	20	21	22	25	18	20	30	17	29	18
18	14	7	11	14	11	15	18	24	17	17	3	13	17	18	1	14	14	9	20	11	21	4	19	11	14	9	10	20	15	23	26	18	18	18	21	22	26	33	27	6	4	6	6	13	10	6	16	14	15	23	20	22	24	15	21	27	17	26	19
19	15	7	10	15	13	17	18	24	16	17	2	15	18	19	1	12	14	9	20	11	19	3	19	11	15	10	11	20	13	20	24	18	18	18	21	22	26	33	25	7	4	6	6	13	10	4	15	14	16	23	18	21	22	12	22	26	18	27	19
18	16	7	10	16	12	19	17	23	17	16	2	15	17	17	1	12	14	9	18	10	19	4	17	11	15	8	10	20	13	22	26	18	18	17	22	23	30	35	25	7	4	6	6	13	11	4	16	14	15	22	18	20	22	10	22	27	18	24	18
18	16	6	15	17	14	22	15	20	16	18	4	13	17	16	2	14	15	9	20	11	19	6	17	11	14	8	10	20	14	21	28	21	19	15	20	21	31	36	26	5	4	6	6	14	10	4	16	15	16	22	17	20	23	10	24	29	18	25	18
16	15	8	15	19	16	22	15	22	19	17	4	13	16	18	2	14	14	9	18	11	19	7	16	13	15	9	10	22	13	21	26	27	15	17	21	19	32	34	29	4	4	5	7	15	11	3	19	13	17	22	24	17	19	11	21	30	18	22	19
15	15	8	16	19	16	22	14	22	19	17	4	14	16	19	2	15	14	9	19	11	19	7	16	13	15	10	10	21	11	23	28	26	16	17	21	20	32	32	27	4	3	5	6	15	11	3	18	12	18	22	24	18	19	10	20	29	19	22	19
17	14	8	17	20	14	22	16	22	20	20	6	12	16	19	2	11	10	7	22	11	20	7	15	14	16	10	10	20	11	28	28	27	16	20	23	21	34	33	27	7	4	5	6	16	12	5	20	13	19	23	23	19	18	12	16	30	19	22	19
16	13	8	18	19	15	21	17	20	17	19	6	12	15	16	1	12	10	9	23	11	19	7	14	14	15	11	12	21	11	28	27	28	18	19	26	18	34	34	28	8	2	6	5	19	13	5	21	14	21	22	23	15	16	13	19	31	23	23	19
22	13	7	18	19	15	17	16	19	15	21	7	14	17	18	1	13	14	8	25	11	23	7	15	10	13	11	15	20	12	31	30	24	21	24	24	20	31	32	29	8	3	6	6	20	14	4	23	14	21	23	27	16	16	11	20	29	23	23	19
22	13	7	18	19	15	18	16	17	14	21	7	16	17	18	1	13	14	8	26	11	15	5	10	10	19	12	7	25	9	31	30	26	21	23	24	20	30	30	28	10	3	6	6	20	15	4	24	14	21	13	15	12	17	14	16	13	7	16	14
24	16	11	19	19	16	15	20	15	16	17	8	16	17	17	1	13	11	9	28	12	21	7	14	11	13	14	13	19	8	31	23	26	18	21	26	19	31	31	23	9	3	5	7	19	16	4	25	14	23	21	31	16	17	12	21	27	21	23	21
18	12	9	4	9	13	14	14	13	11	19	5	15	12	10	6	11	12	5	11	12	19	8	10	10	14	12	15	14	10	24	16	14	15	17	16	23	21	13	9	11	6	2	1	8	6	4	7	4	8	21	24	14	21	13	19	21	16	23	18
13	15	16	13	18	15	15	13	14	14	24	13	12	15	18	13	15	28	8	23	15	21	9	15	13	15	16	16	26	11	17	25	20	16	18	14	15	14	23	22	31	10	21	9	25	22	15	23	11	26	15	16	26	22	19	19	16	15	20	17
20	11	8	3	10	13	16	12	15	10	17	6	13	13	12	5	11	12	5	10	11	19	6	10	8	13	14	15	15	9	23	19	15	17	18	15	20	17	13	10	11	7	3	1	7	4	4	7	3	8	15	20	17	21	15	20	19	16	24	15
19	11	6	9	9	13	14	13	16	8	16	5	9	13	11	4	9	11	5	9	13	15	5	10	8	11	16	14	10	7	23	19	13	17	17	19	21	14	12	8	10	6	3	1	5	4	3	8	2	6	12	22	16	16	14	20	15	16	21	15
19	11	8	10	9	14	13	11	17	7	15	5	9	13	10	3	9	10	5	7	12	15	5	10	8	11	17	13	11	6	25	18	13	17	16	20	23	14	12	8	11	6	3	1	5	2	3	7	3	6	10	20	14	16	13	19	15	15	18	14
19	11	8	10	10	14	13	11	17	7	16	4	9	13	11	3	9	10	5	7	13	14	5	10	8	11	18	13	11	6	24	18	12	17	16	21	24	14	12	7	11	6	2	1	5	4	3	7	3	6	10	20	14	15	13	20	15	14	18	14
12	12	14	14	18	17	11	12	17	13	17	9	8	12	17	7	11	25	7	20	12	23	11	12	12	15	20	16	24	16	22	19	17	18	17	14	14	12	25	20	24	5	16	6	20	17	10	19	10	20	11	16	25	18	19	22	17	17	18	14
13	12	14	14	19	17	11	12	17	13	17	8	7	12	17	7	11	25	7	20	12	23	10	12	12	15	20	15	23	16	22	20	17	17	17	14	14	13	26	20	24	5	16	6	20	18	10	20	10	20	11	16	25	18	19	22	17	17	18	15
8	9	14	17	16	13	12	10	14	11	10	9	6	10	13	5	12	25	7	18	12	20	12	11	12	14	20	17	24	15	21	15	16	21	14	14	17	15	22	17	21	4	12	4	19	16	9	18	8	16	9	14	21	15	20	19	16	17	16	14
8	7	13	16	15	11	13	10	14	12	10	7	7	10	13	5	13	26	7	17	12	21	12	10	11	14	20	17	23	15	20	15	16	20	14	13	17	14	21	16	20	3	12	4	18	16	8	19	8	16	8	14	20	16	19	19	16	17	15	12
7	7	10	17	15	11	13	10	15	12	10	7	7	10	13	5	13	25	7	17	11	20	11	10	10	15	20	18	22	15	20	15	16	20	15	12	17	13	22	16	21	3	12	3	17	15	8	20	8	16	7	13	20	17	18	18	15	16	14	13
7	7	10	18	14	11	13	10	15	12	11	7	7	9	13	5	13	24	7	17	12	20	11	10	10	14	20	16	22	15	20	15	16	18	15	12	17	13	21	16	20	3	11	3	17	17	7	20	8	16	6	12	20	16	18	18	14	15	13	13
7	7	11	18	14	11	12	10	14	12	10	7	8	7	11	5	8	15	8	5	14	20	11	9	10	13	20	15	21	12	22	16	17	18	13	12	18	13	19	18	19	3	11	3	7	16	7	12	8	2	7	14	22	13	16	18	14	15	13	13
6	5	5	11	7	7	8	6	12	9	8	5	11	11	6	0	9	16	5	9	11	10	5	4	3	8	10	13	19	14	15	7	14	18	8	13	14	13	12	19	19	5	7	4	11	10	1	18	5	11	11	12	18	13	5	18	13	14	19	7
6	4	6	11	7	7	8	6	11	10	7	7	11	13	6	1	9	16	5	9	10	7	3	3	2	7	9	9	18	13	15	9	14	18	11	14	12	11	12	16	19	6	7	4	10	10	1	22	6	11	8	13	16	12	4	18	12	13	19	7
6	5	7	9	7	7	6	6	11	9	7	7	11	14	6	1	8	16	5	9	10	6	3	3	0	8	7	9	16	11	17	8	13	17	11	14	11	10	14	15	17	9	7	4	10	9	1	24	7	11	8	12	14	12	4	17	9	14	19	9
6	5	7	9	6	7	7	5	10	8	6	7	12	15	6	1	7	15	6	10	9	5	2	3	0	8	7	8	15	11	18	7	12	15	9	13	11	12	16	16	15	9	7	4	10	9	1	20	7	13	7	12	13	10	3	17	9	14	19	9
14	15	9	21	17	10	20	11	16	23	33	8	16	26	19	5	21	25	12	25	21	14	11	13	12	15	12	16	17	15	23	22	23	21	21	24	25	22	26	27	11	10	11	6	26	22	5	24	17	38	17	23	29	20	16	23	18	26	21	19
15	15	8	22	17	10	20	11	15	23	34	9	16	26	21	6	21	25	11	26	20	14	11	14	12	15	12	18	17	15	23	22	23	21	21	23	25	22	25	27	10	11	11	6	26	24	5	24	17	38	17	25	30	20	16	25	19	25	22	19
24	21	7	17	10	14	19	19	18	16	26	12	20	30	27	7	11	17	5	23	15	25	5	9	7	11	13	12	13	13	14	10	13	17	12	19	18	14	13	18	28	19	24	5	22	19	15	33	16	30	18	12	19	16	17	13	22	20	24	16
24	20	7	17	10	14	19	19	17	17	25	11	20	30	27	7	11	18	5	24	14	25	5	9	7	12	13	12	13	13	14	11	13	18	12	19	17	15	13	18	29	19	23	5	22	19	16	34	16	28	19	12	19	16	17	14	22	21	23	16
24	22	7	17	10	14	18	19	16	17	25	10	20	30	27	7	11	17	5	24	15	26	7	9	7	12	13	13	15	14	14	11	13	18	12	18	17	15	13	17	28	19	23	5	21	19	16	33	15	30	19	12	19	17	14	14	22	24	23	17
23	22	6	18	10	16	17	19	16	17	25	10	20	29	28	7	11	17	5	25	16	26	7	10	7	13	12	13	16	15	13	12	13	18	12	18	17	14	14	17	27	21	21	5	22	20	17	31	15	30	17	12	21	17	15	13	22	26	24	18
23	22	6	18	10	16	18	19	17	15	24	10	20	29	28	7	11	17	6	26	19	13	12	17	14	17	17	21	17	19	13	12	13	19	12	18	17	15	14	16	27	20	20	5	23	21	17	31	15	30	20	30	33	17	18	23	22	23	28	21
21	22	6	19	10	16	18	18	17	15	23	11	19	28	28	7	11	16	6	25	16	27	7	12	8	14	12	15	17	16	14	13	14	20	12	19	18	15	15	16	27	20	21	5	24	23	17	32	16	31	15	12	21	18	15	14	23	26	26	20
16	15	4	22	16	12	19	11	16	22	33	12	17	25	24	6	21	25	14	29	20	11	12	17	14	17	17	21	17	18	22	22	20	19	19	23	27	21	25	22	15	11	17	8	28	25	4	24	17	40	19	32	33	18	18	23	23	24	28	21
16	16	4	22	17	12	19	9	16	23	32	12	17	25	24	6	23	25	14	29	19	11	11	17	14	18	16	21	17	19	23	22	21	19	19	24	27	20	26	21	15	10	17	8	28	23	4	26	17	40	19	33	33	18	18	23	23	24	28	21
16	16	4	22	17	12	19	10	16	23	32	12	18	24	24	6	24	25	13	29	19	11	12	18	14	18	16	21	17	19	23	22	21	19	19	24	27	20	26	21	16	10	17	8	28	22	4	26	17	39	19	35	34	18	17	22	23	25	27	21
25	19	7	21	10	16	17	17	16	15	25	10	20	27	28	7	11	16	6	25	17	24	7	13	10	14	11	16	18	16	16	13	14	18	12	19	18	15	16	15	29	19	21	5	22	23	17	34	17	29	16	12	21	19	16	15	23	26	26	21
24	18	7	24	10	16	17	16	16	15	24	12	19	30	25	6	12	15	6	23	18	24	7	14	12	15	12	17	17	18	14	14	14	18	10	21	19	14	18	14	29	20	21	5	21	25	16	35	18	31	16	12	23	20	18	16	24	26	24	23
16	17	5	23	17	10	15	11	14	21	33	13	17	23	25	8	26	26	14	27	22	14	13	17	17	20	19	24	18	22	22	22	24	20	19	24	24	20	24	20	16	10	16	6	26	23	5	28	18	39	19	36	36	19	19	20	22	26	27	20
26	17	8	25	10	16	17	14	15	15	24	12	19	29	25	5	12	16	6	22	18	26	6	14	13	14	12	17	15	18	14	14	14	18	10	21	20	16	18	14	30	19	21	6	21	27	16	34	18	31	16	14	24	21	18	16	25	28	26	23
26	18	8	25	10	16	16	14	15	14	23	13	19	27	25	5	11	15	6	23	19	27	7	14	13	15	13	17	14	17	14	14	14	20	11	21	18	16	17	13	29	19	21	5	20	27	15	36	16	32	16	14	24	21	16	16	24	29	28	23
