AN05483_Control_NeuN	X1525_Control_NeuN	X1527_Control_NeuN	X1531_Control_NeuN	X1536_Control_NeuN	X1538_Control_NeuN	X1539_Control_NeuN	X3590_Control_NeuN	X3602_Control_NeuN	X4615_Control_NeuN	ABBY_ND	ANJA_ND	BELEKA_ND	CALLIE_ND	DUNCAN_ND	LULU_ND	LYK_ND	MELISSA_ND	OSSABAW_ND	Roger_ND	YN04-200_ND	YN08-380_ND	YN09-122_ND	YN09-173_ND	YN09-179_ND	YN09-72_ND	YN11-64_ND	YN11-77_ND	YN12-654_ND	YN14-248_ND	AN03398_Control_Olig2	AN15240_Control_Olig2	AN16799_Control_Olig2	X1527_Control_Olig2	X1532_Control_Olig2	X1538_Control_Olig2	X1539_Control_Olig2	X1541_Control_Olig2	X3602_Control_Olig2	X4615_Control_Olig2	ABBY_OD	ANJA_OD	BELEKA_OD	BJORN_OD	CALLIE_OD	DUNCAN_OD	LULU_OD	MELISSA_OD	OSSABAW_OD	Roger_OD	YN04-200_OD	YN08-380_OD	YN09-122_OD	YN09-173_OD	YN09-72_OD	YN11-300_OD	YN11-77_OD	YN11-78_OD	YN12-654_OD	YN14-248_OD
0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	5	1	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	5	4	2	3	3	4	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	3	0	0	2	3	4	0	5	2	2	1	1	1	3	2	3	0	0	2	1	0	3	2	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	2	3	3	7	4	1	5	1	5	2	3	3	3	1	4	4	5	5	5	8	12	6	8	4	9	10	7	5	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	1
0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	2	0	0	1	1	1	0	0	1	3	2	2	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	2	2	0	0	1	2	0	0	0	2	0	1	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	4	2	2	0	4	1	0	1	0	4	0	3	0	1	1	2	0	3	1	0	1	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0
3	6	1	2	3	5	6	1	4	4	3	1	4	3	6	2	1	4	1	2	8	11	12	5	6	5	12	6	11	8	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	3	2	3	1	2
0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	6	1	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
4	10	6	11	5	10	10	7	10	9	6	1	8	5	4	2	5	6	3	4	7	19	15	7	9	8	14	12	14	11	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	2	2	4	2	3	4	6	5	3	3
2	2	1	1	1	0	2	1	1	1	1	0	2	2	1	0	0	1	0	0	0	0	1	0	2	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	1	1	1	0	2	0	0	3	0	2	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2	1	1	1	0	1	1	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	1	2	0	1	1	1	3	2	1	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	0	1	4	6	2	2	1	3	1	2	0	1	1	2	0	0	3	1	1	3	1	4	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	2	1	0	2	0	0	1	0	1	0	1	0	0	0	0	1	3	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	1	1	0	1	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	3	0	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	2	1	1	3	3	4	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
16	13	16	13	8	9	11	18	18	19	11	4	8	16	20	4	6	15	3	15	19	21	11	9	14	14	11	14	20	16	0	0	2	0	2	1	0	3	2	1	0	2	1	0	1	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	1	5	7	3	4	4	10	4	9	6	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0
9	7	3	9	3	6	3	5	5	5	2	0	5	1	3	1	3	2	3	4	3	5	0	3	3	4	5	2	6	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	1	2	2	0	0	3	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	2	0	1	0	3	1	0	1	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	6	13	15	10	11	11	19	19	13	7	1	10	13	9	3	5	10	5	10	3	4	3	1	2	6	8	2	5	5	0	0	0	1	0	1	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
2	2	0	2	3	1	2	0	0	1	0	0	2	0	1	0	1	1	2	0	0	1	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	0	2	1	1	0	0	1	0	0	0	2	0	0	1	1	0	0	2	3	1	1	3	1	2	6	4	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	9	3	14	7	7	4	10	13	10	12	4	10	4	9	0	5	9	7	11	4	5	1	6	6	7	8	8	14	6	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0	1	0	2	1	1	0	1	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	2	5	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	2	2	2	0	0	1	2	1	4	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3	0	1	0	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	3	3	2	0	1	1	1	2	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2	2	0	1	3	1	1	2	1	1	1	0	0	0	3	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	1	4	3	4	4	6	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
0	0	0	1	0	0	1	1	2	1	2	0	2	1	1	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2	1	0	2	3	0	0	4	1	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15	11	7	6	9	7	6	16	14	9	7	2	7	3	15	1	8	11	1	6	1	2	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
2	2	2	3	1	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	0	1	0	1	0	2	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2	1	2	1	3	1	2	4	4	3	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	4	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	11	3	10	6	8	6	7	14	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	1	1	1	4	4	3	2	5	3	0	4	2	2	0	2	3	1	2	1	2	0	1	1	2	1	2	3	3	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2	1	0	0	0	0	0	1	2	1	2	0	1	0	0	0	0	0	0	2	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	0	0	1	1	2	0	2	3	0	1	1	3	0	0	2	1	4	6	10	1	12	5	7	4	5	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	1	0	2	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	4	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	2	3	6	4	2	1	3	7	5	3	4	5	9	1	9	5	3	6	4	5	4	7	7	7	6	5	8	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0
0	1	0	0	1	2	2	0	1	1	1	1	1	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	1	1	1	3	0	1	1	0	1	0	1	1	0	1	0	3	0	1	0	3	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
8	2	1	1	1	3	2	2	1	3	2	1	1	1	0	2	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	2	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	1	2	2	0	1	1	0	0	3	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	1	0	1	2	1	2	2	2	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	5	0	3	0	4	3	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	2	1	0	1	0	1	4	2	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6	2	0	3	0	5	3	1	2	3	4	1	0	3	1	0	0	2	1	1	3	2	1	1	1	1	4	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1
6	3	5	10	13	3	5	4	3	4	2	3	5	6	5	3	6	8	1	6	1	0	0	1	0	2	1	0	1	0	2	0	0	0	2	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	2	2	5	3	2	1	3	0	3	0	2	1	5	2	4	7	1	8	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
4	2	2	9	7	2	4	4	4	2	1	0	0	2	4	0	6	4	1	3	0	2	0	1	2	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
3	1	2	4	1	1	2	0	4	1	1	0	2	1	2	3	10	7	2	2	3	4	2	2	3	2	5	2	4	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	2	1	1	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
6	3	6	11	10	4	7	3	8	6	5	5	3	2	4	2	9	13	1	8	2	1	0	0	0	1	1	1	3	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	2	2	2	3	0	1	0	2	0	1	0	0	0	0	0	3	2	0	0	2	2	2	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	7	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	2	5	4	4	2	2	1	4	5	1	0	7	3	3	0	2	6	2	4	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	1	0	1	0	1	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	2	0	0	1	1	1	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	9	3	7	4	2	7	6	8	3	8	0	6	7	8	4	2	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	3	9	3	4	4	9	8	8	13	5	11	13	12	4	5	12	1	10	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
9	9	3	7	2	5	7	6	3	8	10	2	6	8	9	1	4	7	1	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	2	1	0	0	1	1	4	0	0	1	0	1	0	0	1	1	0	1	2	0	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	2	4	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
1	1	0	0	2	1	0	3	0	1	5	0	1	4	3	0	1	1	0	1	2	0	1	1	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	0	3	2	1	2	1	0	2	2	1	3	5	4	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6	6	1	8	2	4	6	1	2	4	4	0	4	5	4	0	8	4	2	5	4	7	5	5	4	5	3	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	2
4	1	1	7	7	4	6	3	5	4	8	1	9	4	4	1	8	10	2	6	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	1	1	1	0	0	1	1	1	0	0	4	1	0	2	3	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4	3	0	4	2	0	0	0	0	1	1	1	1	2	3	1	5	4	2	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0	2	0	0	0	0	2	1	0	0	0	1	3	1	3	0	4	3	1	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	0	0	0	0	0	1	1	0	1	0	1	3	2	2	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
