seqnames	pos
chr10	124170
chr10	124173
chr10	124182
chr10	124186
chr10	124231
chr10	124233
chr10	124236
chr10	124252
chr10	124257
chr10	124259
chr10	124262
chr10	124270
chr10	124271
chr10	124273
chr10	124275
chr10	124277
chr10	124286
chr10	124293
chr10	124296
chr10	124303
chr10	124309
chr10	124318
chr10	124322
chr10	124334
chr10	124343
chr10	124346
chr10	124352
chr10	124372
chr10	124379
chr10	124388
chr10	124448
chr10	124457
chr10	124483
chr10	124502
chr10	124504
chr10	124512
chr10	124524
chr10	124566
chr10	124568
chr10	124573
chr10	124614
chr10	124626
chr10	124638
chr10	124650
chr10	124652
chr10	124658
chr10	124677
chr10	124748
chr10	124797
chr10	124851
chr10	124852
chr10	124865
chr10	124932
chr10	124957
chr10	124959
chr10	124978
chr10	124986
chr10	124991
chr10	124994
chr10	124996
chr10	124999
chr10	125004
chr10	125011
chr10	125016
chr10	125018
chr10	125020
chr10	125022
chr10	125031
chr10	125045
chr10	125078
chr10	125106
chr10	125118
chr10	125147
chr10	125159
chr10	125188
chr10	125201
chr10	125219
chr10	125230
chr10	125242
chr10	125249
chr10	125282
chr10	125335
chr10	125370
chr10	125383
chr10	125443
chr10	125484
chr10	126123
chr10	126145
chr10	126147
chr10	126150
chr10	126152
chr10	126156
chr10	126177
chr10	126192
chr10	126199
chr10	126202
chr10	126206
chr10	126223
chr10	128299
chr10	128336
chr10	128341
chr10	128343
chr10	128350
chr10	128359
chr10	128362
chr10	128368
chr10	128379
chr10	128405
chr10	128418
chr10	128422
chr10	128428
chr10	128433
chr10	128466
chr10	128474
chr10	128477
chr10	128480
chr10	128495
chr10	128503
chr10	128541
chr10	128544
chr10	128553
chr10	128555
chr10	128574
chr10	128576
chr10	128585
chr10	128594
chr10	128614
chr10	128616
chr10	128620
chr10	128633
chr10	128647
chr10	128656
chr10	128811
chr10	128813
chr10	128843
chr10	128866
chr10	128888
chr10	128954
chr10	128967
chr10	129027
chr10	129044
chr10	129056
chr10	129057
chr10	129354
chr10	129419
chr10	129431
chr10	129542
chr10	129545
chr10	129550
chr10	129640
chr10	129654
chr10	129668
chr10	129685
chr10	129702
chr10	130079
chr10	130430
chr10	130432
chr10	130434
chr10	130860
chr10	130867
chr10	130912
chr10	130915
chr10	130918
chr10	130942
chr10	130945
chr10	130963
chr10	130966
chr10	130988
chr10	131051
chr10	131061
chr10	131689
chr10	131723
chr10	131727
chr10	131740
chr10	131743
chr10	131775
chr10	131866
chr10	131928
chr10	131954
chr10	131957
chr10	131959
chr10	131969
chr10	132582
chr10	132769
chr10	132772
chr10	132774
chr10	132777
chr10	132782
chr10	132784
chr10	132790
chr10	132814
chr10	132833
chr10	132990
chr10	132993
chr10	133007
chr10	133015
chr10	133030
chr10	133048
chr10	133094
chr10	133102
chr10	133104
chr10	133108
chr10	133168
chr10	133180
chr10	133182
chr10	133183
chr10	133186
chr10	133204
chr10	133207
chr10	133213
chr10	133216
chr10	133220
chr10	133226
chr10	133228
chr10	133242
chr10	133245
chr10	133336
chr10	133339
chr10	133347
chr10	133388
chr10	133390
chr10	133832
chr10	134528
chr10	134530
chr10	134537
chr10	134541
chr10	134549
chr10	134572
chr10	134609
chr10	134612
chr10	134614
chr10	134623
chr10	134640
chr10	134644
chr10	134688
chr10	134690
chr10	134704
chr10	134972
chr10	134992
chr10	135003
chr10	135010
chr10	135015
chr10	135026
chr10	135050
chr10	135082
chr10	135112
chr10	135167
chr10	135168
chr10	135169
chr10	135266
chr10	135355
chr10	135455
chr10	135494
chr10	135549
chr10	135570
chr10	135603
chr10	135604
chr10	135623
chr10	135625
chr10	135632
chr10	135664
chr10	135666
chr10	135682
chr10	135687
chr10	135753
chr10	135791
chr10	135793
chr10	135828
chr10	135830
chr10	135849
chr10	135859
chr10	135869
chr10	135916
chr10	135954
chr10	135962
chr10	135983
chr10	135984
chr10	135986
chr10	135996
chr10	136007
chr10	136020
chr10	136022
chr10	136024
chr10	136033
chr10	136045
chr10	136047
chr10	136050
chr10	136051
chr10	136057
chr10	136065
chr10	136070
chr10	136073
chr10	136091
chr10	136094
chr10	136096
chr10	136100
chr10	136101
chr10	136170
chr10	136213
chr10	136218
chr10	136228
chr10	136230
chr10	136232
chr10	136233
chr10	136237
chr10	136238
chr10	136248
chr10	136250
chr10	136252
chr10	136253
chr10	136257
chr10	136260
chr10	136271
chr10	136273
chr10	136274
chr10	136279
chr10	136284
chr10	136300
chr10	136301
chr10	136305
chr10	136307
chr10	136315
chr10	136317
chr10	136324
chr10	136331
chr10	136333
chr10	136346
chr10	136349
chr10	136351
chr10	136352
chr10	136358
chr10	136362
chr10	136363
chr10	136367
chr10	136373
chr10	136379
chr10	136382
chr10	136384
chr10	136389
chr10	136396
chr10	136410
chr10	136414
chr10	136415
chr10	136418
chr10	136423
chr10	136426
chr10	136429
chr10	136460
chr10	136470
chr10	136488
chr10	136495
chr10	136500
chr10	136502
chr10	136508
chr10	136517
chr10	136522
chr10	136524
chr10	136526
chr10	136549
chr10	136552
chr10	136554
chr10	136564
chr10	136572
chr10	136574
chr10	136579
chr10	136599
chr10	136602
chr10	136604
chr10	136606
chr10	136616
chr10	136621
chr10	136624
chr10	136631
chr10	136634
chr10	136636
chr10	136641
chr10	136643
chr10	136647
chr10	136653
chr10	136659
chr10	136663
chr10	136666
chr10	136676
chr10	136682
chr10	136684
chr10	136701
chr10	136714
chr10	136748
chr10	136751
chr10	136753
chr10	136756
chr10	136758
chr10	136760
chr10	136761
chr10	136763
chr10	136773
chr10	136778
chr10	136780
chr10	136784
chr10	136788
chr10	136789
chr10	136804
chr10	136811
chr10	136814
chr10	136820
chr10	136824
chr10	136827
chr10	136851
chr10	136882
chr10	136912
chr10	136928
chr10	136940
chr10	137036
chr10	137061
chr10	137063
chr10	137081
chr10	137096
chr10	137122
chr10	137131
chr10	137146
chr10	137150
chr10	137152
chr10	137154
chr10	137155
chr10	137166
chr10	137172
chr10	137180
chr10	137223
chr10	137231
chr10	137246
chr10	137248
chr10	137290
chr10	137309
chr10	137318
chr10	137327
chr10	137329
chr10	137667
chr10	137692
chr10	137752
chr10	137755
chr10	137761
chr10	137803
chr10	137868
chr10	137899
chr10	137905
chr10	137907
chr10	137912
chr10	137934
chr10	137936
chr10	137939
chr10	137970
chr10	137988
chr10	138475
chr10	138531
chr10	138542
chr10	138557
chr10	138558
chr10	138572
chr10	138582
chr10	138595
chr10	138613
chr10	138626
chr10	138636
chr10	138637
chr10	138693
chr10	138739
chr10	138742
chr10	138747
chr10	138751
chr10	138757
chr10	138765
chr10	138767
chr10	138771
chr10	138777
chr10	138781
chr10	138786
chr10	138788
chr10	138791
chr10	138792
chr10	138794
chr10	138796
chr10	138798
chr10	138800
chr10	138802
chr10	138818
chr10	138820
chr10	138827
chr10	138830
chr10	138840
chr10	138846
chr10	138880
chr10	138881
chr10	138883
chr10	138892
chr10	138910
chr10	138918
chr10	138925
chr10	138927
chr10	138929
chr10	138942
chr10	138945
chr10	138956
chr10	138958
chr10	138968
chr10	138970
chr10	138972
chr10	138985
chr10	138988
chr10	138997
chr10	138999
chr10	139002
chr10	139004
chr10	139006
chr10	139011
chr10	139014
chr10	139033
chr10	139034
chr10	139040
chr10	139065
chr10	139069
chr10	139073
chr10	139081
chr10	139084
chr10	139090
chr10	139094
chr10	139105
chr10	139107
chr10	139122
chr10	139128
chr10	139132
chr10	139133
chr10	139136
chr10	139140
chr10	139142
chr10	139159
chr10	139161
chr10	139171
chr10	139178
chr10	139181
chr10	139183
chr10	139192
chr10	139201
chr10	139204
chr10	139209
chr10	139212
chr10	139217
chr10	139229
chr10	139230
chr10	139243
chr10	139245
chr10	139248
chr10	139255
chr10	139263
chr10	139286
chr10	139289
chr10	139291
chr10	139297
chr10	139300
chr10	139308
chr10	139315
chr10	139324
chr10	139330
chr10	139332
chr10	139336
chr10	139345
chr10	139349
chr10	139351
chr10	139353
chr10	139355
chr10	139357
chr10	139359
chr10	139362
chr10	139364
chr10	139379
chr10	139380
chr10	139402
chr10	139405
chr10	139425
chr10	139433
chr10	139485
chr10	139500
chr10	139506
chr10	139507
chr10	139514
chr10	139527
chr10	139530
chr10	139541
chr10	139546
chr10	139555
chr10	139580
chr10	139605
chr10	139607
chr10	146545
chr10	146548
chr10	146550
chr10	146553
chr10	146739
chr10	146762
chr10	146772
chr10	146777
chr10	146779
chr10	146781
chr10	146796
chr10	146811
chr10	146814
chr10	146890
chr10	146901
chr10	146910
chr10	146913
chr10	146915
chr10	146922
chr10	146936
chr10	146946
chr10	146949
chr10	146964
chr10	146965
chr10	146968
chr10	146970
chr10	146971
chr10	146973
chr10	146978
chr10	146987
chr10	146993
chr10	146999
chr10	147012
chr10	147020
chr10	147046
chr10	147051
chr10	147058
chr10	147062
chr10	147082
chr10	147101
chr10	147106
chr10	147108
chr10	147110
chr10	147114
chr10	147119
chr10	147121
chr10	147125
