Category	Term	chr	str	end	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD
interaction	HGD_NeuN_hyper	chr1	31222034	31222121	88	6	-29.0496750472752	0.8417	0.0968	0.4899	0.0691	0.3418	0.0106
interaction	HGD_NeuN_hyper	chr18	73495968	73496185	218	6	-28.395931464536	0.7514	0.2676	0.1983	0.0763	0.1654	0.0462
interaction	HGD_NeuN_hyper	chr2	110370667	110370864	198	9	-28.345210580434	0.2135	0.0313	0.0782	0.0165	0.049	0.0088
interaction	HGD_NeuN_hyper	chr19	42437491	42437620	130	6	-28.1316034156458	0.7548	0.2081	0.5472	0.3034	0.6404	0.5251
interaction	HGD_NeuN_hyper	chr10	24994490	24995591	1102	7	-28.0196655486386	0.5444	0.0927	0.3223	0.1159	0.2667	0.2802
interaction	HGD_NeuN_hyper	chr12	70012955	70013178	224	4	-27.9506872011872	0.8313	0.5047	0.4478	0.5641	0.5217	0.6964
interaction	HGD_NeuN_hyper	chr6	42421976	42422460	485	7	-27.7246359591735	0.6317	0.1994	0.2118	0.0631	0.412	0.2512
interaction	HGD_NeuN_hyper	chr9	98243701	98244025	325	6	-27.6956929916535	0.8533	0.4801	0.7035	0.542	0.7591	0.4692
interaction	HGD_NeuN_hyper	chr6	45501258	45501605	348	6	-27.3683846073236	0.5888	0.214	0.2587	0.1327	0.3142	0.1413
interaction	HGD_NeuN_hyper	chr4	122618565	122618622	58	6	-27.2954606056446	0.1947	0.0032	0.0174	0.0019	0.0642	0.0576
interaction	HGD_NeuN_hyper	chr11	123376394	123377738	1345	5	-27.276251044432	0.722	0.4442	0.2884	0.3406	0.499	0.4148
interaction	HGD_NeuN_hyper	chr4	40310428	40310737	310	5	-26.2651496108796	0.816	0.687	0.555	0.6364	0.441	0.4596
interaction	HGD_NeuN_hyper	chr14	99973893	99974086	194	5	-26.1667358353659	0.9421	0.7971	0.599	0.6219	0.3909	0.3245
interaction	HGD_NeuN_hyper	chr12	73509728	73510132	405	6	-26.0638178571208	0.8817	0.6202	0.7575	0.6462	0.738	0.6218
interaction	HGD_NeuN_hyper	chr20	48341213	48341953	741	5	-25.8409857167362	0.7931	0.4887	0.2647	0.2692	0.2056	0.2019
interaction	HGD_NeuN_hyper	chr15	24105882	24105980	99	6	-25.7269984451398	0.7465	0.4674	0.5138	0.4736	0.5506	0.4389
interaction	HGD_NeuN_hyper	chr4	109434370	109434612	243	7	-25.1289152523755	0.2299	0.0138	0.0894	0.0164	0.0239	0.0036
interaction	HGD_NeuN_hyper	chr10	61668184	61668407	224	5	-24.7739040358793	0.1436	0.0061	0.0203	0.0042	0.006	0.001
interaction	HGD_NeuN_hyper	chr1	161147696	161147752	57	7	-24.4565896732321	0.2335	0.0588	0.0386	0.0076	0.0319	0.0128
interaction	HGD_NeuN_hyper	chr2	16160593	16160661	69	4	-24.0098280897154	0.9284	0.1177	0.6163	0.1673	0.6047	0.1854
interaction	HGD_NeuN_hyper	chr16	26090512	26090791	280	5	-23.9345397924132	0.7099	0.0475	0.4731	0.0702	0.4203	0.0317
interaction	HGD_NeuN_hyper	chr12	106539009	106539708	700	5	-23.5890249266396	0.6046	0.2332	0.4655	0.4005	0.4688	0.3216
interaction	HGD_NeuN_hyper	chr17	2886444	2886497	54	5	-23.3896080282222	0.6338	0.018	0.3491	0.0225	0.2022	0.4381
interaction	HGD_NeuN_hyper	chr10	116249973	116250314	342	4	-23.3748032356853	0.869	0.6199	0.7184	0.705	0.5775	0.6008
interaction	HGD_NeuN_hyper	chr6	162323021	162323447	427	5	-22.8529983746307	0.8997	0.5086	0.569	0.5221	0.0862	0.0853
interaction	HGD_NeuN_hyper	chr11	62433796	62433912	117	6	-22.6458116199635	0.449	0.257	0.1319	0.1126	0.009	0.0839
interaction	HGD_NeuN_hyper	chr5	73194373	73195346	974	7	-22.1802364512941	0.9079	0.487	0.7084	0.5859	0.2792	0.3559
interaction	HGD_NeuN_hyper	chr2	127138883	127139199	317	5	-22.0134067395414	0.4713	0.1819	0.2779	0.2007	0.2289	0.1465
interaction	HGD_NeuN_hyper	chr12	75043738	75043991	254	4	-21.9399303425972	0.8447	0.4424	0.7146	0.5374	0.5374	0.3346
interaction	HGD_NeuN_hyper	chr13	104172706	104172931	226	4	-21.7765889531221	0.7601	0.5407	0.5423	0.5861	0.4211	0.5861
interaction	HGD_NeuN_hyper	chr12	120051805	120052216	412	5	-21.6547866914923	0.8394	0.7051	0.6542	0.7223	0.5312	0.514
interaction	HGD_NeuN_hyper	chr17	78638394	78638928	535	5	-21.3156392795188	0.7388	0.5513	0.4126	0.4813	0.3886	0.3625
interaction	HGD_NeuN_hyper	chr1	113379145	113379525	381	4	-21.2825191447041	0.8322	0.2687	0.673	0.3679	0.643	0.2751
interaction	HGD_NeuN_hyper	chr15	37325871	37326711	841	5	-21.2649311432482	0.8096	0.5026	0.695	0.6458	0.5426	0.4764
interaction	HGD_NeuN_hyper	chr17	57451178	57451852	675	5	-21.2458678895528	0.8287	0.5171	0.5566	0.5504	0.27	0.2984
interaction	HGD_NeuN_hyper	chr11	74682535	74682644	110	4	-20.6528850349391	0.6933	0.039	0.4061	0.0572	0.4121	0.0131
interaction	HGD_NeuN_hyper	chr8	71358516	71358757	242	4	-20.4839392419273	0.8058	0.5093	0.5557	0.5413	0.6482	0.5516
interaction	HGD_NeuN_hyper	chr3	93877128	93877944	817	6	-20.16298551499	0.8533	0.2383	0.627	0.1683	0.4659	0.1186
interaction	HGD_NeuN_hyper	chr1	170209726	170210672	947	6	-19.9622010765159	0.9158	0.7683	0.5266	0.5736	0.6873	0.5844
interaction	HGD_NeuN_hyper	chr3	77584293	77584854	562	4	-19.8657806444894	0.8415	0.6677	0.645	0.7287	0.6928	0.6256
interaction	HGD_NeuN_hyper	chr8	31109718	31109806	89	4	-19.8573357753617	0.2393	0.0464	0.0314	0.0066	0.0114	0.0044
interaction	HGD_NeuN_hyper	chr11	23636130	23637033	904	4	-19.854016825061	0.9556	0.828	0.852	0.8097	0.858	0.8555
interaction	HGD_NeuN_hyper	chr18	18759425	18759989	565	6	-19.8326287298919	0.572	0.3564	0.1637	0.1595	0.311	0.2378
interaction	HGD_NeuN_hyper	chr8	71357922	71358445	524	4	-19.8169899991083	0.915	0.5983	0.6213	0.4828	0.7298	0.7184
interaction	HGD_NeuN_hyper	chr7	43623618	43623710	93	6	-19.7990807363625	0.1866	0.058	0.0545	0.0768	0.0433	0.0752
interaction	HGD_NeuN_hyper	chr6	142871915	142872526	612	4	-19.7644900028175	0.8179	0.3318	0.6139	0.3677	0.3407	0.1729
interaction	HGD_NeuN_hyper	chr12	116940214	116940374	161	4	-19.645443755217	0.8664	0.0987	0.6603	0.1853	0.744	0.0866
interaction	HGD_NeuN_hyper	chr6	36318848	36319055	208	5	-19.5141423803681	0.7629	0.2728	0.6353	0.3222	0.4212	0.1885
interaction	HGD_NeuN_hyper	chr5	179434612	179434857	246	4	-19.2668776144582	0.2466	0.0289	0.0624	0.0612	0.0569	0.0283
interaction	HGD_NeuN_hyper	chr14	55104637	55105095	459	5	-19.2374817663368	0.8023	0.5827	0.6034	0.619	0.6813	0.6494
interaction	HGD_NeuN_hyper	chr2	237488723	237489107	385	5	-19.1803497102331	0.8652	0.2448	0.737	0.3173	0.5324	0.4887
interaction	HGD_NeuN_hyper	chr5	66254316	66254474	159	5	-19.0593637329037	0.3003	0.035	0.1864	0.0563	0.0836	0.0296
interaction	HGD_NeuN_hyper	chr4	130244968	130245263	296	5	-19.0424746830126	0.6281	0.2205	0.4142	0.2158	0.4411	0.2796
interaction	HGD_NeuN_hyper	chr15	67700577	67700695	119	5	-18.811664933162	0.8627	0.5788	0.6444	0.4996	0.128	0.0574
interaction	HGD_NeuN_hyper	chr2	85838476	85838572	97	5	-18.5431445234006	0.4715	0.1269	0.3346	0.1454	0.1921	0.0583
interaction	HGD_NeuN_hyper	chr12	130140442	130140534	93	4	-18.4090418699485	0.9084	0.6883	0.7459	0.7842	0.6455	0.6236
interaction	HGD_NeuN_hyper	chr1	245676653	245677085	433	5	-18.2990581159026	0.7293	0.135	0.5404	0.1747	0.2709	0.0185
interaction	HGD_NeuN_hyper	chr7	121119602	121120591	990	4	-17.8962922456242	0.8734	0.6066	0.5873	0.4642	0.654	0.5759
interaction	HGD_NeuN_hyper	chr17	12671983	12672502	520	5	-17.8849612327542	0.9185	0.6465	0.8063	0.6111	0.7871	0.6569
interaction	HGD_NeuN_hyper	chr20	10450383	10450443	61	4	-17.7821912793539	0.2016	0.0295	0.0425	0.0126	0.0264	0.0064
interaction	HGD_NeuN_hyper	chr3	183003781	183003859	79	4	-17.7270889408962	0.1815	0.0127	0.014	0.005	0.0381	0.0171
interaction	HGD_NeuN_hyper	chr1	244175276	244175555	280	4	-17.5404919785067	0.5921	0.0671	0.3649	0.159	0.2184	0.0736
interaction	HGD_NeuN_hyper	chr9	7542421	7542738	318	4	-16.6308406983573	0.8717	0.2978	0.7509	0.4177	0.7399	0.7157
interaction	HGD_NeuN_hyper	chr4	170584978	170586694	1717	4	-16.3902490795846	0.634	0.2604	0.4797	0.3119	0.2183	0.0656
interaction	HGD_NeuN_hyper	chr20	50901532	50901754	223	4	-16.3765246048354	0.9495	0.8218	0.7677	0.7852	0.5608	0.6472
interaction	HGD_NeuN_hyper	chr7	118213286	118213599	314	4	-16.1167421840932	0.6383	0.2097	0.4371	0.2137	0.4037	0.1567
interaction	HGD_NeuN_hyper	chr16	12328764	12329231	468	4	-15.7543577867281	0.7559	0.1401	0.5332	0.1819	0.5755	0.1142
interaction	HGD_NeuN_hyper	chr1	183703896	183704113	218	4	-15.6412648001956	0.4209	0.0462	0.2063	0.085	0.2638	0.1061
interaction	HGD_NeuN_hyper	chr2	6141290	6141627	338	4	-15.3980683678917	0.8795	0.4681	0.6905	0.4972	0.7752	0.5482
interaction	HGD_NeuN_hyper	chr11	107139577	107139797	221	4	-15.3865809663306	0.7795	0.3205	0.5937	0.3391	0.2751	0.3498
interaction	HGD_NeuN_hyper	chr8	38585853	38585908	56	5	-14.9753528942606	0.4373	0.1367	0.3073	0.2265	0.3354	0.1669
interaction	HGD_NeuN_hyper	chr17	56655146	56655210	65	4	-14.9241762193428	0.4938	0.0016	0.256	0.0018	0.2033	0.0045
interaction	HGD_NeuN_hyper	chr21	43641073	43641184	112	4	-14.7691512630508	0.5647	0.3105	0.2701	0.2914	0.3126	0.4114
interaction	HGD_NeuN_hyper	chr2	208491263	208491336	74	4	-14.7652979186716	0.2534	0.0292	0.0527	0.0062	0.045	0.0118
interaction	HGD_NeuN_hyper	chr6	169653013	169653419	407	4	-14.1175943815295	0.3626	0.0236	0.2382	0.0548	0.1872	0.2424
interaction	HGD_NeuN_hyper	chr4	53156569	53156840	272	4	-14.1078422781307	0.8442	0.1045	0.5518	0.0633	0.428	0.1264
interaction	HGD_NeuN_hyper	chr5	71305418	71305698	281	4	-13.5295688885465	0.9236	0.6701	0.7428	0.5465	0.8165	0.7442
interaction	HGD_NeuN_hyper	chr5	137558647	137558783	137	4	-13.4946399366575	0.2916	0.1241	0.1351	0.1315	0.0132	0.0079
interaction	HGD_NeuN_hyper	chr11	67349641	67350195	555	4	-13.4232372891058	0.7662	0.3809	0.48	0.2894	0.4238	0.5702
interaction	HGD_NeuN_hyper	chr2	239278183	239278817	635	4	-13.3221259244592	0.7837	0.4429	0.603	0.5151	0.1516	0.3628
interaction	HGD_NeuN_hyper	chr21	41622603	41623086	484	4	-13.0198307712037	0.9027	0.7412	0.7676	0.7373	0.7093	0.7132
interaction	HGD_NeuN_hyper	chr1	6995672	6995853	182	4	-12.9281952339812	0.5997	0.0924	0.3947	0.0853	0.3152	0.0296
interaction	HGD_NeuN_hyper	chr6	3077260	3077364	105	4	-12.9103625705934	0.9465	0.5352	0.7364	0.4994	0.5054	0.4391
interaction	HGD_NeuN_hyper	chr20	37765700	37765761	62	4	-12.9006410065737	0.9057	0.6686	0.7415	0.6662	0.2608	0.1539
interaction	HGD_NeuN_hyper	chr10	23484718	23484773	56	4	-12.8370248643604	0.3157	0.1415	0.1922	0.1347	0.0914	0.048
interaction	HGD_OliG2_hyper	chr2	171670548	171671994	1447	22	170.507279803585	0.0989	0.5353	0.1037	0.1648	0.1329	0.2907
interaction	HGD_OliG2_hyper	chr10	71487512	71488061	550	9	103.604021124036	0.479	0.9118	0.6766	0.3946	0.6114	0.5413
interaction	HGD_OliG2_hyper	chr12	99725141	99726818	1678	12	89.3989182023662	0.39	0.7726	0.426	0.2936	0.47	0.5261
interaction	HGD_OliG2_hyper	chr12	114845446	114845920	475	15	86.249975793125	0.1064	0.5275	0.0752	0.1693	0.0542	0.0983
interaction	HGD_OliG2_hyper	chr16	64201563	64202168	606	13	82.2686739692826	0.18	0.7142	0.242	0.3568	0.3902	0.1418
interaction	HGD_OliG2_hyper	chr20	55499436	55499695	260	14	82.0316398645689	0.2286	0.7382	0.1549	0.34	0.2458	0.4774
interaction	HGD_OliG2_hyper	chr20	55499807	55500103	297	17	80.3620498786067	0.1471	0.4097	0.1108	0.1388	0.1415	0.2463
interaction	HGD_OliG2_hyper	chr2	3199102	3199885	784	13	79.4389603818826	0.392	0.7949	0.4196	0.5455	0.2629	0.3747
interaction	HGD_OliG2_hyper	chr7	22089488	22090003	516	10	75.0934203972871	0.3088	0.8284	0.3701	0.4461	0.255	0.0401
interaction	HGD_OliG2_hyper	chr4	152872110	152872782	673	11	72.8478815599195	0.2826	0.8262	0.3078	0.4867	0.3224	0.4599
interaction	HGD_OliG2_hyper	chr4	130168119	130168585	467	9	71.8659980866135	0.5545	0.924	0.6385	0.5907	0.4823	0.561
interaction	HGD_OliG2_hyper	chr2	107504334	107504687	354	8	63.9855216584247	0.1964	0.6976	0.3306	0.4265	0.2796	0.5265
interaction	HGD_OliG2_hyper	chr13	112708783	112709201	419	10	63.3366484385061	0.2089	0.4383	0.1394	0.1209	0.156	0.19
interaction	HGD_OliG2_hyper	chr2	27195039	27196350	1312	11	63.0779528266681	0.1677	0.5504	0.1539	0.2255	0.2312	0.1324
interaction	HGD_OliG2_hyper	chr2	200851962	200853262	1301	9	61.1929728127227	0.4043	0.8008	0.427	0.4919	0.6127	0.5454
interaction	HGD_OliG2_hyper	chr11	107548653	107549602	950	9	60.513297194093	0.473	0.7291	0.606	0.4582	0.6221	0.3672
interaction	HGD_OliG2_hyper	chr16	87903673	87904058	386	12	60.2631720168213	0.5643	0.7833	0.3611	0.2952	0.441	0.3542
interaction	HGD_OliG2_hyper	chr18	75347386	75348251	866	11	60.2008814725726	0.1492	0.3177	0.2007	0.1362	0.1688	0.1026
interaction	HGD_OliG2_hyper	chr12	114842177	114842575	399	13	60.095185311349	0.0992	0.4897	0.069	0.1738	0.0591	0.1527
interaction	HGD_OliG2_hyper	chr22	25456589	25457127	539	9	59.5747733906122	0.3767	0.869	0.1337	0.2247	0.167	0.2451
interaction	HGD_OliG2_hyper	chr20	39340097	39340909	813	11	58.5958162824979	0.5242	0.7794	0.6453	0.6527	0.588	0.6836
interaction	HGD_OliG2_hyper	chr6	151897982	151898182	201	7	58.5928160359165	0.2169	0.6103	0.3113	0.2242	0.125	0.0834
interaction	HGD_OliG2_hyper	chr4	17325115	17325989	875	11	58.263632263857	0.4459	0.7729	0.4891	0.5633	0.5846	0.406
interaction	HGD_OliG2_hyper	chr5	10583882	10584397	516	11	57.8291387025647	0.2969	0.7952	0.4313	0.5704	0.5334	0.389
interaction	HGD_OliG2_hyper	chr4	128553617	128553930	314	15	56.7110386031381	0.029	0.1372	0.0096	0.0129	0.0187	0.0188
interaction	HGD_OliG2_hyper	chr4	99851198	99851346	149	7	56.1219285288392	0.2632	0.7793	0.0152	0.0341	0.239	0.3361
interaction	HGD_OliG2_hyper	chr8	139613746	139614253	508	14	55.8469434005981	0.1961	0.361	0.2228	0.1105	0.2366	0.0916
interaction	HGD_OliG2_hyper	chr13	50194322	50194488	167	9	55.7191722470443	0.2444	0.6869	0.2882	0.4284	0.0035	0.0044
interaction	HGD_OliG2_hyper	chr19	30067146	30067729	584	10	53.5453927204653	0.3311	0.5385	0.2686	0.1656	0.2284	0.2283
interaction	HGD_OliG2_hyper	chr1	14061809	14062178	370	8	53.4895712992135	0.4512	0.8333	0.5635	0.5313	0.6536	0.4227
interaction	HGD_OliG2_hyper	chr7	25893954	25894163	210	11	52.8346507984142	0.5635	0.8342	0.5625	0.5863	0.6638	0.4799
interaction	HGD_OliG2_hyper	chr3	173303813	173305238	1426	10	51.6943116392821	0.322	0.5144	0.3205	0.2299	0.3173	0.1821
interaction	HGD_OliG2_hyper	chr8	49462961	49463393	433	6	51.5366429672211	0.5556	0.8326	0.4636	0.2736	0.338	0.1519
interaction	HGD_OliG2_hyper	chr17	59369051	59369481	431	7	50.876860649596	0.3255	0.8823	0.3972	0.5317	0.2382	0.2761
interaction	HGD_OliG2_hyper	chr9	1048732	1049087	356	12	50.5238021775617	0.1096	0.3926	0.076	0.1278	0.0795	0.1284
interaction	HGD_OliG2_hyper	chr6	139429097	139429767	671	6	50.1005230615722	0.5242	0.9246	0.7449	0.6916	0.481	0.4171
interaction	HGD_OliG2_hyper	chr4	186659228	186659846	619	11	49.5137629925632	0.2692	0.6684	0.3578	0.5422	0.2323	0.2161
interaction	HGD_OliG2_hyper	chr14	49413249	49414321	1073	8	49.4023962887797	0.4026	0.8577	0.4926	0.6528	0.5711	0.4606
interaction	HGD_OliG2_hyper	chr2	39898568	39899618	1051	8	49.0957970251549	0.2931	0.7149	0.259	0.3191	0.3585	0.354
interaction	HGD_OliG2_hyper	chr15	26911548	26911851	304	8	48.7493438357288	0.5167	0.7714	0.6256	0.406	0.3501	0.2865
interaction	HGD_OliG2_hyper	chr20	2258574	2259193	620	6	48.6931778108581	0.4723	0.8211	0.694	0.5534	0.5575	0.5269
interaction	HGD_OliG2_hyper	chr5	98111441	98112252	812	9	47.8658953944452	0.2159	0.5113	0.1531	0.1463	0.2195	0.3166
interaction	HGD_OliG2_hyper	chr5	9713196	9713553	358	7	47.8610938390094	0.1579	0.413	0.1467	0.1275	0.3049	0.0564
interaction	HGD_OliG2_hyper	chr22	40322374	40322791	418	9	46.9399005940783	0.27	0.8643	0.3655	0.6537	0.3013	0.7242
interaction	HGD_OliG2_hyper	chr12	5066660	5067101	442	7	46.8148563816783	0.6569	0.9253	0.5712	0.5536	0.4549	0.6288
interaction	HGD_OliG2_hyper	chr11	126763345	126763662	318	9	46.3687338432853	0.6206	0.8269	0.6867	0.5357	0.6855	0.523
interaction	HGD_OliG2_hyper	chr16	87901201	87901867	667	9	45.5841029126126	0.2814	0.8464	0.2412	0.5889	0.277	0.6503
interaction	HGD_OliG2_hyper	chr3	113321792	113321989	198	8	45.2605302893007	0.4474	0.9283	0.3951	0.5868	0.4964	0.4411
interaction	HGD_OliG2_hyper	chr5	132362900	132363110	211	9	44.890505543361	0.5191	0.7322	0.529	0.4001	0.1163	0.1151
interaction	HGD_OliG2_hyper	chr15	42156791	42157452	662	10	44.6763386518829	0.5712	0.9541	0.4662	0.7426	0.4883	0.6987
interaction	HGD_OliG2_hyper	chr19	41832749	41833252	504	10	44.3772428331154	0.2654	0.7036	0.2646	0.3379	0.2073	0.4077
interaction	HGD_OliG2_hyper	chr1	5281525	5282182	658	8	44.2821531224759	0.468	0.8922	0.4233	0.4529	0.5587	0.5412
interaction	HGD_OliG2_hyper	chr2	200296506	200296861	356	8	44.2346069593763	0.4722	0.8186	0.4453	0.5235	0.4308	0.6357
interaction	HGD_OliG2_hyper	chr21	44104913	44105208	296	6	44.031263914403	0.2421	0.9027	0.2872	0.3821	0.232	0.4113
interaction	HGD_OliG2_hyper	chr3	160626914	160627578	665	6	44.0271496043215	0.4398	0.6794	0.4945	0.4018	0.5521	0.451
interaction	HGD_OliG2_hyper	chr6	88871103	88873114	2012	6	44.0084328567787	0.4201	0.8598	0.427	0.5172	0.5486	0.661
interaction	HGD_OliG2_hyper	chr13	108490122	108490572	451	8	43.8419085089652	0.3804	0.6311	0.3982	0.3246	0.3256	0.3931
interaction	HGD_OliG2_hyper	chr4	113683734	113683961	228	10	43.6454762131271	0.4587	0.7037	0.5402	0.4932	0.4019	0.4204
interaction	HGD_OliG2_hyper	chr13	111923329	111924027	699	8	43.6357838169778	0.5207	0.8462	0.6207	0.6287	0.555	0.6529
