chromosome	pos	Human_meth	Chimp_meth	Macaque_meth	stats_all	pval_all	fdr_all	stats_HvsC	pval_HvsC	fdr_HvsC	stats_MvsH	pval_MvsH	fdr_MvsH	stats_MvsC	pval_MvsC	fdr_MvsC
chr1	1005270	0.652	0.547	0.219	3.41101805527885	0.000647208056263125	0.0104055574842145	0.0462817114141583	0.963085715865132	0.998542632824727	-5.05421338738436	4.32168212102633e-07	1.61351760478032e-05	-3.87311424583772	0.00010745342569303	0.00254671547209231	Macaque_hypo
chr1	1005828	0.942	0.896	0.518	4.57043064941753	4.86722974715054e-06	0.000188091887885394	1.80841595396104	0.0705417867336555	0.513798078376728	-6.38038897852021	1.76638743439198e-10	1.48121600032702e-08	-3.91804943636312	8.92684009653829e-05	0.00217998994013547	Macaque_hypo
chr1	1008071	0.667	0.468	0.948	3.00299924783284	0.00267333092136634	0.0315609065372273	1.35338726429307	0.17593194395358	0.74686941936636	3.54421323729404	0.000393786617651289	0.00591043803020302	3.2861248137609	0.00101575990331494	0.016166361341689	Macaque_hyper
chr1	1014885	0.38	0.422	0.962	4.26160711501642	2.02962031419957e-05	0.000620300064103387	-1.46843697278102	0.141985564741215	0.692812866961855	5.50698478919349	3.6503178716864e-08	1.79246030638006e-06	4.09931433013247	4.14375940937426e-05	0.00114341302515384	Macaque_hyper
chr1	1014932	0.143	0.159	0.669	3.92876730578635	8.53824078446103e-05	0.00203104401254552	-0.981124717715296	0.326531242614558	0.882649030756946	4.36374590327507	1.27854074392659e-05	0.000314750029425721	5.02754536579745	4.96797981456609e-07	2.54518480312947e-05	Macaque_hyper
chr1	1014978	0.161	0.184	0.735	3.54820776480757	0.000387862140336725	0.00691731298106485	-1.21608978693037	0.223950720647877	0.80408832053288	4.4178363718377	9.96938464369957e-06	0.000253569777574911	3.77407604038921	0.000160601773286354	0.00356066750074178	Macaque_hyper
chr1	1015017	0.251	0.433	0.921	3.81996923803261	0.000133468318924764	0.00292533349470321	-1.93349729992217	0.0531749653796438	0.445715497678689	4.9744485626317	6.54336352930031e-07	2.32938009857593e-05	3.98824717513179	6.65632908105095e-05	0.00170368357158755	Macaque_hyper
chr1	1015035	0.281	0.408	0.958	4.32415165266452	1.53119941557215e-05	0.000490862783259518	-1.4275762266818	0.153413870337232	0.712505587000027	6.47401844721113	9.54302432810973e-11	8.47173041583499e-09	3.64642989268146	0.000265908981681069	0.00541107497031965	Macaque_hyper
chr1	1015116	0.119	0.17	0.76	4.44968147799312	8.59977362431498e-06	0.000303111770027833	-0.33948466602385	0.734244646697159	0.984210382709208	6.57751511420835	4.78375245123135e-11	4.5236750896265e-09	4.49962592253951	6.8073146344016e-06	0.000245264393540103	Macaque_hyper
chr1	1015225	0.106	0.288	0.873	4.65056637202414	3.31024688395832e-06	0.000135949013883494	-0.846217879691724	0.397431209365526	0.915951730071729	5.78365269719902	7.3095775528575e-09	4.24721801314531e-07	4.13927720982049	3.48401757889865e-05	0.000987116481073397	Macaque_hyper
chr1	1015736	0.113	0.375	0.868	5.02357130901952	5.07193806599948e-07	2.76881982910993e-05	-2.152386904264	0.0313668942644813	0.332899645334684	6.80427784793806	1.01557368608204e-11	1.10431783756363e-09	4.67243696470869	2.97646880530569e-06	0.000120353396295309	Macaque_hyper
chr1	1019831	0.781	0.992	0.949	3.59247530877598	0.000327551699055664	0.00604087024994546	-4.0547888538486	5.01796083628186e-05	0.0027367483136203	3.46794316549714	0.000524458195822772	0.00751416573753038	-0.456429712601648	0.648081003557422	0.946878368659294	Human_specific_hypo
chr1	1020679	0.959	0.956	0.485	3.24239723639612	0.00118528685632853	0.0167863530626716	-0.189840319002359	0.849434260364769	0.992731762340226	-3.48127519034047	0.000499032495558109	0.00720818615609293	-3.82855456005238	0.000128898058279454	0.00296463303260783	Macaque_hypo
chr1	1049904	0.935	0.515	0.929	5.10857564952729	3.24596442085166e-07	1.89078637771503e-05	6.4818713662738	9.05918633044137e-11	2.63434552238912e-08	-0.314433150663379	0.753192081374228	0.946946713948887	3.80316823352589	0.000142857270097767	0.00323008842833251	Chimp_specific_hypo
chr1	1049905	0.937	0.484	0.941	6.10318160628511	1.03977583862649e-09	1.29328388511627e-07	6.7157862536625	1.87054823180974e-11	6.30655370282746e-09	-0.43738771579304	0.66183019138874	0.919248084972569	5.16411653239879	2.41577168665986e-07	1.35660950550656e-05	Chimp_specific_hypo
chr1	1050062	0.883	0.273	0.771	5.82768265372151	5.62023224125745e-09	5.67422710443658e-07	8.44299484199862	3.09308756220116e-17	2.9533829628661e-14	-2.38100577125331	0.0172654414540475	0.122603788554187	3.81759754289146	0.000134757514923294	0.00307664886891381	Chimp_specific_hypo
chr1	1050083	0.86	0.084	0.666	8.09664778374229	5.64943360976687e-16	3.05184413692122e-13	11.8312232255077	2.69190027718085e-32	1.39410324029297e-28	-2.45586055575553	0.0140547682569051	0.105109395069676	5.50609119089605	3.66888534145706e-08	2.58698230833122e-06	Chimp_specific_hypo
chr1	1050132	0.952	0.566	0.756	4.70245392528633	2.5705323779024e-06	0.000109903665412679	6.15463263483758	7.52517234221296e-10	1.77232468131032e-07	-3.12087715209193	0.00180313237643073	0.0208322575739836	1.04219058570415	0.297323326903542	0.770204369254875	Human_specific_hyper
chr1	1050160	0.919	0.212	0.675	7.31356032293637	2.60155435148115e-13	8.00466155416361e-11	9.98358431039567	1.79849979391573e-23	3.97122738512269e-20	-1.4927261355457	0.135508889132937	0.482478199903954	4.25892999097013	2.05407784711456e-05	0.000630512390411992	Chimp_specific_hypo
chr1	1050210	0.803	0.225	0.196	6.91559550052774	4.65902047003229e-12	1.06712873638329e-09	7.89960349763835	2.79792030507462e-15	1.96127005094396e-12	-6.83292833112121	8.31985275816074e-12	9.20795549077078e-10	-0.80977298216023	0.418070663471472	0.859077255101918	Human_specific_hyper
chr1	1050211	0.872	0.117	0.291	7.26934381095907	3.6123792590853e-13	1.07502700553112e-10	9.45401799676456	3.26068134691615e-21	5.36885966855574e-18	-5.3938151431423	6.89771823624655e-08	3.15977133931306e-06	1.30447531932563	0.192071569213819	0.643670328598242	Human_specific_hyper
chr1	1050307	0.721	0.267	0.394	4.27065918279304	1.94896053695654e-05	0.000599761263515385	5.59919768198027	2.15346122679071e-08	3.50183643862192e-06	-4.08455209646176	4.41619180479106e-05	0.0009186496064044	0.363864126485434	0.715959473962287	0.962003666944439	Human_specific_hyper
chr1	1050401	0.417	0.123	0.042	4.06039521816676	4.89897193324075e-05	0.00128709764013011	3.96943372153838	7.20436421564054e-05	0.00368597223111698	-4.87532421043563	1.08629895194546e-06	3.64346610368414e-05	-1.52683762363612	0.12680139340589	0.524053317297086	Human_specific_hyper
chr1	1050422	0.5	0.08	0.104	4.15176951616074	3.29914435045347e-05	0.000928817913462502	6.88849740492982	5.63847624621639e-12	2.12279131119752e-09	-3.59419359581342	0.000325397827309341	0.00503459447660607	-1.54387086909963	0.122619618503615	0.514755499073016	Human_specific_hyper
chr1	1050423	0.505	0.068	0.091	4.84314804019591	1.27797997744132e-06	6.08359751571658e-05	5.86256645441381	4.55767109687252e-09	8.83851714628144e-07	-4.71322689697606	2.43824439272654e-06	7.410156437023e-05	0.0182792166667312	0.985416107394661	0.998698841400127	Human_specific_hyper
chr1	1050522	0.189	0.008	0.017	4.45048669442157	8.56759020654989e-06	0.000302133727237395	4.77793309009382	1.77106290380209e-06	0.00016355878385874	-5.41870290868457	6.00329795055428e-08	2.79279156306938e-06	-0.786567563878135	0.431535053301234	0.866563996395856	Human_specific_hyper
chr1	1052728	0.392	0.022	0.025	3.74038144757232	0.000183741195706237	0.00378957157050392	5.45524290476214	4.89059444947107e-08	7.22002160827851e-06	-3.38734306336532	0.000705730799924221	0.00962498061546511	0.0361677948521659	0.971148565165038	0.997402683981246	Human_specific_hyper
chr1	1052871	0.783	0.146	0.456	5.57965587888247	2.40994889510714e-08	2.01371729294232e-06	7.41634023752573	1.20400959966485e-13	6.2894444541483e-11	-2.98029563739153	0.00287970313705587	0.0304445128162185	2.32473185759403	0.0200863026849801	0.161263374799327	Human_specific_hyper
chr1	1052892	0.904	0.575	0.571	4.51644371659734	6.28868218972543e-06	0.00023315976981075	4.81035358471074	1.5066353381416e-06	0.000142291713696725	-4.71149428943121	2.45906989283813e-06	7.46548385820251e-05	-0.701749611234107	0.482835327847584	0.891645577422815	Human_specific_hyper
chr1	1052893	0.947	0.52	0.624	4.06872424885262	4.72712517380105e-05	0.00124967142095088	4.81417715203712	1.47807646853999e-06	0.000139982463649239	-3.9695558402331	7.20067310310037e-05	0.00139694936621177	-0.343648636060047	0.731110543488073	0.964947501210914	Human_specific_hyper
chr1	1052910	0.795	0.32	0.517	4.17516364837266	2.97771916958277e-05	0.000853022033481163	5.20435597100367	1.9467053672225e-07	2.42384484663831e-05	-3.19029665121598	0.00142126822025898	0.0171569676182544	1.20218225135317	0.229292924292524	0.695718959418698	Human_specific_hyper
chr1	1052939	0.856	0.367	0.511	3.72238048152201	0.000197353333423344	0.00401488567799595	4.31587037892557	1.58975250084502e-05	0.00105355515683356	-3.00106595522062	0.00269036285225436	0.0288224493806759	-0.0517478727136764	0.958729591403377	0.996300472960811	Human_specific_hyper
chr1	1052943	0.696	0.284	0.381	3.54185520526939	0.000397323509171179	0.0070519458056726	4.7480816866539	2.05355099678845e-06	0.000185671421255035	-2.81236941450203	0.00491779874394795	0.0466523810767022	0.329608175040823	0.741696044722093	0.966993999496151	Human_specific_hyper
chr1	1052994	0.919	0.518	0.569	4.16953093313064	3.05227188416257e-05	0.000870776127866972	4.83229751123321	1.34966358589489e-06	0.00012952361498205	-4.16274896454349	3.14439001961669e-05	0.000685604255092241	-1.35188531946156	0.176412004559329	0.61864623711831	Human_specific_hyper
chr1	1053010	0.929	0.572	0.546	3.86294442753042	0.000112028500093627	0.00253547492398284	3.77555853744954	0.000159649525286203	0.00704079096180561	-4.53763447130768	5.68887549965929e-06	0.000155585609700736	-1.33901962104921	0.180564285438252	0.625482516433478	Human_specific_hyper
chr1	1053025	0.918	0.571	0.7	3.26466252343314	0.00109594568730719	0.0157836230333081	4.50191341822173	6.73444170570794e-06	0.000510229894944563	-3.28810812345067	0.0010086309444361	0.0129383606879161	-0.319629543173344	0.749249176085039	0.968396147801832	Human_specific_hyper
chr1	1053180	0.695	0.93	0.539	3.10376960693884	0.00191072058377871	0.0243607524666836	-3.36821672201011	0.000756560996253301	0.0241973980331303	-1.26738807780121	0.205016560650811	0.598544640538474	-3.82336517933288	0.000131642586344727	0.00301707631887014	Chimp_specific_hyper
chr1	1053253	0.906	0.947	0.644	3.19017965066697	0.00142184377412872	0.0193573234715671	-0.585980104285959	0.557888884941567	0.960605255168513	-3.3019266582209	0.000960231741839071	0.0124209773990854	-4.70539513354071	2.53374722540537e-06	0.000104753807299901	Macaque_hypo
chr1	1053304	0.943	0.914	0.48	3.32791821528425	0.000874975490526067	0.0132146678326554	0.16098736572568	0.872103351535575	0.994061036704021	-3.91520538146344	9.0327283823145e-05	0.0016965212833009	-3.05157657307833	0.00227642976595829	0.0308343415500998	Macaque_hypo
chr1	1054348	0.973	0.96	0.812	3.21489846280214	0.00130490670284957	0.018100696286615	0.210786991628919	0.833053489670616	0.991731618429805	-3.96379032366993	7.37690515506837e-05	0.0014263228805881	-3.49904892406835	0.000466920898736781	0.00859632657428692	Macaque_hypo
chr1	1054382	0.944	0.925	0.502	6.01719928041363	1.77460565622649e-09	2.0665112829664e-07	1.72723033828464	0.0841263043045011	0.557924178852592	-6.60048316911536	4.09819914347312e-11	3.93174570376759e-09	-6.03143612928966	1.62508953675103e-09	1.63044898306627e-07	Macaque_hypo
chr1	1054383	0.901	0.937	0.471	3.24710881025842	0.00116583808973097	0.0165709548086744	-0.198894440432909	0.842345318526927	0.992275551177225	-4.11714168153942	3.83600270359252e-05	0.000814040437380873	-3.94435124472918	8.00163046806121e-05	0.00198831455789179	Macaque_hypo
chr1	1054428	0.968	0.965	0.646	4.25501172604694	2.09038059922801e-05	0.000635761541115242	-0.391689874229767	0.695287372631817	0.980439692358699	-4.69145901991883	2.71263610351116e-06	8.13694218991375e-05	-4.57854481324956	4.68221861047027e-06	0.000177737156710331	Macaque_hypo
chr1	1054436	0.964	0.993	0.622	4.86979590740814	1.11713573717507e-06	5.42838042320151e-05	-0.278785813279512	0.78040920235784	0.988161382822515	-4.72658535014769	2.28326845293203e-06	6.99397952051732e-05	-5.72372442739463	1.04213742143793e-08	8.50078181957667e-07	Macaque_hypo
chr1	1054898	0.445	0.258	0.809	3.71767175320122	0.000201067285302148	0.00407619487648917	2.61200844323178	0.00900120310942214	0.150022497560893	3.87585451082641	0.000106251159418024	0.00194942240707915	4.30209622230369	1.69189803151908e-05	0.00053465180536163	Macaque_hyper
chr1	1057448	0.151	0.725	0.844	4.76976898687316	1.84437310266445e-06	8.29554540664181e-05	-5.0630481465767	4.12605595953026e-07	4.65717035568994e-05	4.78690285984069	1.69374761756605e-06	5.38408976305145e-05	0.975692592122444	0.329216824328511	0.798220292049863	Human_specific_hypo
chr1	1058247	0.9	0.946	0.338	3.88991422234611	0.000100279661927519	0.00231606971051135	-2.24509477992753	0.0247620486551751	0.289177480370972	-3.28268590679793	0.0010282316165815	0.0131456776062479	-3.69555681369246	0.000219405408971853	0.00461420332485055	Macaque_hypo
chr1	1058248	0.934	0.961	0.223	5.94393291737727	2.78263513747103e-09	3.06135816565372e-07	-0.89076558511484	0.373054941528219	0.905806746006504	-7.30709796229178	2.72973552681465e-13	4.0555167653037e-11	-6.16788391038973	6.92099241179939e-10	7.58688056933255e-08	Macaque_hypo
chr1	1058256	0.859	0.907	0.305	4.53693801112712	5.70768743873798e-06	0.000215039889197606	-0.273016566938865	0.784840480614012	0.988519882244418	-4.91742736383781	8.76889774954606e-07	3.01716873046579e-05	-5.34438846078584	9.07228197356862e-08	5.74521920353739e-06	Macaque_hypo
chr1	1058347	0.514	0.565	0.02	5.68781817749498	1.28672713090695e-08	1.16684772977143e-06	-0.0171922666334099	0.986283231611414	0.999438485255652	-7.00870691421052	2.40530709798923e-12	2.97166271451154e-10	-6.27292440908764	3.54328956589964e-10	4.1660764571559e-08	Macaque_hypo
chr1	1058481	0.867	0.853	0.105	5.73712873801352	9.62950617808724e-09	9.06560209785422e-07	-1.26059893791531	0.207453381504999	0.786581036743408	-6.5140128975863	7.31692105296474e-11	6.65450216979222e-09	-6.40372570921231	1.51630418812674e-10	1.94523943288568e-08	Macaque_hypo
chr1	1058482	0.821	0.857	0.042	9.35747542110604	8.1664602997863e-21	1.08066738521526e-17	-0.629648671427796	0.528924471990493	0.954655584060268	-10.6676495891098	1.4422857069247e-26	1.70113160562338e-23	-10.8909249715165	1.27340295293896e-27	3.10626448947167e-24	Macaque_hypo
chr1	1058489	0.553	0.512	0.01	5.11680275521677	3.10758296689972e-07	1.82125497099798e-05	0.884439603348374	0.376458952226328	0.907322027898252	-6.8471699323245	7.53252238434533e-12	8.40860033119403e-10	-5.67165336096101	1.41425916226928e-08	1.11544012324967e-06	Macaque_hypo
chr1	1058490	0.61	0.603	0.009	6.80631583402105	1.00129765374187e-11	2.11561673880126e-09	1.30589562130112	0.191588055858199	0.767628235598654	-8.11239120779039	4.963320381337e-16	1.21396887306396e-13	-7.9431583276467	1.97097100235538e-15	6.96419985257059e-13	Macaque_hypo
chr1	1058586	0.915	0.888	0.023	9.64613230471899	5.1044708643223e-22	8.18978336381245e-19	1.54828674940096	0.121553273264128	0.652889858985593	-12.1764410508497	4.14998997850147e-34	1.25679664691488e-30	-9.95574049809615	2.38044053919194e-23	3.14961677189696e-20	Macaque_hypo
chr1	1058597	0.92	0.951	0.043	9.55922916178697	1.18637015990919e-21	1.8009517891237e-18	-1.06282516337971	0.287861245856271	0.858313914797725	-11.5331317763577	8.98158705238298e-31	1.84260733612799e-27	-10.8658382749835	1.67676132383948e-27	4.013651618016e-24	Macaque_hypo
chr1	1058638	0.841	0.886	0.119	5.873872526409	4.25730787142706e-09	4.44839485410847e-07	-0.503527055275563	0.614593763438669	0.97004564910763	-7.16295146363697	7.89583118266671e-13	1.07385014592338e-10	-7.28619986934345	3.18819894315515e-13	7.33920269693104e-11	Macaque_hypo
chr1	1058658	0.792	0.925	0.173	5.73872720618029	9.53907266204344e-09	8.99163194150872e-07	-2.20243888751839	0.0276343215050538	0.308842579179611	-6.25987538979792	3.85285212335566e-10	3.00088479804904e-08	-6.62019653654487	3.58721610823043e-11	5.32642383773495e-09	Macaque_hypo
chr1	1058659	0.789	0.926	0.284	5.0144178700463	5.31942679812486e-07	2.88391224431435e-05	-2.65511761158519	0.00792807616558209	0.137533438885525	-4.88019315280985	1.05981990913168e-06	3.56452720971217e-05	-6.58224629089682	4.63393118428058e-11	6.70577103037545e-09	Macaque_hypo
chr1	1058678	0.511	0.642	0.152	3.44146384637573	0.000578575782909699	0.00951637058309805	-1.54377242839502	0.122643472944236	0.655224295905037	-4.06483263612907	4.80669413810002e-05	0.000987757503323256	-3.0186531132908	0.00253901065372598	0.0336062967731591	Macaque_hypo
chr1	1058688	0.88	0.924	0.18	5.91091961352803	3.40203037337855e-09	3.65117625593521e-07	-0.520930416696478	0.602415245531523	0.968243414364716	-6.94342589507933	3.82703405282967e-12	4.53459029627877e-10	-5.7365530285832	9.66228068739664e-09	7.9504736761348e-07	Macaque_hypo
chr1	1058689	0.89	0.882	0.146	5.14551070193301	2.66793990584283e-07	1.59865741204399e-05	0.394756491467775	0.693022607276788	0.980173000384639	-6.21023001226235	5.2907102912676e-10	3.99417440418252e-08	-5.81188849238035	6.17719834553743e-09	5.3454005129825e-07	Macaque_hypo
chr1	1058775	0.756	0.827	0.167	4.2110365178587	2.54201646232185e-05	0.000748044459748625	-0.559514673828449	0.575810519568014	0.963956214347491	-4.28419978523254	1.83398061656172e-05	0.000430339120893693	-5.7391123647173	9.5174060104667e-09	7.84577572838231e-07	Macaque_hypo
chr1	1058776	0.879	0.925	0.087	6.64744188123138	2.98230683113003e-11	5.5911497093001e-09	-1.59413661582207	0.110905439356742	0.629239632211512	-8.34478812582374	7.1341669731457e-17	2.00909446841299e-14	-7.47849918471914	7.51761675357064e-14	1.96134950770252e-11	Macaque_hypo
chr1	1058804	0.959	0.866	0.256	5.89967373942186	3.64221066757318e-09	3.87630066970568e-07	0.389364792637016	0.697006312576264	0.980622371989715	-8.28158960675289	1.2154182594936e-16	3.2919896788776e-14	-5.13507129038696	2.82037092938622e-07	1.55293118185027e-05	Macaque_hypo
chr1	1059731	0.893	0.924	0.525	4.04989782344841	5.12400007621637e-05	0.00133534392431024	-0.259704283236536	0.79509188843782	0.98920459079088	-4.19659520119527	2.7095759438127e-05	0.000603070103709279	-5.4501956837739	5.03144280653358e-08	3.42071822759472e-06	Macaque_hypo
chr1	1059739	0.932	0.921	0.437	3.6462106533816	0.000266135834631217	0.00511091760473199	-0.194307647043512	0.845934998273309	0.992513171840162	-4.30395914133072	1.67772618075133e-05	0.000398466733597114	-4.55565384548723	5.22228765835396e-06	0.000195270462827919	Macaque_hypo
chr1	1059740	0.897	0.808	0.394	4.21791134735143	2.46575721389607e-05	0.000729265106167318	1.2443858769185	0.213357578262192	0.793038178267107	-4.87443678992543	1.09119316588711e-06	3.65787868108648e-05	-4.78515329708353	1.70856877207584e-06	7.45017511801184e-05	Macaque_hypo
chr1	1059822	0.927	0.885	0.22	6.74169057731929	1.56554211702513e-11	3.15093748691443e-09	0.969308882144554	0.332391098957636	0.885831777034836	-7.99001163677134	1.34926017214678e-15	3.05831757765714e-13	-7.41048757471546	1.25835911705994e-13	3.14115124266032e-11	Macaque_hypo
chr1	1064536	0.894	0.959	0.545	3.33444430692757	0.000854700142047771	0.0129721674843201	-0.6830604030495	0.494568675085558	0.946724431841803	-2.82113868830387	0.00478535096463904	0.0456561798789935	-5.13856500268015	2.76844430048222e-07	1.52817387660472e-05	Macaque_hypo
chr1	1067092	0.977	0.969	0.543	4.50653304769773	6.58954264137026e-06	0.000242436509147849	0.0553033894625631	0.955896761900324	0.998237991315883	-3.51491999060015	0.000439886495362111	0.00648618293526864	-5.62917286173296	1.81075855851485e-08	1.38736971322522e-06	Macaque_hypo
chr1	1067253	0.978	0.874	0.275	3.62933904086953	0.000284147841275638	0.00538717177403592	0.480912738027744	0.630578519155641	0.972403437955281	-3.95702260203656	7.5889752704706e-05	0.00146129718262711	-3.16446473220984	0.00155368490692971	0.0227486462758401	Macaque_hypo
chr1	1070715	0.827	0.948	0.514	3.82251913324869	0.000132095225299505	0.00290072274445049	-3.0454857832146	0.00232304760806359	0.056836161845118	-3.42666682410488	0.000611038296162261	0.00853663129192254	-4.04972182399159	5.12785511072217e-05	0.00136834117923138	Macaque_hypo
chr1	1072019	0.939	1.0	0.476	4.70286592295716	2.56534889818585e-06	0.000109717801087724	-0.744550176528196	0.456543697263272	0.93624248927356	-4.89661194965937	9.75031110141417e-07	3.31233014438057e-05	-4.87791643927196	1.07212323044814e-06	4.97349242976157e-05	Macaque_hypo
chr1	1072029	0.899	1.0	0.409	4.77557333029871	1.791959754931e-06	8.09599217703922e-05	-1.62872284669182	0.103371703981846	0.610987067809773	-4.5658992716454	4.97357561508954e-06	0.000138325235807713	-5.26449827694096	1.405727180665e-07	8.43794893486916e-06	Macaque_hypo
chr1	1072050	0.805	0.951	0.463	3.43453415940694	0.000593573254780122	0.00971152053115648	-2.5981906164248	0.00937164542394758	0.154189935944178	-2.97385517949033	0.00294083835890563	0.0309639374095833	-3.36585344284382	0.000763072392044977	0.0128289116915539	Macaque_hypo
chr1	1081499	0.983	0.963	0.579	3.3749612610575	0.000738260822396877	0.0115523273131398	1.26284591059615	0.206644561705095	0.78566132197918	-3.37793555135754	0.000730321949632466	0.00990245113293819	-3.7806848496382	0.000156397547943514	0.00348303966313794	Macaque_hypo
chr1	1089314	0.798	0.96	0.969	3.75060732462156	0.000176406777676094	0.00366694894801705	-4.43188179054977	9.34142290130071e-06	0.000673040648995086	3.84202882053363	0.000122021504017205	0.00219424944772037	0.665270985556656	0.505877184867387	0.901471661915142	Human_specific_hypo
chr1	1091818	0.602	0.841	0.187	4.24936946175561	2.14373090991517e-05	0.000649270322836559	-2.72080237086349	0.00651236825422956	0.119908410900216	-3.90418993730873	9.45415124136282e-05	0.00176404909165884	-5.01835473756342	5.21158778569921e-07	2.6532258703798e-05	Macaque_hypo
chr1	1091879	0.959	1.0	0.623	3.05634723378738	0.00224051620461573	0.0275525669017227	-0.00268210279001232	0.997859994159114	0.999923798291067	-3.22882989754393	0.00124297803749535	0.0153677133093659	-3.75682617059863	0.000172081939754253	0.00377122529969212	Macaque_hypo
chr1	1092982	0.0	0.0	0.63	4.95180499380978	7.35282670581199e-07	3.80217666683867e-05	-0.0769849215169354	0.938635540252145	0.997428115584972	6.47938696493352	9.20960307582419e-11	8.20299413299384e-09	4.94320552992603	7.68483911419467e-07	3.72189821450349e-05	Macaque_hyper
chr1	1093002	0.011	0.0	0.89	6.88788337993619	5.66286025174706e-12	1.27057707712478e-09	0.355358629233455	0.722320937973439	0.983175685466296	9.05055716980831	1.42240675651859e-19	6.25535906999075e-17	6.4792934011044	9.21531530114013e-11	1.24431284118067e-08	Macaque_hyper
chr1	1093032	0.011	0.01	0.822	6.60150294902651	4.07010169802974e-11	7.37122984685192e-09	-0.355236413442014	0.722412487376163	0.983185188227273	8.93041456587759	4.24415318808791e-19	1.72803979135237e-16	6.29132325527892	3.14771073404371e-10	3.74472660978963e-08	Macaque_hyper
chr1	1093260	0.016	0.233	0.872	5.96878288267581	2.39029935389985e-09	2.68085433485402e-07	-2.69429470794193	0.00705377648153924	0.126839355933697	8.02559172739878	1.0103772644182e-15	2.3425925151999e-13	3.39990772622439	0.000674085970058943	0.0115980023182633	Macaque_hyper
chr1	1093604	0.171	0.248	0.848	5.23747475104501	1.62788562185616e-07	1.04592088151249e-05	-2.23926130576454	0.0251389189877926	0.291811310217275	7.11113206300595	1.15094940345577e-12	1.51408335048698e-10	4.009662496106	6.08055965708465e-05	0.00157914137958862	Macaque_hyper
chr1	1099933	0.834	0.909	0.536	3.18057234003668	0.00146984436493152	0.0198655747443892	-0.988512140802561	0.322901891481744	0.880635439393482	-3.1665768808222	0.00154244567684949	0.018344741441998	-3.61028403209458	0.000305861885200124	0.00607408296375151	Macaque_hypo
chr1	1099946	0.866	0.918	0.553	3.88102842932877	0.000104015679792016	0.00238608778689168	-1.12224424035942	0.261758607048149	0.838494307802156	-3.93997772966671	8.14891735943694e-05	0.00155323994925978	-4.99098451141845	6.00723151141173e-07	3.0025471398638e-05	Macaque_hypo
chr1	1100038	0.867	0.882	0.427	3.46123576650132	0.000537701680558544	0.00897704024486006	-0.480010227416132	0.631220120692061	0.972500196935315	-4.65735936449507	3.20291075540938e-06	9.41292769585432e-05	-3.57186294679856	0.000354450898727775	0.00685678533135325	Macaque_hypo
