Category	Term	chr	str	end	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD
species	Human_specific_hyper	chr4	184642201	184643622	1422	28	203.680062713298	0.5837	0.6781	0.2797	0.3246	0.1269	0.1034
species	Human_specific_hyper	chr9	763978	764276	299	11	201.001871146603	0.6385	0.6351	0.1013	0.0967	0.066	0.1352
species	Human_specific_hyper	chr4	174432065	174436086	4022	22	193.152225791646	0.5967	0.3674	0.273	0.1845	0.1327	0.128
species	Human_specific_hyper	chr22	38578293	38578578	286	15	190.61184975511	0.8092	0.7755	0.2902	0.3125	0.3421	0.3735
species	Human_specific_hyper	chr14	21734553	21735594	1042	18	183.22618733669	0.6145	0.7069	0.2361	0.3147	0.2151	0.3972
species	Human_specific_hyper	chr21	36060515	36060840	326	15	182.04630489052	0.822	0.6144	0.171	0.0829	0.4061	0.1333
species	Human_specific_hyper	chr17	41277925	41278563	639	13	180.811495987755	0.52	0.5721	0.0586	0.0592	0.0029	0.0053
species	Human_specific_hyper	chr8	57030039	57030883	845	21	180.221311198846	0.6456	0.6694	0.4694	0.467	0.301	0.3245
species	Human_specific_hyper	chr19	39925287	39925925	639	19	177.398109251508	0.5689	0.5146	0.2162	0.2473	0.1507	0.115
species	Human_specific_hyper	chr4	4679342	4680238	897	22	171.489634166836	0.4875	0.5148	0.2198	0.3363	0.0824	0.1271
species	Human_specific_hyper	chr8	11203770	11204355	586	13	163.394858661405	0.7145	0.6142	0.1671	0.2036	0.2216	0.1247
species	Human_specific_hyper	chr1	45279992	45280843	852	20	159.548600409068	0.7482	0.7478	0.4196	0.3709	0.5163	0.5392
species	Human_specific_hyper	chr8	39187043	39187682	640	9	159.067898909584	0.9635	0.9053	0.6156	0.4432	0.4893	0.4718
species	Human_specific_hyper	chr8	11547686	11549898	2213	22	158.663105312267	0.7032	0.5753	0.4896	0.3268	0.3148	0.2683
species	Human_specific_hyper	chr10	94350456	94351135	680	14	158.198366370463	0.5322	0.5607	0.2343	0.2292	0.1108	0.1977
species	Human_specific_hyper	chr6	28663013	28664418	1406	31	157.184572305155	0.3072	0.3055	0.1124	0.1128	0.1256	0.1129
species	Human_specific_hyper	chr1	221053783	221055964	2182	38	155.768668674775	0.6639	0.8283	0.3656	0.6756	0.4905	0.7511
species	Human_specific_hyper	chr2	20190319	20191058	740	11	154.300920911018	0.3802	0.3939	0.1225	0.1357	0.2052	0.2135
species	Human_specific_hyper	chr10	92630511	92631145	635	14	153.67096156066	0.5899	0.6303	0.3453	0.2766	0.1113	0.0588
species	Human_specific_hyper	chr11	73309852	73310427	576	19	153.600685148386	0.3718	0.4169	0.2044	0.2131	0.0951	0.1442
species	Human_specific_hyper	chr7	117118799	117119508	710	21	153.191718065033	0.4282	0.6033	0.2726	0.3673	0.33	0.3156
species	Human_specific_hyper	chr2	114736466	114738340	1875	9	145.74963507342	0.7339	0.781	0.2789	0.3935	0.3204	0.3098
species	Human_specific_hyper	chr6	41068173	41069208	1036	14	145.726655811782	0.8793	0.8685	0.5981	0.6377	0.0326	0.04
species	Human_specific_hyper	chr6	55141999	55142325	327	9	142.108599955533	0.6572	0.5198	0.2491	0.049	0.0891	0.0442
species	Human_specific_hyper	chr15	89149600	89150842	1243	17	140.646989260552	0.341	0.6133	0.082	0.3375	0.1425	0.1849
species	Human_specific_hyper	chr21	44167211	44169292	2082	21	140.059129732749	0.8356	0.5687	0.4988	0.4191	0.2948	0.1429
species	Human_specific_hyper	chr5	148504989	148505531	543	10	139.287952776067	0.9476	0.781	0.543	0.3283	0.2372	0.2176
species	Human_specific_hyper	chr19	6795037	6795635	599	13	137.454650505682	0.8448	0.7966	0.4856	0.4895	0.3846	0.3177
species	Human_specific_hyper	chr10	17065371	17066154	784	12	135.906011996304	0.8125	0.7903	0.4585	0.4675	0.4129	0.5615
species	Human_specific_hyper	chr12	85818401	85818908	508	9	134.794001135504	0.7587	0.7336	0.3517	0.3836	0.5193	0.4828
species	Human_specific_hyper	chr1	28156541	28156880	340	9	133.872263141252	0.6371	0.6035	0.1579	0.1426	0.3298	0.2745
species	Human_specific_hyper	chr20	259061	260408	1348	10	132.683760881324	0.5062	0.5316	0.358	0.3839	0.1894	0.1507
species	Human_specific_hyper	chr12	133464991	133465672	682	12	132.04449899841	0.6017	0.4637	0.2926	0.2144	0.3432	0.2792
species	Human_specific_hyper	chr12	61563322	61564334	1013	8	130.281497338649	0.9406	0.8768	0.4884	0.332	0.3826	0.171
species	Human_specific_hyper	chr3	147139670	147140555	886	23	129.656536244317	0.6149	0.8429	0.4248	0.723	0.2253	0.5516
species	Human_specific_hyper	chr19	43071385	43071619	235	11	128.287963881605	0.5949	0.5966	0.274	0.3138	0.2716	0.4262
species	Human_specific_hyper	chr15	45569885	45571217	1333	17	127.545404443213	0.4757	0.4267	0.24	0.2093	0.1489	0.1176
species	Human_specific_hyper	chr6	26299257	26299993	737	18	127.227935021892	0.2391	0.3576	0.0611	0.1535	0.0111	0.0592
species	Human_specific_hyper	chr16	27279378	27279738	361	17	127.202283660935	0.2109	0.2568	0.0998	0.1043	0.129	0.106
species	Human_specific_hyper	chr16	14725858	14726254	397	19	126.929631388009	0.4234	0.4615	0.2548	0.2646	0.2104	0.3259
species	Human_specific_hyper	chr5	110062384	110063027	644	15	124.461611032471	0.2866	0.3423	0.099	0.0988	0.0035	0.004
species	Human_specific_hyper	chr12	114832579	114833665	1087	21	122.783307185366	0.1955	0.3598	0.0775	0.1579	0.059	0.122
species	Human_specific_hyper	chr19	11670594	11671017	424	20	121.559232096674	0.4124	0.4296	0.2381	0.2078	0.1269	0.1173
species	Human_specific_hyper	chr10	116548224	116548870	647	10	117.593726719211	0.9359	0.9404	0.5439	0.6449	0.7208	0.709
species	Human_specific_hyper	chr20	799120	799671	552	10	116.824635919271	0.8927	0.8826	0.5318	0.6113	0.4371	0.2835
species	Human_specific_hyper	chr14	74709129	74711003	1875	24	116.280993781405	0.5276	0.4995	0.4249	0.3519	0.2761	0.2413
species	Human_specific_hyper	chr1	202975221	202975710	490	10	115.977679410474	0.655	0.6341	0.324	0.2888	0.0203	0.0248
species	Human_specific_hyper	chr8	67835853	67836742	890	16	112.29380854758	0.6835	0.7082	0.4319	0.456	0.0958	0.2332
species	Human_specific_hyper	chr21	30390720	30391183	464	14	107.893253700114	0.2893	0.3407	0.1117	0.0954	0.0235	0.0542
species	Human_specific_hyper	chr17	10632494	10634427	1934	15	107.677910175743	0.3275	0.2546	0.1284	0.0928	0.0564	0.1199
species	Human_specific_hyper	chr7	127291128	127291323	196	8	107.485363518958	0.7224	0.8185	0.2754	0.4296	0.0947	0.0599
species	Human_specific_hyper	chr1	7845192	7845514	323	7	107.261521896782	0.8178	0.8173	0.3837	0.3526	0.1764	0.2035
species	Human_specific_hyper	chr5	173710024	173710535	512	9	105.771545125651	0.7641	0.6359	0.2933	0.266	0.1649	0.164
species	Human_specific_hyper	chr8	29911349	29911841	493	7	105.036565057254	0.9284	0.9474	0.5239	0.4643	0.3004	0.324
species	Human_specific_hyper	chr16	84952789	84953807	1019	11	104.776774421838	0.9292	0.9323	0.6122	0.6506	0.743	0.6895
species	Human_specific_hyper	chr10	38427432	38429612	2181	13	103.097316798141	0.9489	0.8871	0.81	0.7438	0.5371	0.397
species	Human_specific_hyper	chr4	128981252	128981503	252	9	102.387184075516	0.6439	0.6983	0.3426	0.3132	0.2561	0.3816
species	Human_specific_hyper	chr3	3167944	3168161	218	7	102.194739958765	0.4003	0.3987	0.1104	0.0842	0.0763	0.0457
species	Human_specific_hyper	chr3	196015294	196015663	370	17	100.794490416432	0.4175	0.6114	0.2142	0.4297	0.053	0.0712
species	Human_specific_hyper	chr1	207224549	207225732	1184	14	99.8929820379733	0.5187	0.5504	0.2581	0.3575	0.2552	0.2948
species	Human_specific_hyper	chr5	140772640	140773186	547	18	99.4379682065511	0.3999	0.4735	0.227	0.2783	0.2888	0.329
species	Human_specific_hyper	chr17	56668793	56669334	542	6	98.858213647924	0.9468	0.9425	0.4751	0.3982	0.63	0.5282
species	Human_specific_hyper	chr5	54472892	54474036	1145	12	98.4610497722345	0.7899	0.7121	0.5166	0.4761	0.5745	0.3779
species	Human_specific_hyper	chr17	38975626	38976042	417	10	98.3980206970118	0.3833	0.3982	0.1131	0.0695	0.057	0.0263
species	Human_specific_hyper	chr7	47622153	47622424	272	10	97.8322768957269	0.8215	0.8062	0.4892	0.5454	0.6081	0.621
species	Human_specific_hyper	chr7	10980615	10981283	669	8	97.443677181029	0.6474	0.6133	0.2746	0.2582	0.1923	0.153
species	Human_specific_hyper	chr20	21372780	21374251	1472	14	97.3214220093424	0.5538	0.8201	0.3779	0.6827	0.3086	0.5073
species	Human_specific_hyper	chr2	121453589	121453981	393	10	96.4141608417689	0.6399	0.5454	0.37	0.0694	0.1282	0.0993
species	Human_specific_hyper	chr13	112838302	112838565	264	9	95.9290585347319	0.9415	0.6787	0.5533	0.3108	0.4354	0.0202
species	Human_specific_hyper	chr20	59666581	59667752	1172	11	95.1958389055469	0.8473	0.8614	0.6913	0.6378	0.7328	0.5712
species	Human_specific_hyper	chr12	75878625	75879603	979	5	95.1052325817927	0.7872	0.8081	0.2212	0.3202	0.3791	0.3291
species	Human_specific_hyper	chr6	27696118	27696563	446	19	94.5976903138834	0.8546	0.8323	0.7149	0.6575	0.1984	0.1209
species	Human_specific_hyper	chr18	34407849	34408087	239	12	94.5885072292183	0.3129	0.4749	0.1249	0.2423	0.1068	0.2309
species	Human_specific_hyper	chr1	53704702	53705264	563	8	93.3014598566657	0.5487	0.5976	0.3189	0.2421	0.0405	0.0418
species	Human_specific_hyper	chr9	92904477	92905352	876	12	93.0875726465568	0.601	0.5091	0.3941	0.3393	0.0977	0.1148
species	Human_specific_hyper	chr6	27499254	27500280	1027	11	91.7356379142541	0.9007	0.8817	0.6491	0.6135	0.1812	0.1937
species	Human_specific_hyper	chr12	66696911	66697273	363	12	91.5067677583362	0.8917	0.8791	0.6114	0.6537	0.6019	0.5509
species	Human_specific_hyper	chr5	34839819	34840141	323	10	90.5827802604917	0.5762	0.729	0.1747	0.3959	0.1723	0.3982
species	Human_specific_hyper	chr11	130534120	130535111	992	10	90.4424077971828	0.8531	0.8817	0.5555	0.5787	0.5666	0.4504
species	Human_specific_hyper	chr3	57679090	57679248	159	11	89.7597100540972	0.5693	0.6416	0.2661	0.3617	0.0898	0.111
species	Human_specific_hyper	chr4	142408527	142409664	1138	11	89.556118592602	0.8681	0.8423	0.6596	0.3767	0.7377	0.4063
species	Human_specific_hyper	chr10	102027832	102028016	185	9	89.0902677453546	0.4506	0.4614	0.0909	0.067	0.0035	0.0084
species	Human_specific_hyper	chr9	2842872	2843294	423	5	88.8336546911588	0.5558	0.5198	0.1016	0.0842	0.008	0.0246
species	Human_specific_hyper	chr13	101592870	101594154	1285	11	88.5393351142663	0.852	0.6898	0.6649	0.3681	0.6969	0.4088
species	Human_specific_hyper	chr10	38419065	38423111	4047	12	86.4205903673889	0.9052	0.8524	0.7439	0.7228	0.1901	0.1115
species	Human_specific_hyper	chr20	54968435	54968870	436	11	86.3805091101475	0.3732	0.3599	0.1676	0.1453	0.2003	0.1584
species	Human_specific_hyper	chr15	24143104	24143535	432	13	85.7911589234917	0.7637	0.7822	0.5996	0.6353	0.4005	0.4005
species	Human_specific_hyper	chr7	15878818	15879678	861	16	85.289567308526	0.5335	0.4146	0.3331	0.2288	0.406	0.1574
species	Human_specific_hyper	chr14	75349858	75350039	182	12	85.0495678516702	0.4762	0.4886	0.233	0.276	0.29	0.321
species	Human_specific_hyper	chr2	39935025	39935514	490	9	84.7886081717865	0.6943	0.9501	0.3934	0.67	0.4534	0.5114
species	Human_specific_hyper	chr3	158866958	158867542	585	8	84.4906633440796	0.5703	0.4037	0.1773	0.1861	0.2599	0.1318
species	Human_specific_hyper	chr18	8480806	8481031	226	7	84.4832557432613	0.6675	0.5858	0.1781	0.11	0.028	0.0215
species	Human_specific_hyper	chr21	32995986	32996683	698	6	83.96905082668	0.9464	0.883	0.5184	0.3679	0.6439	0.3317
species	Human_specific_hyper	chr5	140556888	140557426	539	12	83.5783781550524	0.3477	0.3635	0.1829	0.1716	0.1713	0.1439
species	Human_specific_hyper	chr12	133406085	133406412	328	9	83.2680810763356	0.749	0.7594	0.5225	0.5195	0.3484	0.4109
species	Human_specific_hyper	chr9	115785473	115792967	7495	15	82.5311931921328	0.8384	0.7734	0.7023	0.6078	0.726	0.6861
species	Human_specific_hyper	chr21	29047768	29048411	644	9	82.3746550120317	0.8225	0.851	0.5189	0.372	0.4533	0.2403
species	Human_specific_hyper	chr8	4136665	4137595	931	7	82.2989768481409	0.8195	0.9257	0.568	0.604	0.513	0.3222
species	Human_specific_hyper	chr15	42214129	42215053	925	9	81.9387470848239	0.9305	0.7117	0.7908	0.4467	0.8531	0.3287
species	Human_specific_hyper	chr1	160638271	160640000	1730	13	80.5815665406962	0.9371	0.9315	0.7263	0.7523	0.1229	0.1162
species	Human_specific_hyper	chr16	58163699	58164038	340	19	80.0424036733844	0.6434	0.635	0.4982	0.5062	0.2521	0.2274
species	Human_specific_hyper	chr11	64933339	64933644	306	14	79.9359528802308	0.6328	0.549	0.5294	0.3357	0.1698	0.0965
species	Human_specific_hyper	chr1	153756484	153756963	480	12	79.7067578232544	0.8149	0.8231	0.6277	0.6582	0.72	0.7158
species	Human_specific_hyper	chr17	48851578	48851836	259	5	79.6090204649578	0.9477	0.8972	0.5589	0.4011	0.1291	0.0395
species	Human_specific_hyper	chr18	8703110	8703817	708	10	79.5689859286549	0.848	0.7585	0.5553	0.3696	0.1171	0.046
species	Human_specific_hyper	chr19	57122761	57123611	851	8	79.42915246261	0.8397	0.5272	0.5905	0.161	0.5312	0.3104
species	Human_specific_hyper	chr2	101923936	101924254	319	9	79.1442793373632	0.7519	0.8642	0.3576	0.6601	0.1294	0.2341
species	Human_specific_hyper	chr12	108295368	108298703	3336	14	79.0153838485355	0.3282	0.3453	0.5382	0.4853	0.4784	0.4892
species	Human_specific_hyper	chr14	45720577	45721797	1221	14	78.6847733011653	0.4594	0.2693	0.3212	0.1667	0.3646	0.1173
species	Human_specific_hyper	chr10	103533302	103533918	617	13	78.3206953640768	0.9128	0.744	0.7877	0.4282	0.7355	0.336
species	Human_specific_hyper	chr14	24881456	24881761	306	6	78.2017729509785	0.6963	0.7148	0.36	0.2996	0.3492	0.3359
species	Human_specific_hyper	chr4	154708914	154709414	501	14	77.1883839433914	0.6369	0.6498	0.4432	0.5202	0.4483	0.4662
species	Human_specific_hyper	chr3	13505113	13505944	832	7	76.8779291960605	0.9402	0.6456	0.6809	0.1263	0.3385	0.1149
species	Human_specific_hyper	chr1	178994243	178994547	305	10	76.3971106860804	0.7566	0.7993	0.5658	0.5584	0.3915	0.4351
species	Human_specific_hyper	chr15	90198941	90199413	473	9	76.2970146921579	0.413	0.5092	0.1954	0.2838	0.1405	0.2024
species	Human_specific_hyper	chr4	140199989	140200520	532	15	76.2948866202036	0.6376	0.4368	0.4126	0.3338	0.1179	0.1103
species	Human_specific_hyper	chr19	34948415	34949785	1371	9	76.1739440368681	0.7807	0.9176	0.312	0.7311	0.2355	0.3641
species	Human_specific_hyper	chr10	120937320	120937714	395	12	76.1096770287476	0.3622	0.3503	0.1543	0.1379	0.0963	0.0508
species	Human_specific_hyper	chr12	56842369	56842444	76	7	75.8319307782481	0.3668	0.4412	0.088	0.1568	0.0546	0.0354
species	Human_specific_hyper	chr8	6400482	6401077	596	16	75.714896996654	0.8929	0.9052	0.7449	0.788	0.3311	0.2875
species	Human_specific_hyper	chr2	25389989	25390659	671	12	75.412370042357	0.5551	0.5152	0.3756	0.2662	0.3622	0.2855
species	Human_specific_hyper	chr17	48586380	48587114	735	9	74.6218622458274	0.7881	0.8431	0.4687	0.6087	0.1914	0.3564
species	Human_specific_hyper	chr14	58893070	58893377	308	11	74.5364507500905	0.6392	0.669	0.4437	0.4647	0.1217	0.1446
species	Human_specific_hyper	chr18	3219074	3219966	893	11	74.5096448066795	0.5882	0.3374	0.2902	0.2	0.4142	0.1218
species	Human_specific_hyper	chr1	66797378	66798505	1128	10	74.4241909426861	0.5743	0.3117	0.2999	0.162	0.2126	0.1394
species	Human_specific_hyper	chr8	86976042	86976507	466	11	73.7167962942582	0.8144	0.8828	0.648	0.7209	0.6204	0.1982
species	Human_specific_hyper	chr3	114284017	114284474	458	10	72.9397562597782	0.5964	0.7465	0.3526	0.5747	0.3867	0.2995
species	Human_specific_hyper	chr2	145350188	145350738	551	7	72.6267316962488	0.8406	0.5962	0.5747	0.2353	0.5156	0.3235
species	Human_specific_hyper	chr11	94035881	94036363	483	8	72.4286804122842	0.7619	0.651	0.4047	0.3116	0.3485	0.1024
species	Human_specific_hyper	chr17	47864338	47865221	884	12	72.3405832021165	0.6567	0.611	0.4722	0.3776	0.5044	0.4849
species	Human_specific_hyper	chr7	99098420	99098690	271	9	72.1173880218333	0.6145	0.6616	0.3428	0.3694	0.2514	0.2959
species	Human_specific_hyper	chr8	10744747	10745348	602	5	71.8421088915695	0.9598	0.9262	0.6993	0.6188	0.5729	0.452
species	Human_specific_hyper	chr10	38213682	38216267	2586	12	71.7980673365899	0.9108	0.8613	0.7909	0.734	0.7542	0.7311
species	Human_specific_hyper	chr1	11397574	11398013	440	11	71.6900582586162	0.583	0.3578	0.3928	0.1737	0.3753	0.0734
species	Human_specific_hyper	chr2	177134984	177135393	410	12	71.572469693554	0.6178	0.713	0.4268	0.5476	0.0583	0.1151
species	Human_specific_hyper	chr19	58817432	58817826	395	13	71.3323572427044	0.6203	0.5551	0.3891	0.4151	0.1207	0.1078
species	Human_specific_hyper	chr12	94070323	94070836	514	11	70.975850229357	0.6732	0.6626	0.4915	0.4546	0.0977	0.0794
species	Human_specific_hyper	chr14	77176128	77176406	279	9	70.9336990094888	0.681	0.8093	0.3986	0.6496	0.3761	0.4752
species	Human_specific_hyper	chr10	6753714	6754823	1110	11	70.2992257088542	0.4493	0.3026	0.2433	0.1801	0.2038	0.1445
species	Human_specific_hyper	chr22	39097595	39097857	263	13	70.1613289047505	0.2873	0.4438	0.1576	0.2594	0.0941	0.1433
species	Human_specific_hyper	chr9	73420398	73421336	939	8	70.1118541257622	0.5971	0.5041	0.3798	0.2957	0.4531	0.3511
species	Human_specific_hyper	chr4	129775657	129776403	747	7	69.3753324560195	0.8631	0.627	0.6226	0.4238	0.6867	0.2816
species	Human_specific_hyper	chr7	135037226	135037427	202	5	69.2926670471518	0.9459	0.8699	0.6195	0.3213	0.6328	0.5898
species	Human_specific_hyper	chr1	201923800	201924000	201	8	69.151313598625	0.2954	0.6609	0.0588	0.1324	0.1004	0.2314
species	Human_specific_hyper	chr8	80802911	80803467	557	8	69.1129292083841	0.7087	0.6451	0.3065	0.2301	0.323	0.3549
species	Human_specific_hyper	chr17	43211219	43211493	275	4	69.0952381489157	0.9201	0.9428	0.1394	0.3358	0.279	0.5326
species	Human_specific_hyper	chr11	24575183	24575751	569	9	68.797103822599	0.751	0.7586	0.5685	0.5647	0.3743	0.1001
species	Human_specific_hyper	chr10	131590437	131591089	653	12	68.4825732401479	0.9059	0.7492	0.7743	0.4958	0.6566	0.4578
species	Human_specific_hyper	chr7	46851667	46852141	475	6	68.3138076841433	0.8408	0.4786	0.4379	0.1906	0.4704	0.1382
species	Human_specific_hyper	chr10	55912787	55913634	848	13	68.2829076713173	0.8891	0.7537	0.7713	0.5123	0.601	0.399
species	Human_specific_hyper	chr18	53526946	53528540	1595	13	67.9734314504962	0.6884	0.7519	0.4997	0.5999	0.5343	0.2873
species	Human_specific_hyper	chr12	11760705	11761121	417	12	67.8143767943102	0.8475	0.8553	0.6518	0.7342	0.7413	0.7017
species	Human_specific_hyper	chr3	119394737	119395580	844	8	67.7867403974742	0.553	0.3604	0.2962	0.1959	0.304	0.1631
species	Human_specific_hyper	chr16	81919484	81919830	347	6	67.7852566544874	0.7679	0.5135	0.414	0.3104	0.5849	0.3159
species	Human_specific_hyper	chr4	40267071	40267736	666	7	67.676638518417	0.8696	0.7115	0.3958	0.5008	0.3993	0.3138
species	Human_specific_hyper	chr16	51879900	51880186	287	8	67.0317904949262	0.7277	0.7538	0.5752	0.3396	0.627	0.4661
species	Human_specific_hyper	chr1	214453067	214453754	688	7	66.8225644695446	0.3996	0.6952	0.2368	0.4031	0.0325	0.5166
species	Human_specific_hyper	chr8	6658537	6658782	246	11	66.5875756414103	0.6443	0.4676	0.4959	0.1672	0.5118	0.196
species	Human_specific_hyper	chr14	32544172	32544999	828	8	66.457131480632	0.6009	0.6165	0.3449	0.3768	0.3977	0.346
species	Human_specific_hyper	chr19	38208883	38209429	547	10	66.2910136562779	0.3539	0.5977	0.2312	0.3956	0.1265	0.3934
species	Human_specific_hyper	chr3	73817694	73818243	550	4	66.2068536732142	0.3388	0.5829	0.0937	0.1861	0.0347	0.0215
species	Human_specific_hyper	chr5	7411756	7412829	1074	11	66.1316185641504	0.8234	0.8531	0.3892	0.6084	0.4732	0.6206
species	Human_specific_hyper	chr2	16785756	16786657	902	7	65.9199358540976	0.7623	0.893	0.4084	0.6451	0.3277	0.6929
species	Human_specific_hyper	chr1	5046581	5047435	855	9	65.7947871819804	0.8713	0.6932	0.6844	0.5427	0.485	0.4573
species	Human_specific_hyper	chr1	3712107	3712187	81	5	65.7031779508107	0.4534	0.4037	0.1041	0.0559	0.0766	0.0339
species	Human_specific_hyper	chr2	85655690	85656021	332	7	65.5174510330659	0.5158	0.7414	0.3035	0.3704	0.16	0.0293
species	Human_specific_hyper	chr3	9101348	9102090	743	9	65.0872805007154	0.7786	0.9114	0.5298	0.8093	0.3338	0.6959
species	Human_specific_hyper	chr17	48799778	48800263	486	9	65.0809245486825	0.8067	0.8059	0.5705	0.6384	0.4277	0.3275
species	Human_specific_hyper	chr15	44579027	44579510	484	12	64.6326324158749	0.6916	0.8059	0.4383	0.6967	0.4797	0.6159
species	Human_specific_hyper	chr19	48101926	48102351	426	10	64.2447362307676	0.284	0.2274	0.1355	0.0665	0.0889	0.1413
species	Human_specific_hyper	chr14	57263015	57264110	1096	16	64.0103829955762	0.8187	0.8149	0.6428	0.6843	0.6989	0.6292
species	Human_specific_hyper	chr7	34118317	34118522	206	8	63.9027863712078	0.9199	0.9152	0.6975	0.7305	0.6359	0.6089
species	Human_specific_hyper	chr12	81661055	81662673	1619	11	63.3608106733805	0.8962	0.9197	0.7365	0.6839	0.8114	0.6689
species	Human_specific_hyper	chr4	164088478	164088867	390	8	63.2900251594053	0.5804	0.7435	0.408	0.4623	0.1253	0.2448
species	Human_specific_hyper	chr7	144789416	144790278	863	8	63.1183942478557	0.7905	0.734	0.5906	0.5827	0.5014	0.1501
species	Human_specific_hyper	chr1	1731987	1732663	677	13	63.1087748630998	0.71	0.7725	0.4685	0.6298	0.3884	0.3284
species	Human_specific_hyper	chr1	231558771	231559077	307	7	63.0520659914605	0.2248	0.3145	0.0765	0.0721	0.0653	0.0367
species	Human_specific_hyper	chr13	100564125	100564565	441	7	62.8747707946619	0.9556	0.8627	0.7913	0.544	0.7977	0.5133
species	Human_specific_hyper	chr10	978985	979414	430	9	62.8285390099678	0.9389	0.9417	0.7179	0.7342	0.4875	0.5284
species	Human_specific_hyper	chr21	32270189	32271450	1262	11	62.710559014762	0.7819	0.7571	0.6814	0.507	0.6399	0.075
species	Human_specific_hyper	chr18	39466036	39466887	852	10	62.5304755942728	0.7785	0.4098	0.5961	0.2138	0.4201	0.2668
species	Human_specific_hyper	chr1	91057544	91058306	763	7	62.5171239675212	0.8391	0.802	0.5532	0.4975	0.5181	0.4986
species	Human_specific_hyper	chr9	125591258	125591478	221	10	62.3634386105502	0.6692	0.6756	0.5219	0.532	0.0262	0.0167
species	Human_specific_hyper	chr14	47811657	47812717	1061	11	62.2849555768701	0.8271	0.8886	0.6972	0.7791	0.7016	0.7346
species	Human_specific_hyper	chr1	242765233	242765494	262	5	61.7950425802264	0.7236	0.7164	0.3814	0.2831	0.5368	0.318
species	Human_specific_hyper	chr11	122894036	122894215	180	10	61.4664605945384	0.3433	0.3403	0.1711	0.1819	0.119	0.0711
species	Human_specific_hyper	chr4	6929207	6929597	391	6	61.2543338530075	0.7915	0.7661	0.4573	0.3188	0.4085	0.4857
species	Human_specific_hyper	chr22	38244547	38244838	292	11	61.0843957839825	0.4462	0.531	0.3113	0.3062	0.2614	0.3553
species	Human_specific_hyper	chr9	137855383	137855562	180	11	60.7234426841711	0.8578	0.943	0.7273	0.7506	0.7361	0.7121
species	Human_specific_hyper	chr7	117822682	117823285	604	10	60.6733370004541	0.7492	0.6975	0.6248	0.4953	0.6389	0.5367
species	Human_specific_hyper	chr15	92935856	92936308	453	7	60.6497844332771	0.6448	0.3301	0.3999	0.1857	0.5133	0.2516
species	Human_specific_hyper	chr2	44001956	44002543	588	5	60.2247044205906	0.4387	0.5455	0.3054	0.3537	0.2522	0.2998
species	Human_specific_hyper	chr9	37754255	37754684	430	6	60.0705460509265	0.5014	0.6003	0.2647	0.2634	0.1527	0.1499
species	Human_specific_hyper	chr3	44802463	44802640	178	10	59.9942953000623	0.2325	0.2497	0.0945	0.1075	0.0378	0.0385
species	Human_specific_hyper	chr16	73764419	73764791	373	10	59.9099502938566	0.7235	0.6937	0.5873	0.4539	0.4027	0.1634
species	Human_specific_hyper	chr17	27718960	27719933	974	10	59.8975197068965	0.7399	0.8138	0.3801	0.6398	0.1966	0.4956
